Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																															
Дата голосования: 04.12.2011																																															
																																															
Наименование Избирательной комиссии:    Биробиджанская городская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40					
1	"Число избирателей, внесенных в список избирателей"	59206	2986	2831	2799	1729	2366	2497	1992	2280	2009	2414	1621	1366	1449	311	1270	1358	1610	1177	133	537	883	1076	1680	760	836	1582	634	1550	587	2388	2298	1463	920	1550	16	1295	1742	1312	1412	487					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58062	3000	2800	2800	1700	2300	2500	2000	2300	2000	2400	1600	1300	1400	300	1250	1350	1600	1000	140	500	850	1000	1650	700	800	1600	600	1500	552	2400	2300	1400	900	1500	20	1300	1700	1300	1300	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27417	1309	1199	1228	791	1213	1244	1026	1180	1086	1062	881	682	639	109	322	597	927	655	43	301	275	508	882	281	320	863	294	666	181	1196	1210	674	268	533	0	404	770	663	753	182					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1093	32	26	37	18	30	38	27	30	19	20	19	21	26	7	27	21	12	11	90	2	10	27	29	15	22	70	18	16	26	36	59	27	23	41	14	31	11	12	89	4					
6	Число погашенных избирательных бюллетеней	29551	1659	1575	1535	891	1057	1218	947	1090	895	1318	700	597	735	184	901	732	661	334	7	197	565	465	739	404	458	667	288	818	345	1168	1030	699	609	926	6	865	919	625	458	264					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1093	32	26	37	18	30	38	27	30	19	20	19	21	26	7	27	21	12	11	90	2	10	27	29	15	22	70	18	16	26	36	59	27	23	41	14	31	11	12	89	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27391	1309	1199	1228	789	1213	1244	1026	1180	1067	1062	881	682	639	109	322	597	927	655	43	301	275	508	882	281	320	863	294	666	181	1193	1209	674	268	533	0	404	770	663	752	182					
9	Число недействительных избирательных бюллетеней	692	26	39	41	28	23	36	31	45	22	26	11	20	22	3	11	11	43	14	1	4	3	10	9	7	5	14	10	14	6	24	33	10	7	12	0	6	23	25	10	7					
10	Число действительных избирательных бюллетеней	27792	1315	1186	1224	779	1220	1246	1022	1165	1064	1056	889	683	643	113	338	607	896	652	132	299	282	525	902	289	337	919	302	668	201	1205	1235	691	284	562	14	429	758	650	831	179					
