Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Харабалинская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №659					
1	"Число избирателей, внесенных в список"	31329	767	230	1769	1929	1163	239	1187	1412	1067	1353	1210	1257	1149	1299	1196	1625	1283	1899	200	1033	1549	1503	342	214	1599	430	1078	609	738					
2	Число полученных избирательных бюллетеней	29988	750	220	1700	1900	1100	230	1150	1350	1000	1250	1150	1200	1100	1250	1100	1500	1100	1800	200	1000	1500	1450	330	220	1600	400	1100	600	738					
3	"Число избирательных бюллетеней, выданных  досрочно"	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15211	347	154	793	879	587	120	532	538	476	618	538	513	528	674	593	707	535	928	116	718	776	730	112	116	702	279	529	335	738					
5	"Число избирательных бюллетеней, выданных вне помещения"	1616	40	8	116	89	61	10	50	56	59	61	51	82	49	46	50	113	195	52	14	17	59	89	73	10	77	9	56	24	0					
6	Число погашенных избирательных бюллетеней	13061	363	58	791	932	452	100	568	756	465	571	561	605	523	530	457	680	370	820	70	165	665	631	145	94	821	112	515	241	0					
7	Число избирательных бюллетеней в переносных ящиках	1716	40	8	116	89	61	10	50	56	59	61	51	82	49	46	50	113	195	52	14	117	59	89	73	10	77	9	56	24	0					
8	Число бюллетеней в стационарных ящиках для голосования	15210	347	154	793	879	587	120	532	538	476	618	538	513	528	674	593	707	535	928	116	718	776	730	112	116	702	279	529	335	737					
9	Число недействительных избирательных бюллетеней	197	4	2	2	16	13	0	6	7	0	2	9	16	14	8	0	7	5	16	3	2	17	9	0	4	12	4	10	5	4					
10	Число действительных избирательных бюллетеней	16729	383	160	907	952	635	130	576	587	535	677	580	579	563	712	643	813	725	964	127	833	818	810	185	122	767	284	575	354	733					
11	Число полученных открепительных  удостоверений	360	10	7	15	15	12	7	12	14	12	14	12	12	12	14	17	14	14	15	5	30	15	15	7	8	20	10	12	10	0					
12	Число выданных открепительных удостоверений	161	4	0	6	8	6	0	2	2	11	5	2	6	3	7	12	6	4	6	3	21	9	8	0	3	14	5	5	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	0	0	1	2	2	0	2	5	0	2	0	4	1	10	2	1	6	6	1	6	3	7	0	0	0	7	5	0	1					
14	Число неиспользованных открепительных удостоверений	199	6	7	9	7	6	7	10	12	1	9	10	6	9	7	5	8	10	9	2	9	6	7	7	5	6	5	7	7	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	526	10	1	22	15	12	1	12	25	27	40	21	22	10	18	46	51	23	22	1	23	29	24	2	2	12	18	11	18	8					
		3.11%	2.58%	0.62%	2.42%	1.55%	1.85%	0.77%	2.06%	4.21%	5.05%	5.89%	3.57%	3.70%	1.73%	2.50%	7.15%	6.22%	3.15%	2.24%	0.77%	2.75%	3.47%	2.93%	1.08%	1.59%	1.54%	6.25%	1.88%	5.01%	1.09%					
19	. Малышкин Олег Александрович	430	10	9	24	28	7	1	19	13	23	21	15	22	6	26	18	18	13	21	2	41	30	19	1	2	7	2	8	10	14					
		2.54%	2.58%	5.56%	2.64%	2.89%	1.08%	0.77%	3.26%	2.19%	4.30%	3.09%	2.55%	3.70%	1.04%	3.61%	2.80%	2.20%	1.78%	2.14%	1.54%	4.91%	3.59%	2.32%	0.54%	1.59%	0.90%	0.69%	1.37%	2.79%	1.90%					
20	. Миронов Сергей Михайлович	122	0	1	5	4	7	0	5	3	3	4	7	3	2	6	4	9	7	9	1	8	8	2	1	2	8	1	3	3	6					
		0.72%	0.00%	0.62%	0.55%	0.41%	1.08%	0.00%	0.86%	0.51%	0.56%	0.59%	1.19%	0.50%	0.35%	0.83%	0.62%	1.10%	0.96%	0.92%	0.77%	0.96%	0.96%	0.24%	0.54%	1.59%	1.03%	0.35%	0.51%	0.84%	0.81%					
21	. Путин Владимир Владимирович	10528	217	129	635	604	390	106	329	354	282	369	319	341	323	427	350	494	413	590	105	628	408	476	127	85	544	177	380	265	661					
		62.20%	56.07%	79.63%	69.86%	62.40%	60.19%	81.54%	56.53%	59.60%	52.71%	54.34%	54.16%	57.31%	55.98%	59.31%	54.43%	60.24%	56.58%	60.20%	80.77%	75.21%	48.86%	58.12%	68.65%	67.46%	69.83%	61.46%	64.96%	73.82%	89.69%					
22	. Хакамада Ирина Муцуовна	394	14	2	5	18	19	1	14	21	24	20	11	13	25	22	9	13	17	25	0	19	21	10	6	4	24	7	15	4	11					
		2.33%	3.62%	1.23%	0.55%	1.86%	2.93%	0.77%	2.41%	3.54%	4.49%	2.95%	1.87%	2.18%	4.33%	3.06%	1.40%	1.59%	2.33%	2.55%	0.00%	2.28%	2.51%	1.22%	3.24%	3.17%	3.08%	2.43%	2.56%	1.11%	1.49%					
23	. Харитонов Николай Михайлович	4434	126	18	207	272	190	20	192	160	158	193	194	172	189	199	203	209	241	285	15	92	311	273	44	27	168	71	148	51	6					
		26.20%	32.56%	11.11%	22.77%	28.10%	29.32%	15.38%	32.99%	26.94%	29.53%	28.42%	32.94%	28.91%	32.76%	27.64%	31.57%	25.49%	33.01%	29.08%	11.54%	11.02%	37.25%	33.33%	23.78%	21.43%	21.57%	24.65%	25.30%	14.21%	0.81%					
																																				
24	Против всех	295	6	0	9	11	10	1	5	11	18	30	13	6	8	14	13	19	11	12	3	22	11	6	4	0	4	8	10	3	27					
		1.74%	1.55%	0.00%	0.99%	1.14%	1.54%	0.77%	0.86%	1.85%	3.36%	4.42%	2.21%	1.01%	1.39%	1.94%	2.02%	2.32%	1.51%	1.22%	2.31%	2.63%	1.32%	0.73%	2.16%	0.00%	0.51%	2.78%	1.71%	0.84%	3.66%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
