Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Альшеевская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874					
1	"Число избирателей, внесенных в списки избирателей"	30692	1038	1071	1285	910	754	416	888	657	1120	1693	1959	1206	445	164	739	383	153	116	714	740	318	158	651	512	268	212	219	438	172	233	190	548	147	528	552	163	195	171	527	625	308	400	765	173	415	782	580	829	712	358	313	175	792	812					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30500	1012	1019	1280	891	743	432	846	660	1123	1651	1996	1143	448	170	729	372	154	118	724	737	314	155	643	521	268	218	220	440	176	233	190	553	143	526	553	162	194	177	512	627	315	412	761	172	412	787	576	832	709	356	318	176	800	801					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28424	937	960	1117	799	702	384	777	545	1054	1563	1855	1076	424	156	722	366	152	114	664	716	309	155	620	455	264	181	211	422	154	228	188	492	143	462	504	157	187	162	429	608	305	363	721	157	371	753	576	783	708	351	288	173	730	731					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1527	75	59	133	83	32	18	69	99	28	80	24	24	14	3	7	6	0	0	36	20	0	0	19	54	4	29	8	12	17	5	1	53	0	64	28	4	0	4	83	14	0	35	35	15	40	29	0	40	1	0	23	0	40	60					
6	Число погашенных избирательных бюллетеней	549	0	0	30	9	9	30	0	16	41	8	117	43	10	11	0	0	2	4	24	1	5	0	4	12	0	8	1	6	5	0	1	8	0	0	21	1	7	11	0	5	10	14	5	0	1	5	0	9	0	5	7	3	30	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1527	75	59	133	83	32	18	69	99	28	80	24	24	14	3	7	6	0	0	36	20	0	0	19	54	4	29	8	12	17	5	1	53	0	64	28	4	0	4	83	14	0	35	35	15	40	29	0	40	1	0	23	0	40	60					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28424	937	960	1117	799	702	384	777	545	1054	1563	1855	1076	424	156	722	366	152	114	664	716	309	155	620	455	264	181	211	422	154	228	188	492	143	462	504	157	187	162	429	608	305	363	721	157	371	753	576	783	708	351	288	173	730	731					
9	Число недействительных избирательных бюллетеней	111	0	0	0	2	0	0	0	0	0	1	7	8	0	0	0	0	1	0	0	2	0	0	0	4	1	7	18	1	4	0	1	0	0	0	2	2	4	0	3	0	0	0	0	5	0	0	4	30	1	0	0	0	3	0					
10	Число действительных избирательных бюллетеней	29840	1012	1019	1250	880	734	402	846	644	1082	1642	1872	1092	438	159	729	372	151	114	700	734	309	155	639	505	267	203	201	433	167	233	188	545	143	526	530	159	183	166	509	622	305	398	756	167	411	782	572	793	708	351	311	173	767	791					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	278	9	12	13	8	13	2	6	5	8	13	25	12	6	2	7	4	3	0	10	4	0	0	3	2	0	4	1	3	0	0	0	3	2	3	5	0	0	2	6	3	5	5	6	0	6	11	4	5	3	5	3	0	13	13					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	256	9	11	11	8	13	2	6	3	8	13	25	12	6	2	7	4	1	0	7	4	0	0	3	2	0	4	1	3	0	0	0	2	0	1	5	0	0	0	4	3	5	5	6	0	6	8	4	5	3	5	3	0	13	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	183	2	11	4	3	0	2	1	8	11	17	11	7	4	4	10	13	0	0	1	3	1	0	2	4	0	1	0	4	0	0	0	5	1	4	5	0	0	1	2	0	0	2	2	1	1	3	1	3	4	2	0	2	13	7					
14	Число погашенных неиспользованных открепительных удостоверений	22	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	0	1	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	1.Политическая партия «Аграрная партия России»	61	4	1	0	0	1	0	0	0	0	12	1	0	6	0	0	4	1	0	0	0	0	1	12	0	0	0	0	3	0	3	2	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	3	0	0	0	0	0	0	3					
		0.20%	0.40%	0.10%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.73%	0.05%	0.00%	1.37%	0.00%	0.00%	1.08%	0.66%	0.00%	0.00%	0.00%	0.00%	0.65%	1.88%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	1.29%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.58%	0.24%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%					
19	2.Всероссийская политическая партия «Гражданская Сила»	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
