Выборы Президента Российской Федерации																																																																																																																	
Дата голосования: 04.03.2012																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Балаковская																																																																																																																	
																																																																																																																	
Сводная таблица итогов голосования																																																																																																																	
																																																																																																																	
	Число участковых избирательных комиссий	102																																																																																																															
	Число участковых избирательных комиссий, приступивших к передаче сведений	102																																																																																																															
																																																																																																																	
		Сумма	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587									
1	Число избирателей, включенных в список избирателей	174250	2651	2361	2243	2865	1657	2251	2229	2326	2228	2081	1806	2012	1958	2516	1941	2138	2339	1984	1853	2434	2107	1961	2396	1839	530	2404	2094	2681	2297	2899	2810	1365	2835	2186	2517	1953	748	2340	2889	1727	1694	2901	3051	2795	2596	2206	2072	1863	1906	2231	1752	2907	2594	2975	2726	2631	2906	1855	1928	2030	2463	2005	3119	2770	1788	2724	2377	1794	508	2404	517	1088	972	882	665	921	558	321	402	746	128	76	594	412	1255	1384	419	349	356	369	614	158	919	563	436	898	518	303	136	585	158	526									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	173441	2656	2350	2213	2671	1688	2275	2245	2356	2060	2108	1761	2017	1943	2468	1936	2119	2307	1976	1847	2329	2120	1990	2267	2014	1000	2411	2163	2161	2307	2820	2863	1354	2817	2211	2564	1917	896	2335	2837	1679	1680	2891	2733	2819	2606	2240	2093	1856	1936	2088	1700	2821	2632	2949	2773	2662	2666	1830	1938	2045	2504	2025	2949	2856	2048	2732	2397	1740	480	2309	473	1094	980	883	641	913	577	345	422	776	124	91	597	410	1310	1382	420	352	357	381	633	157	934	572	439	885	539	310	145	567	162	521									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	102588	1549	1373	1195	1379	905	1339	1352	1380	1231	1322	1023	1144	1150	1411	1171	1393	1356	1293	1087	1491	1128	1067	1382	1158	321	1465	1152	1844	1278	1713	1550	724	1648	1051	1090	1140	313	1326	1520	895	1072	1721	1706	1573	1531	1300	1360	1273	1127	1555	1171	1788	1631	1883	1869	1699	1837	1208	1105	1273	1502	1233	2000	1718	1020	1422	1377	1225	258	1622	333	595	492	476	269	275	457	240	137	421	86	38	371	222	696	973	359	248	153	234	396	111	442	274	186	465	240	174	66	378	101	312									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	4806	65	50	31	41	11	24	38	20	35	22	38	19	38	38	50	22	32	25	48	28	63	60	47	66	208	44	87	71	41	167	49	42	34	68	67	63	17	49	74	64	51	30	100	45	38	14	23	19	30	67	69	59	39	18	22	16	28	13	16	10	61	20	42	28	25	36	21	22	18	14	114	80	53	44	93	145	55	52	89	47	13	6	62	36	149	147	12	30	53	40	21	9	52	43	58	57	85	14	12	39	14	32									
6	Число погашенных избирательных бюллетеней	66042	1042	927	986	1251	772	912	855	956	794	764	700	854	755	1017	715	704	919	658	712	810	929	863	838	790	471	902	924	246	988	940	1264	588	1135	1092	1407	712	566	960	1243	720	557	1140	927	1201	1037	926	710	564	779	466	460	974	962	1048	882	947	801	609	817	762	941	772	907	1110	1003	1274	999	493	204	673	26	419	435	363	279	493	65	53	196	308	25	47	164	152	465	262	49	74	151	107	216	37	440	255	195	363	214	122	67	150	47	177									
7	Число избирательных бюллетеней в переносных ящиках для голосования	4806	65	50	31	41	11	24	38	20	35	22	38	19	38	38	50	22	32	25	48	28	63	60	47	66	208	44	87	71	41	167	49	42	34	68	67	63	17	49	74	64	51	30	100	45	38	14	23	19	30	67	69	59	39	18	22	16	28	13	16	10	61	20	42	28	25	36	21	22	18	14	114	80	53	44	93	145	55	52	89	47	13	6	62	36	149	147	12	30	53	40	21	9	52	43	58	57	85	14	12	39	14	32									
8	Число бюллетеней в стационарных ящиках для голосования	102490	1549	1373	1193	1379	905	1339	1352	1380	1231	1322	1023	1144	1150	1411	1171	1393	1356	1293	1086	1491	1128	1067	1380	1158	321	1464	1151	1844	1278	1713	1550	724	1648	1011	1090	1140	313	1326	1520	894	1068	1721	1705	1572	1531	1300	1360	1273	1127	1555	1171	1788	1631	1882	1869	1699	1837	1208	1105	1273	1502	1233	1958	1718	1020	1422	1377	1225	258	1621	333	595	492	476	269	275	457	240	137	421	86	38	371	222	696	973	359	248	153	234	396	111	442	274	186	465	240	174	66	378	101	312									
9	Число недействительных избирательных бюллетеней	1374	22	21	20	20	13	20	11	20	20	17	15	23	11	22	15	19	18	25	9	27	9	20	20	11	38	3	3	29	12	16	25	4	23	10	15	12	3	8	24	14	21	27	20	13	15	8	16	20	10	14	12	30	15	24	25	25	23	10	19	18	18	21	25	18	14	18	12	12	4	17	5	8	3	4	6	6	62	7	4	6	1	0	6	5	6	0	5	0	1	3	3	0	6	2	3	18	3	2	0	5	0	3									
10	Число действительных избирательных бюллетеней	105922	1592	1402	1204	1400	903	1343	1379	1380	1246	1327	1046	1140	1177	1427	1206	1396	1370	1293	1125	1492	1182	1107	1407	1213	491	1505	1235	1886	1307	1864	1574	762	1659	1069	1142	1191	327	1367	1570	944	1098	1724	1785	1604	1554	1306	1367	1272	1147	1608	1228	1817	1655	1876	1866	1690	1842	1211	1102	1265	1545	1232	1975	1728	1031	1440	1386	1235	272	1618	442	667	542	516	356	414	450	285	222	462	98	44	427	253	839	1120	366	278	205	271	414	120	488	315	241	504	322	186	78	412	115	341									
11	Число полученных открепительных  удостоверений	3983	40	50	55	45	40	45	45	55	45	50	35	55	40	40	50	55	50	55	40	55	55	40	60	50	0	50	50	40	55	55	80	30	40	50	50	40	20	44	55	30	40	70	55	50	45	60	55	60	30	45	35	53	80	50	65	85	65	50	30	35	50	60	70	65	55	55	65	50	10	70	10	20	25	10	35	41	25	25	10	30	5	15	10	5	55	30	10	5	5	5	40	5	30	5	5	10	20	10	15	10	5	5									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	3771	40	50	51	38	36	45	45	50	45	49	30	51	33	39	42	55	48	55	38	55	50	39	50	45	0	48	45	40	54	54	73	28	40	47	50	40	16	44	55	27	39	66	55	45	42	60	51	52	30	41	35	53	80	50	65	85	65	40	30	33	45	50	64	65	55	54	64	48	5	70	2	20	19	9	28	41	25	25	9	30	2	15	10	5	55	26	7	4	3	5	40	5	30	5	3	6	20	10	15	10	5	5									
13	Число избирателей, проголосовавших по открепительным удостоверениям	4567	33	71	50	161	30	28	49	28	36	39	24	52	50	18	52	60	78	67	26	100	39	26	118	33	233	17	12	422	22	35	29	16	13	19	18	26	20	38	18	18	32	29	180	19	33	19	59	72	44	189	94	126	45	77	60	67	192	58	39	47	51	50	196	35	25	111	43	68	21	44	21	14	5	13	11	4	5	3	1	3	7	2	15	6	7	30	3	3	4	3	7	5	8	3	2	4	5	1	7	8	5	3									
14	Число неиспользованных открепительных удостоверений	212	0	0	4	7	4	0	0	5	0	1	5	4	7	1	8	0	2	0	2	0	5	1	10	5	0	2	5	0	1	1	7	2	0	3	0	0	4	0	0	3	1	4	0	5	3	0	4	8	0	4	0	0	0	0	0	0	0	10	0	2	5	10	6	0	0	1	1	2	5	0	8	0	6	1	7	0	0	0	1	0	3	0	0	0	0	4	3	1	2	0	0	0	0	0	2	4	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	1510	7	6	7	11	4	10	10	7	10	16	11	6	3	12	5	9	16	7	4	7	7	14	6	7	0	16	11	6	14	17	25	9	22	16	17	14	5	14	19	5	11	22	18	26	20	45	45	24	56	21	14	17	41	22	50	53	29	27	36	31	42	40	36	73	53	99	28	15	0	43	0	2	7	6	3	3	4	1	1	2	3	1	2	1	2	4	1	2	1	4	2	0	3	1	2	0	1	0	2	0	0	0									
