7	Число избирательных бюллетеней в переносных ящиках для голосования	4620	41	41	16	40	47	10	31	24	45	33	40	14	58	28	13	141	93	37	21	27	31	22	54	70	74	68	74	29	43	83	53	51	68	67	45	93	48	99	59	82	44	50	22	15	51	60	192	9	92	39	180	29	39	21	53	20	10	27	54	28	16	19	8	43	17	29	35	10	22	12	24	43	58	58	70	164	43	29	56	47	0	3	56	40	116	39	19	17	32	31	16	6	53	35	32	50	62	15	12	22	25	55	33									
8	Число бюллетеней в стационарных ящиках для голосования	94275	1344	1460	743	1133	1111	917	1264	1195	1044	1557	1092	983	1312	1381	931	1157	1414	1033	1212	1078	1232	1058	973	1144	508	1288	1053	716	1292	1424	1171	1394	1380	1537	915	1080	751	1038	730	1098	837	581	1570	316	1596	1378	297	1152	1229	1554	1049	1235	1125	1568	1452	1285	1326	1046	1595	1619	1062	1357	685	1345	1334	1508	1122	1324	1274	1500	1242	616	533	519	252	315	434	256	166	524	114	54	401	270	601	852	268	212	203	242	563	136	622	338	298	550	258	155	75	444	125	304	869									
9	Число недействительных избирательных бюллетеней	1134	11	23	9	18	12	9	20	17	12	25	18	11	11	22	11	9	10	10	18	8	19	11	13	23	11	18	23	8	18	8	14	17	19	21	9	19	16	21	5	20	8	5	21	5	17	11	5	11	12	13	0	20	11	7	13	12	20	23	13	15	12	18	11	17	19	17	20	10	15	13	18	6	5	6	6	4	15	1	0	6	0	0	5	3	9	7	2	0	0	7	7	0	5	1	0	5	2	1	1	2	0	6	13									
10	Число действительных избирательных бюллетеней	97761	1374	1478	750	1155	1146	918	1275	1202	1077	1565	1114	986	1359	1387	933	1289	1497	1060	1215	1097	1244	1069	1014	1191	571	1338	1104	737	1317	1499	1210	1428	1429	1583	951	1154	783	1116	784	1160	873	626	1571	326	1630	1427	484	1150	1309	1580	1229	1244	1153	1582	1492	1293	1316	1050	1636	1632	1066	1358	682	1371	1332	1520	1137	1324	1281	1499	1248	653	586	571	316	475	462	284	222	565	114	57	452	307	708	884	285	229	235	266	572	142	670	372	330	595	318	169	86	464	150	353	889									
11	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																		
13	Бабурин Сергей Николаевич	715	8	20	5	17	11	6	13	6	11	12	9	8	12	8	9	5	6	10	14	7	13	5	8	4	0	10	15	0	11	11	8	10	8	17	7	5	4	7	3	6	4	4	15	0	11	8	3	8	9	13	7	8	14	14	11	14	12	9	20	18	11	11	3	11	12	11	9	7	7	7	17	3	4	7	4	2	2	1	0	2	0	1	3	0	7	7	3	0	0	1	2	0	0	1	0	1	0	1	1	1	0	1	3									
		0.72%	0.58%	1.33%	0.66%	1.45%	0.95%	0.65%	1.00%	0.49%	1.01%	0.75%	0.80%	0.80%	0.88%	0.57%	0.95%	0.39%	0.40%	0.93%	1.14%	0.63%	1.03%	0.46%	0.78%	0.33%	0.00%	0.74%	1.33%	0.00%	0.82%	0.73%	0.65%	0.69%	0.55%	1.06%	0.73%	0.43%	0.50%	0.62%	0.38%	0.51%	0.45%	0.63%	0.94%	0.00%	0.67%	0.56%	0.61%	0.69%	0.68%	0.82%	0.57%	0.63%	1.20%	0.88%	0.73%	1.07%	0.90%	0.84%	1.21%	1.09%	1.02%	0.80%	0.43%	0.79%	0.89%	0.72%	0.78%	0.52%	0.54%	0.46%	1.34%	0.46%	0.68%	1.21%	1.24%	0.42%	0.42%	0.35%	0.00%	0.35%	0.00%	1.75%	0.66%	0.00%	0.98%	0.79%	1.05%	0.00%	0.00%	0.37%	0.35%	0.00%	0.00%	0.27%	0.00%	0.17%	0.00%	0.59%	1.15%	0.21%	0.00%	0.28%	0.33%									
14	Грудинин Павел Николаевич	13589	221	233	121	167	178	136	190	182	171	237	175	153	192	221	148	137	218	172	171	154	168	152	149	175	14	228	148	90	204	211	184	218	221	247	127	112	113	157	103	153	115	86	239	32	224	158	45	166	104	227	292	183	185	257	198	181	209	163	220	236	178	211	117	234	219	195	185	206	209	210	183	73	100	63	18	37	25	14	15	57	6	1	19	18	43	126	41	30	6	13	77	22	73	34	9	32	21	10	2	35	23	25	103									
		13.74%	15.96%	15.52%	15.94%	14.24%	15.37%	14.67%	14.67%	14.93%	15.70%	14.91%	15.46%	15.35%	14.01%	15.68%	15.68%	10.55%	14.47%	16.07%	13.87%	13.94%	13.30%	14.07%	14.51%	14.42%	2.41%	16.81%	13.13%	12.08%	15.28%	14.00%	15.03%	15.09%	15.26%	15.40%	13.23%	9.55%	14.14%	13.81%	13.05%	12.97%	13.05%	13.63%	15.01%	9.67%	13.60%	10.99%	9.20%	14.30%	7.87%	14.25%	23.76%	14.48%	15.89%	16.17%	13.16%	13.87%	15.64%	15.19%	13.34%	14.33%	16.51%	15.33%	16.88%	16.86%	16.21%	12.69%	15.99%	15.44%	16.13%	13.89%	14.45%	11.08%	16.92%	10.92%	5.59%	7.72%	5.24%	4.91%	6.76%	9.98%	5.26%	1.75%	4.16%	5.81%	5.99%	14.14%	14.29%	13.10%	2.55%	4.76%	13.30%	15.49%	10.81%	9.12%	2.73%	5.33%	6.56%	5.88%	2.30%	7.51%	15.33%	6.96%	11.42%									
15	Жириновский Владимир Вольфович	6634	118	119	38	96	79	73	95	74	59	120	67	55	79	88	53	70	58	88	87	76	97	89	64	88	14	114	89	46	97	116	102	111	132	132	85	91	55	94	49	73	67	53	131	16	115	82	24	75	57	95	32	64	74	101	132	86	80	70	133	142	82	110	65	93	91	104	99	91	84	82	83	44	43	33	19	17	12	14	12	31	3	3	34	19	41	80	9	19	8	9	32	10	29	9	22	18	19	4	2	9	2	17	68									
		6.71%	8.52%	7.93%	5.01%	8.18%	6.82%	7.87%	7.34%	6.07%	5.42%	7.55%	5.92%	5.52%	5.77%	6.25%	5.61%	5.39%	3.85%	8.22%	7.06%	6.88%	7.68%	8.24%	6.23%	7.25%	2.41%	8.41%	7.90%	6.17%	7.27%	7.70%	8.33%	7.68%	9.12%	8.23%	8.85%	7.76%	6.88%	8.27%	6.21%	6.19%	7.60%	8.40%	8.23%	4.83%	6.98%	5.70%	4.91%	6.46%	4.31%	5.96%	2.60%	5.06%	6.36%	6.36%	8.77%	6.59%	5.99%	6.52%	8.07%	8.62%	7.61%	7.99%	9.38%	6.70%	6.74%	6.77%	8.56%	6.82%	6.48%	5.42%	6.56%	6.68%	7.28%	5.72%	5.90%	3.55%	2.52%	4.91%	5.41%	5.43%	2.63%	5.26%	7.44%	6.13%	5.72%	8.98%	3.14%	8.30%	3.40%	3.30%	5.53%	7.04%	4.30%	2.41%	6.67%	3.00%	5.94%	2.35%	2.30%	1.93%	1.33%	4.74%	7.54%									
16	Путин Владимир Владимирович	72845	961	1052	539	839	830	672	925	889	784	1126	805	725	1005	993	675	1018	1175	745	885	818	895	787	747	881	536	929	808	570	956	1098	877	1027	1009	1132	701	920	574	808	599	873	655	459	1125	271	1202	1131	397	839	1076	1189	885	920	838	1133	1083	942	941	761	1200	1151	743	969	463	965	943	1136	798	942	916	1123	904	517	417	459	272	398	419	250	184	472	103	48	384	266	602	644	228	177	218	238	443	110	557	321	296	535	272	145	79	415	123	303	662									
		73.66%	69.39%	70.09%	71.01%	71.53%	71.68%	72.49%	71.43%	72.93%	71.99%	70.82%	71.11%	72.72%	73.36%	70.48%	71.50%	78.43%	77.97%	69.63%	71.78%	74.03%	70.86%	72.87%	72.74%	72.57%	92.10%	68.51%	71.69%	76.51%	71.61%	72.86%	71.65%	71.07%	69.68%	70.57%	73.02%	78.43%	71.84%	71.06%	75.92%	73.98%	74.35%	72.74%	70.67%	81.87%	72.98%	78.65%	81.19%	72.27%	81.45%	74.64%	72.01%	72.78%	71.99%	71.30%	71.96%	72.18%	70.43%	70.92%	72.77%	69.88%	68.92%	70.42%	66.81%	69.52%	69.80%	73.91%	68.97%	70.61%	70.68%	74.27%	71.41%	78.45%	70.56%	79.55%	84.47%	83.09%	87.84%	87.72%	82.88%	82.66%	90.35%	84.21%	84.03%	85.81%	83.96%	72.28%	79.44%	77.29%	92.77%	87.18%	76.51%	77.46%	82.52%	86.06%	89.70%	89.17%	85.00%	85.29%	90.80%	89.06%	82.00%	84.40%	73.39%									
17	Собчак Ксения Анатольевна	1360	15	20	18	13	15	9	19	15	20	28	26	16	21	30	17	17	9	14	17	17	19	9	19	9	3	19	19	10	12	24	15	28	14	18	13	13	11	17	7	22	9	6	23	3	24	15	3	18	15	27	2	30	12	31	19	21	28	13	21	30	15	18	13	23	22	28	19	26	22	33	20	2	9	6	0	7	1	3	3	2	0	3	2	2	2	9	2	1	2	2	9	0	6	2	3	3	1	5	2	1	1	3	20									
		1.38%	1.08%	1.33%	2.37%	1.11%	1.30%	0.97%	1.47%	1.23%	1.84%	1.76%	2.30%	1.60%	1.53%	2.13%	1.80%	1.31%	0.60%	1.31%	1.38%	1.54%	1.50%	0.83%	1.85%	0.74%	0.52%	1.40%	1.69%	1.34%	0.90%	1.59%	1.23%	1.94%	0.97%	1.12%	1.35%	1.11%	1.38%	1.50%	0.89%	1.86%	1.02%	0.95%	1.44%	0.91%	1.46%	1.04%	0.61%	1.55%	1.14%	1.69%	0.16%	2.37%	1.03%	1.95%	1.26%	1.61%	2.10%	1.21%	1.27%	1.82%	1.39%	1.31%	1.88%	1.66%	1.63%	1.82%	1.64%	1.95%	1.70%	2.18%	1.58%	0.30%	1.52%	1.04%	0.00%	1.46%	0.21%	1.05%	1.35%	0.35%	0.00%	5.26%	0.44%	0.65%	0.28%	1.01%	0.70%	0.44%	0.85%	0.73%	1.55%	0.00%	0.89%	0.54%	0.91%	0.50%	0.31%	2.94%	2.30%	0.21%	0.67%	0.84%	2.22%									
18	Сурайкин Максим Александрович	979	16	15	9	8	5	8	12	17	9	13	10	14	14	13	13	13	4	11	10	15	23	13	4	8	0	18	12	10	15	20	17	13	16	13	11	4	9	10	11	17	11	8	12	0	28	15	4	18	19	15	0	18	13	18	13	20	10	15	15	17	11	15	8	13	17	10	8	19	18	11	11	6	9	1	1	7	3	1	7	1	0	1	3	1	7	8	1	2	1	2	5	0	3	5	0	4	2	3	0	3	0	3	6									
		0.99%	1.16%	0.99%	1.19%	0.68%	0.43%	0.86%	0.93%	1.39%	0.83%	0.82%	0.88%	1.40%	1.02%	0.92%	1.38%	1.00%	0.27%	1.03%	0.81%	1.36%	1.82%	1.20%	0.39%	0.66%	0.00%	1.33%	1.06%	1.34%	1.12%	1.33%	1.39%	0.90%	1.10%	0.81%	1.15%	0.34%	1.13%	0.88%	1.39%	1.44%	1.25%	1.27%	0.75%	0.00%	1.70%	1.04%	0.82%	1.55%	1.44%	0.94%	0.00%	1.42%	1.12%	1.13%	0.86%	1.53%	0.75%	1.40%	0.91%	1.03%	1.02%	1.09%	1.15%	0.94%	1.26%	0.65%	0.69%	1.42%	1.39%	0.73%	0.87%	0.91%	1.52%	0.17%	0.31%	1.46%	0.63%	0.35%	3.15%	0.18%	0.00%	1.75%	0.66%	0.32%	0.98%	0.90%	0.35%	0.87%	0.43%	0.73%	0.86%	0.00%	0.44%	1.34%	0.00%	0.67%	0.63%	1.76%	0.00%	0.64%	0.00%	0.84%	0.67%									
19	Титов Борис Юрьевич	866	22	12	12	12	20	8	10	9	12	15	12	8	20	18	11	12	9	13	16	6	13	10	5	9	1	15	10	5	10	9	3	9	12	12	4	6	11	14	5	9	5	6	16	0	15	8	5	11	17	7	5	7	9	15	19	12	12	9	15	22	18	16	9	20	12	20	11	17	16	16	20	7	4	1	1	7	0	1	0	0	1	0	0	0	2	5	1	0	0	0	2	0	1	0	0	1	2	0	0	0	1	1	9									
		0.88%	1.59%	0.80%	1.58%	1.02%	1.73%	0.86%	0.77%	0.74%	1.10%	0.94%	1.06%	0.80%	1.46%	1.28%	1.17%	0.92%	0.60%	1.21%	1.30%	0.54%	1.03%	0.93%	0.49%	0.74%	0.17%	1.11%	0.89%	0.67%	0.75%	0.60%	0.25%	0.62%	0.83%	0.75%	0.42%	0.51%	1.38%	1.23%	0.63%	0.76%	0.57%	0.95%	1.01%	0.00%	0.91%	0.56%	1.02%	0.95%	1.29%	0.44%	0.41%	0.55%	0.77%	0.94%	1.26%	0.92%	0.90%	0.84%	0.91%	1.34%	1.67%	1.16%	1.30%	1.44%	0.89%	1.30%	0.95%	1.27%	1.23%	1.06%	1.58%	1.06%	0.68%	0.17%	0.31%	1.46%	0.00%	0.35%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.28%	0.56%	0.35%	0.00%	0.00%	0.00%	0.35%	0.00%	0.15%	0.00%	0.00%	0.17%	0.63%	0.00%	0.00%	0.00%	0.67%	0.28%	0.99%									
20	Явлинский Григорий Алексеевич	773	13	7	8	3	8	6	11	10	11	14	10	7	16	16	7	17	18	7	15	4	16	4	18	17	3	5	3	6	12	10	4	12	17	12	3	3	6	9	7	7	7	4	10	4	11	10	3	15	12	7	6	14	8	13	17	17	24	10	12	16	8	8	4	12	16	16	8	16	9	17	10	1	0	1	1	0	0	0	1	0	1	0	7	1	4	5	0	0	0	1	2	0	1	0	0	1	1	1	0	0	0	0	18									
		0.78%	0.94%	0.47%	1.05%	0.26%	0.69%	0.65%	0.85%	0.82%	1.01%	0.88%	0.88%	0.70%	1.17%	1.14%	0.74%	1.31%	1.19%	0.65%	1.22%	0.36%	1.27%	0.37%	1.75%	1.40%	0.52%	0.37%	0.27%	0.81%	0.90%	0.66%	0.33%	0.83%	1.17%	0.75%	0.31%	0.26%	0.75%	0.79%	0.89%	0.59%	0.79%	0.63%	0.63%	1.21%	0.67%	0.70%	0.61%	1.29%	0.91%	0.44%	0.49%	1.11%	0.69%	0.82%	1.13%	1.30%	1.80%	0.93%	0.73%	0.97%	0.74%	0.58%	0.58%	0.86%	1.18%	1.04%	0.69%	1.20%	0.69%	1.12%	0.79%	0.15%	0.00%	0.17%	0.31%	0.00%	0.00%	0.00%	0.45%	0.00%	0.88%	0.00%	1.53%	0.32%	0.56%	0.56%	0.00%	0.00%	0.00%	0.37%	0.35%	0.00%	0.15%	0.00%	0.00%	0.17%	0.31%	0.59%	0.00%	0.00%	0.00%	0.00%	1.99%									
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
