Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
Наименование Избирательной комиссии:    Заводоуковская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316					
1	"Число избирателей, внесенных в списки избирателей"	37590	1144	1456	1010	876	1363	1613	815	1100	1176	994	825	1709	1431	2602	317	1015	1095	660	149	94	585	160	85	224	528	207	417	388	1079	395	60	567	578	79	528	120	508	1002	182	229	158	155	578	700	438	491	814	110	845	57	406	187	463	224	337	134	422	249	306	406	226	186	333					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	33945	900	1000	900	700	1000	1200	700	900	900	900	800	1400	1200	2400	320	900	1000	650	156	101	600	162	87	215	540	210	420	380	1000	390	64	550	550	75	540	122	500	950	210	220	161	162	580	680	450	490	800	112	800	59	400	190	450	220	330	136	420	240	300	400	230	188	335					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	26251	685	869	605	477	849	1033	511	665	750	653	491	1051	892	1672	216	640	740	535	115	86	463	135	85	189	414	173	304	368	863	302	54	444	427	71	427	107	323	663	171	202	146	131	400	504	357	315	548	95	700	51	330	166	401	189	291	128	306	219	275	340	169	137	333					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1735	46	63	32	153	45	56	30	40	14	25	51	23	92	65	7	42	19	16	11	4	21	11	0	11	19	10	43	0	111	35	2	55	48	3	73	7	21	25	11	0	0	0	40	22	12	39	33	6	42	6	32	12	22	19	10	3	19	8	6	9	10	45	0					
6	Число погашенных избирательных бюллетеней	5959	169	68	263	70	106	111	159	195	136	222	258	326	216	663	97	218	241	99	30	11	116	16	2	15	107	27	73	12	26	53	8	51	75	1	40	8	156	262	28	18	15	31	140	154	81	136	219	11	58	2	38	12	27	12	29	5	95	13	19	51	51	6	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1735	46	63	32	153	45	56	30	40	14	25	51	23	92	65	7	42	19	16	11	4	21	11	0	11	19	10	43	0	111	35	2	55	48	3	73	7	21	25	11	0	0	0	40	22	12	39	33	6	42	6	32	12	22	19	10	3	19	8	6	9	10	45	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26245	684	869	605	477	849	1033	511	665	750	653	491	1051	892	1671	216	640	740	535	115	86	462	135	85	189	414	173	304	368	862	302	54	444	426	71	427	107	323	663	171	202	146	131	400	503	357	315	548	95	700	51	330	166	401	189	291	128	306	219	275	340	169	137	333					
9	Число недействительных избирательных бюллетеней	327	13	9	10	10	12	13	5	4	9	5	3	15	13	18	5	7	2	7	0	0	0	1	0	1	7	1	3	1	17	6	0	17	1	1	2	0	2	10	0	2	0	0	5	12	1	2	0	0	6	5	34	0	3	1	2	0	4	0	3	10	3	4	0					
10	Число действительных избирательных бюллетеней	27653	717	923	627	620	882	1076	536	701	755	673	539	1059	971	1718	218	675	757	544	126	90	483	145	85	199	426	182	344	367	956	331	56	482	473	73	498	114	342	678	182	200	146	131	435	513	368	352	581	101	736	52	328	178	420	207	299	131	321	227	278	339	176	178	333					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	663	10	16	15	7	7	8	12	11	7	11	5	25	15	20	5	5	11	15	9	8	33	5	0	1	20	0	5	3	5	20	3	21	16	5	20	9	5	17	10	3	5	5	22	15	14	9	15	3	13	3	21	7	27	11	13	5	21	5	10	6	10	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	630	10	14	12	4	7	8	12	11	7	11	5	25	15	20	1	3	11	15	9	8	33	5	0	1	17	0	5	3	5	20	3	21	16	5	20	9	5	15	10	3	4	5	20	15	14	9	13	2	13	3	21	6	25	11	13	3	21	2	10	6	10	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	264	3	8	7	19	9	16	8	6	4	5	4	11	3	4	1	5	22	4	1	1	3	0	0	3	2	2	1	1	16	5	1	1	3	5	0	2	2	4	2	2	2	2	4	7	0	1	2	2	4	3	2	1	2	9	1	1	2	4	5	4	4	6	0					
14	Число погашенных неиспользованных открепительных удостоверений	33	0	2	3	3	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	2	1	0	0	0	1	2	0	0	2	0	3	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	3	1	0	0	0	0	0	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
18	1.Политическая партия «Аграрная партия России»	459	10	30	10	10	12	12	10	13	11	8	14	20	14	43	4	12	12	6	1	1	1	2	0	2	4	3	12	0	5	9	1	19	10	3	4	0	3	15	4	1	0	2	10	10	5	5	6	0	11	0	7	1	4	4	6	0	20	6	2	4	3	2	0					
		1.64%	1.37%	3.22%	1.57%	1.59%	1.34%	1.10%	1.85%	1.84%	1.44%	1.18%	2.58%	1.86%	1.42%	2.48%	1.79%	1.76%	1.58%	1.09%	0.79%	1.11%	0.21%	1.37%	0.00%	1.00%	0.92%	1.64%	3.46%	0.00%	0.51%	2.67%	1.79%	3.81%	2.11%	4.05%	0.80%	0.00%	0.87%	2.18%	2.20%	0.50%	0.00%	1.53%	2.27%	1.90%	1.36%	1.41%	1.03%	0.00%	1.48%	0.00%	1.93%	0.56%	0.95%	1.92%	1.99%	0.00%	6.15%	2.64%	0.71%	1.15%	1.68%	1.10%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	127	1	11	2	1	2	7	4	1	4	4	2	16	9	10	2	6	8	0	0	0	1	0	0	0	2	0	2	1	3	1	0	0	3	0	0	0	0	2	0	0	0	1	1	7	1	1	0	0	1	0	2	0	2	0	0	0	2	0	1	0	0	0	3					
		0.45%	0.14%	1.18%	0.31%	0.16%	0.22%	0.64%	0.74%	0.14%	0.52%	0.59%	0.37%	1.49%	0.91%	0.58%	0.90%	0.88%	1.05%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.46%	0.00%	0.58%	0.27%	0.31%	0.30%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.76%	0.23%	1.33%	0.27%	0.28%	0.00%	0.00%	0.13%	0.00%	0.55%	0.00%	0.47%	0.00%	0.00%	0.00%	0.62%	0.00%	0.36%	0.00%	0.00%	0.00%	0.90%					
20	3.Политическая партия «Демократическая партия России»	31	0	0	0	0	0	1	1	3	2	0	2	1	1	4	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0					
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.18%	0.43%	0.26%	0.00%	0.37%	0.09%	0.10%	0.23%	0.45%	0.29%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.28%	0.00%	2.97%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1572	54	45	63	41	66	71	34	39	54	59	45	69	66	111	21	33	44	41	7	3	9	2	5	2	9	9	10	8	25	25	1	31	39	2	6	2	16	37	12	7	2	4	22	36	43	42	32	0	19	2	20	1	40	3	9	7	27	10	13	5	4	7	1					
		5.62%	7.40%	4.83%	9.89%	6.51%	7.38%	6.52%	6.28%	5.53%	7.07%	8.70%	8.30%	6.42%	6.71%	6.39%	9.42%	4.84%	5.80%	7.44%	5.56%	3.33%	1.86%	1.37%	5.88%	1.00%	2.08%	4.92%	2.88%	2.17%	2.57%	7.42%	1.79%	6.21%	8.23%	2.70%	1.20%	1.75%	4.65%	5.38%	6.59%	3.47%	1.37%	3.05%	5.00%	6.86%	11.65%	11.86%	5.51%	0.00%	2.56%	3.51%	5.52%	0.56%	9.46%	1.44%	2.99%	5.34%	8.31%	4.41%	4.63%	1.43%	2.23%	3.85%	0.30%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	87	3	3	3	4	1	3	3	4	2	1	4	8	4	6	1	6	7	0	0	0	1	0	0	0	3	0	1	0	0	0	1	2	1	0	0	0	1	1	0	1	0	2	1	3	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1					
		0.31%	0.41%	0.32%	0.47%	0.63%	0.11%	0.28%	0.55%	0.57%	0.26%	0.15%	0.74%	0.74%	0.41%	0.35%	0.45%	0.88%	0.92%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.69%	0.00%	0.29%	0.00%	0.00%	0.00%	1.79%	0.40%	0.21%	0.00%	0.00%	0.00%	0.29%	0.15%	0.00%	0.50%	0.00%	1.53%	0.23%	0.57%	0.27%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.30%					
23	6.Политическая партия «Партия социальной справедливости»	49	0	0	1	3	2	0	2	1	2	2	1	3	4	3	0	0	2	1	0	0	0	0	0	0	0	0	2	0	1	0	0	4	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	1	3	1	0	0	0					
		0.18%	0.00%	0.00%	0.16%	0.48%	0.22%	0.00%	0.37%	0.14%	0.26%	0.29%	0.18%	0.28%	0.41%	0.17%	0.00%	0.00%	0.26%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.10%	0.00%	0.00%	0.80%	0.21%	0.00%	0.00%	0.00%	0.00%	0.15%	0.55%	0.00%	0.68%	0.76%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.31%	0.44%	1.07%	0.29%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2863	117	93	94	56	144	105	46	101	116	74	72	161	71	198	26	60	92	65	2	2	12	4	5	4	21	13	12	17	38	19	2	51	18	5	16	4	38	123	26	8	14	11	56	102	63	46	53	3	22	3	20	15	27	10	37	8	45	18	11	46	31	28	63					
		10.23%	16.03%	9.98%	14.76%	8.89%	16.11%	9.64%	8.50%	14.33%	15.18%	10.91%	13.28%	14.99%	7.22%	11.41%	11.66%	8.80%	12.12%	11.80%	1.59%	2.22%	2.48%	2.74%	5.88%	2.00%	4.85%	7.10%	3.46%	4.62%	3.91%	5.64%	3.57%	10.22%	3.80%	6.76%	3.20%	3.51%	11.05%	17.88%	14.29%	3.96%	9.59%	8.40%	12.73%	19.43%	17.07%	12.99%	9.12%	2.97%	2.96%	5.26%	5.52%	8.43%	6.38%	4.81%	12.29%	6.11%	13.85%	7.93%	3.91%	13.18%	17.32%	15.38%	18.92%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1352	45	78	47	37	53	55	40	39	59	59	37	65	53	123	11	35	52	16	3	3	4	3	1	3	10	6	9	3	10	15	2	12	35	1	3	0	18	45	8	3	7	6	13	34	24	22	5	5	9	2	17	1	9	5	12	1	34	11	7	11	6	7	3					
		4.83%	6.16%	8.37%	7.38%	5.87%	5.93%	5.05%	7.39%	5.53%	7.72%	8.70%	6.83%	6.05%	5.39%	7.09%	4.93%	5.13%	6.85%	2.90%	2.38%	3.33%	0.83%	2.05%	1.18%	1.50%	2.31%	3.28%	2.59%	0.82%	1.03%	4.45%	3.57%	2.40%	7.38%	1.35%	0.60%	0.00%	5.23%	6.54%	4.40%	1.49%	4.79%	4.58%	2.95%	6.48%	6.50%	6.21%	0.86%	4.95%	1.21%	3.51%	4.70%	0.56%	2.13%	2.40%	3.99%	0.76%	10.46%	4.85%	2.49%	3.15%	3.35%	3.85%	0.90%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	161	4	18	7	3	7	4	2	0	2	5	4	6	5	8	3	4	10	2	0	0	0	1	2	0	4	2	1	2	4	4	1	5	2	0	0	0	3	5	1	0	0	1	5	3	4	3	0	0	1	1	3	0	0	1	1	0	0	2	2	2	0	1	0					
		0.58%	0.55%	1.93%	1.10%	0.48%	0.78%	0.37%	0.37%	0.00%	0.26%	0.74%	0.74%	0.56%	0.51%	0.46%	1.35%	0.59%	1.32%	0.36%	0.00%	0.00%	0.00%	0.68%	2.35%	0.00%	0.92%	1.09%	0.29%	0.54%	0.41%	1.19%	1.79%	1.00%	0.42%	0.00%	0.00%	0.00%	0.87%	0.73%	0.55%	0.00%	0.00%	0.76%	1.14%	0.57%	1.08%	0.85%	0.00%	0.00%	0.13%	1.75%	0.83%	0.00%	0.00%	0.48%	0.33%	0.00%	0.00%	0.88%	0.71%	0.57%	0.00%	0.55%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	20822	479	640	393	460	594	814	385	495	501	453	355	707	738	1203	146	515	527	408	113	81	453	132	72	188	373	148	292	335	867	255	48	356	363	62	468	108	260	443	128	180	122	103	324	315	225	231	485	90	668	44	254	160	337	181	232	113	192	179	236	269	131	132	261					
		74.42%	65.62%	68.67%	61.70%	73.02%	66.44%	74.75%	71.16%	70.21%	65.58%	66.81%	65.50%	65.83%	75.00%	69.30%	65.47%	75.51%	69.43%	74.05%	89.68%	90.00%	93.79%	90.41%	84.71%	94.00%	86.14%	80.87%	84.15%	91.03%	89.11%	75.67%	85.71%	71.34%	76.58%	83.78%	93.60%	94.74%	75.58%	64.39%	70.33%	89.11%	83.56%	78.63%	73.64%	60.00%	60.98%	65.25%	83.48%	89.11%	90.03%	77.19%	70.17%	89.89%	79.67%	87.02%	77.08%	86.26%	59.08%	78.85%	83.99%	77.08%	73.18%	72.53%	78.38%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	130	4	5	7	5	1	4	9	5	2	8	3	3	6	9	3	2	2	5	0	0	2	1	0	0	0	1	2	1	3	1	0	2	1	0	1	0	3	5	2	0	0	0	3	2	1	1	0	0	0	0	5	0	1	2	1	1	0	0	3	1	0	0	1					
		0.46%	0.55%	0.54%	1.10%	0.79%	0.11%	0.37%	1.66%	0.71%	0.26%	1.18%	0.55%	0.28%	0.61%	0.52%	1.35%	0.29%	0.26%	0.91%	0.00%	0.00%	0.41%	0.68%	0.00%	0.00%	0.00%	0.55%	0.58%	0.27%	0.31%	0.30%	0.00%	0.40%	0.21%	0.00%	0.20%	0.00%	0.87%	0.73%	1.10%	0.00%	0.00%	0.00%	0.68%	0.38%	0.27%	0.28%	0.00%	0.00%	0.00%	0.00%	1.38%	0.00%	0.24%	0.96%	0.33%	0.76%	0.00%	0.00%	1.07%	0.29%	0.00%	0.00%	0.30%					
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
