Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
Наименование Избирательной комиссии:    Заводоуковская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304					
1	"Число избирателей, внесенных в список избирателей"	38094	1043	1085	955	832	1756	1706	1310	1323	1011	2028	1801	659	1309	1312	263	1273	1043	499	222	440	244	306	409	225	879	52	373	140	596	689	561	417	856	123	574	558	121	567	78	59	404	1145	520	945	210	250	166	177	421	306	781	93	216	95	160	737	577	226	412	156	161	239					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35166	930	950	860	760	1500	1450	1150	1100	920	1760	1600	600	1100	1200	250	1100	920	480	225	440	250	300	400	230	880	56	360	141	590	690	500	400	780	125	550	550	122	550	82	61	400	1100	500	900	217	250	179	178	400	330	750	99	211	95	167	710	550	224	400	190	163	241					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25939	614	651	681	602	1072	876	743	818	588	1252	1041	382	781	795	179	775	632	417	169	326	199	263	310	158	766	46	308	116	409	504	407	265	581	95	391	501	108	378	67	58	322	795	338	692	199	208	160	167	331	235	664	92	174	81	106	579	471	174	324	124	140	239					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1621	36	36	36	33	43	109	47	46	48	35	90	35	39	33	8	25	46	13	16	23	9	4	10	3	27	2	9	5	16	10	28	14	21	4	77	24	10	31	3	0	38	195	11	45	7	3	1	0	32	53	25	0	5	6	7	16	22	2	16	13	20	0					
6	Число погашенных избирательных бюллетеней	7606	280	263	143	125	385	465	360	236	284	473	469	183	280	372	63	300	242	50	40	91	42	33	80	69	87	8	43	20	165	176	65	121	178	26	82	25	4	141	12	3	40	110	151	163	11	39	18	11	37	42	61	7	32	8	54	115	57	48	60	53	3	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1621	36	36	36	33	43	109	47	46	48	35	90	35	39	33	8	25	46	13	16	23	9	4	10	3	27	2	9	5	16	10	28	14	21	4	77	24	10	31	3	0	38	195	11	45	7	3	1	0	32	53	25	0	5	6	7	16	22	2	16	13	20	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25934	614	651	681	602	1071	876	743	818	588	1252	1041	382	781	795	179	775	632	416	168	326	199	263	310	158	766	46	308	116	409	504	407	265	581	95	391	501	108	378	67	58	322	795	338	692	199	208	159	167	331	235	663	92	174	81	106	579	471	174	324	124	140	239					
9	Число недействительных избирательных бюллетеней	245	10	1	1	9	16	17	25	0	3	12	14	5	16	10	9	11	5	2	0	0	0	2	0	0	3	0	7	2	1	2	0	1	0	2	0	2	2	8	1	1	2	0	11	1	0	0	0	0	3	1	3	0	0	1	0	17	3	1	0	0	2	0					
10	Число действительных избирательных бюллетеней	27310	640	686	716	626	1098	968	765	864	633	1275	1117	412	804	818	178	789	673	427	184	349	208	265	320	161	790	48	310	119	424	512	435	278	602	97	468	523	116	401	69	57	358	990	338	736	206	211	160	167	360	287	685	92	179	86	113	578	490	175	340	137	158	239					
