Выборы Президента Российской Федерации																																																																								
																																																																								
Наименование Избирательной комиссии:    Нижнеудинская																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587					
1	"Число избирателей, внесенных в список"	21818	1220	217	155	228	120	97	115	83	1007	694	164	572	2231	1032	291	315	575	120	207	107	116	77	279	129	106	75	499	162	376	96	450	175	120	243	160	616	256	355	478	838	970	103	95	190	102	348	176	100	148	857	300	59	205	241	119	75	825	189	124	153	147	363	366	135	272					
2	Число полученных избирательных бюллетеней	19692	1092	177	139	206	117	95	115	81	887	616	160	495	1946	891	257	276	515	118	176	106	113	77	271	128	106	71	450	146	338	96	400	175	119	238	159	529	224	314	425	730	870	101	95	166	94	314	156	98	148	763	271	57	182	214	117	73	734	167	124	138	147	325	357	135	272					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14091	691	160	139	145	98	81	105	75	531	477	151	324	1161	549	170	204	341	87	134	76	84	67	267	128	104	54	329	124	198	74	286	175	100	189	134	425	192	203	347	427	538	70	80	106	60	253	143	79	100	575	207	48	164	197	86	65	431	167	96	124	114	191	269	121	201					
5	"Число избирательных бюллетеней, выданных вне помещения"	742	0	6	0	0	0	0	0	0	66	10	0	22	39	48	0	0	31	12	10	0	6	0	4	0	2	8	44	10	68	0	24	0	0	30	0	0	0	0	9	140	20	0	0	13	4	0	13	8	5	0	0	0	0	0	9	3	50	0	0	0	0	28	0	0	0					
6	Число погашенных избирательных бюллетеней	4859	401	11	0	61	19	14	10	6	290	129	9	149	746	294	87	72	143	19	32	30	23	10	0	0	0	9	77	12	72	22	90	0	19	19	25	104	32	111	69	163	312	31	15	47	30	61	0	11	43	188	64	9	18	17	22	5	253	0	28	14	33	106	88	14	71					
7	Число избирательных бюллетеней в переносных ящиках	742	0	6	0	0	0	0	0	0	66	10	0	22	39	48	0	0	31	12	10	0	6	0	4	0	2	8	44	10	68	0	24	0	0	30	0	0	0	0	9	140	20	0	0	13	4	0	13	8	5	0	0	0	0	0	9	3	50	0	0	0	0	28	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	14091	691	160	139	145	98	81	105	75	531	477	151	324	1161	549	170	204	341	87	134	76	84	67	267	128	104	54	329	124	198	74	286	175	100	189	134	425	192	203	347	427	538	70	80	106	60	253	143	79	100	575	207	48	164	197	86	65	431	167	96	124	114	191	269	121	201					
9	Число недействительных избирательных бюллетеней	140	4	0	0	3	0	1	0	0	7	11	0	0	18	5	5	0	5	2	1	0	0	1	5	1	0	0	11	0	4	0	2	0	0	3	0	6	0	0	0	5	3	0	1	7	0	6	0	0	0	5	0	0	1	0	0	0	10	0	0	0	0	0	2	2	3					
10	Число действительных избирательных бюллетеней	14693	687	166	139	142	98	80	105	75	590	476	151	346	1182	592	165	204	367	97	143	76	90	66	266	127	106	62	362	134	262	74	308	175	100	216	134	419	192	203	356	562	555	70	79	112	64	247	156	87	105	570	207	48	163	197	95	68	471	167	96	124	114	219	267	119	198					
11	Число полученных открепительных  удостоверений	256	10	3	3	3	2	2	2	2	10	6	2	5	15	9	4	4	6	2	3	2	2	2	4	2	2	2	5	3	4	2	4	3	2	4	3	6	3	4	5	8	9	2	2	3	2	4	3	2	3	9	4	2	4	4	3	2	8	3	2	3	3	4	4	2	4					
12	Число выданных открепительных удостоверений	36	0	0	0	1	0	0	0	0	5	3	0	1	7	3	1	0	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	2	1	0	0	0	0	0	1	0	0	0	0	0	2	1	2	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	4	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0					
14	Число неиспользованных открепительных удостоверений	220	10	3	3	2	2	2	2	2	5	3	2	4	8	6	3	4	2	1	3	2	2	2	4	2	2	2	3	3	4	2	4	3	2	4	3	6	3	4	5	8	8	2	2	3	2	4	0	2	3	9	4	2	4	4	3	2	8	1	2	3	3	2	4	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	29	1	3	0	0	0	0	0	0	1	1	0	2	6	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																								
18	. Глазьев Сергей Юрьевич	346	11	2	10	1	0	2	0	2	14	6	2	6	42	23	7	9	22	0	3	0	0	3	3	6	6	3	5	5	13	0	4	2	0	7	0	1	10	4	16	16	14	0	0	1	1	7	2	0	1	3	5	0	4	8	2	1	8	0	2	1	7	6	4	0	3					
		2.33%	1.59%	1.20%	7.19%	0.69%	0.00%	2.47%	0.00%	2.67%	2.35%	1.23%	1.32%	1.73%	3.50%	3.85%	4.12%	4.41%	5.91%	0.00%	2.08%	0.00%	0.00%	4.48%	1.11%	4.69%	5.66%	4.84%	1.34%	3.73%	4.89%	0.00%	1.29%	1.14%	0.00%	3.20%	0.00%	0.24%	5.21%	1.97%	4.49%	2.82%	2.51%	0.00%	0.00%	0.84%	1.56%	2.77%	1.28%	0.00%	0.95%	0.52%	2.42%	0.00%	2.44%	4.06%	2.11%	1.47%	1.66%	0.00%	2.08%	0.81%	6.14%	2.74%	1.49%	0.00%	1.49%					
19	. Малышкин Олег Александрович	552	24	6	2	10	5	3	3	4	24	36	5	10	40	18	6	13	18	10	1	0	2	2	8	0	12	2	8	7	12	0	12	15	6	21	4	15	6	7	9	27	17	1	2	4	0	6	6	2	3	17	8	1	6	10	7	3	20	0	1	3	5	7	2	1	7					
		3.72%	3.47%	3.61%	1.44%	6.90%	5.10%	3.70%	2.86%	5.33%	4.02%	7.39%	3.31%	2.89%	3.33%	3.02%	3.53%	6.37%	4.84%	10.10%	0.69%	0.00%	2.22%	2.99%	2.95%	0.00%	11.32%	3.23%	2.14%	5.22%	4.51%	0.00%	3.87%	8.57%	6.00%	9.59%	2.99%	3.53%	3.12%	3.45%	2.53%	4.76%	3.05%	1.43%	2.50%	3.36%	0.00%	2.37%	3.85%	2.30%	2.86%	2.96%	3.86%	2.08%	3.66%	5.08%	7.37%	4.41%	4.16%	0.00%	1.04%	2.42%	4.39%	3.20%	0.74%	0.83%	3.48%					
