7	Число избирательных бюллетеней в переносных ящиках для голосования	2917	35	47	129	32	42	70	78	19	37	12	24	70	88	62	52	46	24	49	48	70	54	89	141	106	60	81	41	20	7	0	0	12	10	12	9	30	16	0	14	112	44	12	17	53	20	29	13	14	0	13	7	7	9	34	20	71	10	1	52	0	0	20	7	55	0	12	19	24	156	30	0	0	20	4	13	11	5	11	45	23	0	11	74	13	6	46	0	0	0	0	38	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	35387	1216	503	509	492	431	1675	509	768	1172	471	326	930	1096	1332	285	612	750	646	793	793	585	478	668	502	281	317	517	933	155	158	168	99	86	98	65	889	627	209	513	1938	847	231	230	388	91	115	83	90	68	262	133	77	47	348	125	136	48	70	305	143	77	202	124	409	101	208	161	327	476	820	89	75	110	72	311	152	95	100	518	205	55	162	94	82	60	595	189	108	145	97	180	258	129	169					
9	Число недействительных избирательных бюллетеней	453	9	9	0	5	3	14	7	13	12	0	4	12	0	22	3	7	15	6	10	10	5	6	12	3	0	51	8	7	3	4	3	1	0	2	0	8	8	6	1	44	0	0	7	3	3	4	0	1	0	0	1	0	0	7	1	0	0	0	5	0	2	5	1	5	1	0	3	0	13	8	0	0	7	5	2	5	2	1	6	1	0	2	3	3	3	4	0	0	1	0	2	2	1	0					
10	Число действительных избирательных бюллетеней	37851	1242	541	638	519	470	1731	580	774	1197	483	346	988	1184	1372	334	651	759	689	831	853	634	561	797	605	341	347	550	946	159	154	165	110	96	108	74	911	635	203	526	2006	891	243	240	438	108	140	96	103	68	275	139	84	56	375	144	207	58	71	352	143	75	217	130	459	100	220	177	351	619	842	89	75	123	71	322	158	98	110	557	227	55	171	165	92	63	637	189	108	144	97	216	256	128	169					
11	Число полученных открепительных  удостоверений	1859	50	25	20	25	25	25	25	25	37	13	25	35	25	59	15	40	41	35	40	35	20	45	25	45	30	55	20	10	5	5	5	5	5	5	11	50	50	10	15	75	28	5	10	45	10	5	5	10	5	15	5	5	7	28	5	25	5	5	30	5	5	25	5	35	5	5	5	35	15	10	5	5	15	5	25	25	15	10	45	5	5	15	15	15	10	70	15	5	5	5	30	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1681	27	25	20	16	25	25	25	25	29	13	17	35	25	32	13	34	38	23	34	27	20	45	25	45	30	55	20	10	1	5	5	0	3	1	11	50	50	10	15	75	28	5	10	45	10	5	5	10	5	15	5	3	7	28	5	25	5	5	30	1	0	25	5	28	1	3	0	35	15	10	0	2	15	4	25	25	15	10	45	5	5	15	15	15	10	70	7	5	0	5	30	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	711	23	4	4	19	10	17	19	8	30	4	101	28	20	39	3	16	16	25	14	6	15	7	8	1	3	13	4	7	2	3	6	4	1	4	1	11	8	5	10	10	13	13	3	8	1	2	0	4	6	6	2	3	1	14	2	1	1	3	3	1	1	0	0	4	2	3	3	1	7	3	1	4	4	2	3	7	6	1	6	2	4	0	1	2	1	10	2	1	4	6	4	0	0	0					
14	Число неиспользованных открепительных удостоверений	178	23	0	0	9	0	0	0	0	8	0	8	0	0	27	2	6	3	12	6	8	0	0	0	0	0	0	0	0	4	0	0	5	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	5	0	0	7	4	2	5	0	0	0	5	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	330	12	10	7	6	7	10	8	3	7	2	1	5	9	10	2	5	4	7	6	5	5	2	7	4	2	2	3	8	1	1	5	2	2	1	0	10	2	2	3	10	15	5	5	4	1	1	0	1	0	1	1	3	0	4	1	2	0	0	10	1	0	3	1	1	2	2	1	2	11	6	0	0	1	0	5	0	0	2	2	1	0	4	1	2	0	9	2	1	6	1	7	3	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																					
18	Богданов Андрей Владимирович	384	9	5	4	2	6	15	10	6	20	11	4	8	21	21	3	6	7	15	7	6	8	8	4	13	5	4	8	3	2	0	1	0	1	0	1	2	4	6	2	31	4	2	3	8	3	0	1	3	3	3	0	0	1	6	1	1	0	2	0	0	1	2	0	3	4	0	2	3	9	3	0	0	0	0	2	0	1	0	2	1	0	1	0	4	0	4	1	1	0	2	2	5	0	1					
		1.00%	0.72%	0.91%	0.63%	0.38%	1.27%	0.86%	1.70%	0.76%	1.65%	2.28%	1.14%	0.80%	1.77%	1.51%	0.89%	0.91%	0.90%	2.16%	0.83%	0.70%	1.25%	1.41%	0.49%	2.14%	1.47%	1.01%	1.43%	0.31%	1.23%	0.00%	0.60%	0.00%	1.04%	0.00%	1.35%	0.22%	0.62%	2.87%	0.38%	1.51%	0.45%	0.82%	1.21%	1.81%	2.70%	0.00%	1.04%	2.88%	4.41%	1.09%	0.00%	0.00%	1.79%	1.57%	0.69%	0.48%	0.00%	2.82%	0.00%	0.00%	1.30%	0.90%	0.00%	0.65%	3.96%	0.00%	1.11%	0.85%	1.42%	0.35%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	1.00%	0.00%	0.36%	0.44%	0.00%	0.58%	0.00%	4.21%	0.00%	0.62%	0.53%	0.93%	0.00%	2.06%	0.92%	1.94%	0.00%	0.59%					
19	Жириновский Владимир Вольфович	5263	228	60	98	85	83	123	79	82	184	87	83	135	153	244	56	103	145	136	168	163	102	61	78	68	26	38	70	60	19	6	15	16	15	10	13	67	55	12	45	309	106	29	48	84	17	19	7	9	9	53	12	29	10	50	15	33	11	23	52	41	20	45	30	60	24	22	24	49	99	99	18	5	18	14	79	13	6	21	67	36	6	13	10	14	10	72	14	13	33	16	18	21	16	21					
		13.74%	18.23%	10.91%	15.36%	16.22%	17.55%	7.05%	13.46%	10.42%	15.22%	18.01%	23.71%	13.50%	12.92%	17.50%	16.62%	15.65%	18.73%	19.57%	19.98%	18.89%	15.96%	10.76%	9.64%	11.18%	7.62%	9.55%	12.54%	6.30%	11.73%	3.80%	8.93%	14.41%	15.63%	9.09%	17.57%	7.29%	8.55%	5.74%	8.54%	15.07%	11.90%	11.93%	19.43%	19.05%	15.32%	13.19%	7.29%	8.65%	13.24%	19.27%	8.57%	34.52%	17.86%	13.09%	10.34%	15.94%	18.97%	32.39%	14.57%	28.67%	25.97%	20.27%	22.90%	12.93%	23.76%	10.00%	13.33%	13.96%	15.66%	11.65%	20.22%	6.67%	13.85%	18.42%	24.38%	7.98%	6.00%	18.92%	11.90%	15.79%	10.91%	7.51%	5.95%	14.74%	15.15%	11.23%	7.41%	12.04%	22.76%	16.49%	8.26%	8.14%	12.40%	12.43%					
20	Зюганов Геннадий Андреевич	7132	180	100	107	109	61	305	151	115	277	107	71	176	359	351	71	168	176	130	177	173	116	171	191	149	94	107	168	107	43	16	18	14	19	5	8	197	147	14	29	346	158	35	41	87	21	23	0	13	3	37	30	11	10	51	45	50	12	5	51	18	11	67	16	84	28	13	29	59	115	152	5	12	18	15	21	29	1	20	53	44	5	36	35	15	4	107	13	20	10	9	38	16	6	2					
		18.62%	14.39%	18.18%	16.77%	20.80%	12.90%	17.48%	25.72%	14.61%	22.91%	22.15%	20.29%	17.60%	30.32%	25.18%	21.07%	25.53%	22.74%	18.71%	21.05%	20.05%	18.15%	30.16%	23.61%	24.51%	27.57%	26.88%	30.11%	11.23%	26.54%	10.13%	10.71%	12.61%	19.79%	4.55%	10.81%	21.44%	22.86%	6.70%	5.50%	16.88%	17.73%	14.40%	16.60%	19.73%	18.92%	15.97%	0.00%	12.50%	4.41%	13.45%	21.43%	13.10%	17.86%	13.35%	31.03%	24.15%	20.69%	7.04%	14.29%	12.59%	14.29%	30.18%	12.21%	18.10%	27.72%	5.91%	16.11%	16.81%	18.20%	17.88%	5.62%	16.00%	13.85%	19.74%	6.48%	17.79%	1.00%	18.02%	9.41%	19.30%	9.09%	20.81%	20.83%	15.79%	6.06%	16.69%	6.88%	18.52%	6.90%	9.28%	17.43%	6.20%	4.65%	1.18%					
21	Медведев Дмитрий Анатольевич	25072	825	376	429	323	320	1288	340	571	716	278	188	669	651	756	204	374	431	408	479	511	408	321	524	375	216	198	304	776	95	132	131	80	61	93	52	645	429	171	450	1320	623	177	148	259	67	98	88	78	53	182	97	44	35	268	83	123	35	41	249	84	43	103	84	312	44	185	122	240	396	588	66	58	87	42	220	116	90	69	435	146	44	121	120	59	49	454	161	74	101	70	158	214	106	145					
		65.46%	65.95%	68.36%	67.24%	61.64%	67.65%	73.81%	57.92%	72.55%	59.22%	57.56%	53.71%	66.90%	54.98%	54.23%	60.53%	56.84%	55.68%	58.71%	56.96%	59.21%	63.85%	56.61%	64.77%	61.68%	63.34%	49.75%	54.48%	81.43%	58.64%	83.54%	77.98%	72.07%	63.54%	84.55%	70.27%	70.18%	66.72%	81.82%	85.39%	64.39%	69.92%	72.84%	59.92%	58.73%	60.36%	68.06%	91.67%	75.00%	77.94%	66.18%	69.29%	52.38%	62.50%	70.16%	57.24%	59.42%	60.34%	57.75%	69.75%	58.74%	55.84%	46.40%	64.12%	67.24%	43.56%	84.09%	67.78%	68.38%	62.66%	69.18%	74.16%	77.33%	66.92%	55.26%	67.90%	71.17%	90.00%	62.16%	77.26%	64.04%	80.00%	69.94%	71.43%	62.11%	74.24%	70.83%	85.19%	68.52%	69.66%	72.16%	72.48%	82.95%	82.17%	85.80%					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
