Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Шенталинская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494					
1	"Число избирателей, внесенных в списки избирателей"	12892	224	291	72	362	241	178	923	482	408	95	807	84	225	510	329	209	444	379	227	272	169	327	232	611	158	988	688	937	972	1048					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12785	220	290	70	360	240	185	920	480	410	95	810	85	225	510	325	205	440	380	225	270	170	330	225	605	150	970	680	930	950	1030					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10602	144	256	50	205	182	160	746	386	384	73	671	77	169	403	267	173	326	330	150	232	148	223	189	567	101	822	592	793	853	930					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1626	65	33	13	123	46	9	105	64	17	17	102	7	32	74	31	20	62	44	72	38	13	103	36	14	46	113	61	93	73	100					
6	Число погашенных избирательных бюллетеней	557	11	1	7	32	12	16	69	30	9	5	37	1	24	33	27	12	52	6	3	0	9	4	0	24	3	35	27	44	24	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1626	65	33	13	123	46	9	105	64	17	17	102	7	32	74	31	20	62	44	72	38	13	103	36	14	46	113	61	93	73	100					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10599	144	256	50	205	182	160	746	386	384	73	671	77	169	403	267	173	326	330	150	232	148	223	189	567	101	822	592	793	853	927					
9	Число недействительных избирательных бюллетеней	204	1	4	0	38	0	0	26	5	1	2	2	0	4	1	4	0	10	27	0	3	1	0	9	7	2	16	9	16	4	12					
10	Число действительных избирательных бюллетеней	12021	208	285	63	290	228	169	825	445	400	88	771	84	197	476	294	193	378	347	222	267	160	326	216	574	145	919	644	870	922	1015					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	256	5	5	3	5	5	5	15	10	5	5	21	1	0	5	10	5	5	3	7	5	5	5	5	1	5	26	23	15	25	21					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	228	4	0	0	5	0	2	15	10	5	3	21	1	0	5	10	5	5	1	7	5	4	5	5	1	0	26	23	14	25	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	69	4	0	0	2	2	0	4	0	1	0	5	2	1	3	7	2	4	2	2	0	1	1	1	5	1	2	2	7	5	3					
14	Число погашенных неиспользованных открепительных удостоверений	28	1	5	3	0	5	3	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	5	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	0	0	0	0	0	0	1	1	0	0	6	0	0	0	0	2	0	0	0	0	0	6	0	0	0	4	1	16	6	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	1.Политическая партия «Аграрная партия России»	204	5	11	0	3	0	0	8	10	8	1	22	2	6	7	9	1	4	3	1	9	0	6	4	13	3	15	12	20	8	13					
		1.67%	2.39%	3.81%	0.00%	0.91%	0.00%	0.00%	0.94%	2.22%	1.99%	1.11%	2.85%	2.38%	2.99%	1.47%	3.02%	0.52%	1.03%	0.80%	0.45%	3.33%	0.00%	1.84%	1.78%	2.24%	2.04%	1.60%	1.84%	2.26%	0.86%	1.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	26	0	1	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	1	4	2	2					
		0.21%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%	0.15%	0.45%	0.22%	0.19%					
20	3.Политическая партия «Демократическая партия России»	13	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	4	0					
		0.11%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.62%	0.31%	0.44%	0.00%	0.00%	0.11%	0.00%	0.00%	0.43%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	968	27	45	1	37	4	12	63	28	20	4	56	8	17	30	31	10	30	4	2	14	8	24	23	45	8	91	69	95	80	82					
		7.92%	12.92%	15.57%	1.59%	11.28%	1.75%	7.10%	7.40%	6.22%	4.99%	4.44%	7.24%	9.52%	8.46%	6.29%	10.40%	5.18%	7.73%	1.07%	0.90%	5.19%	4.97%	7.36%	10.22%	7.75%	5.44%	9.73%	10.57%	10.72%	8.64%	7.98%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	55	1	1	0	1	0	0	3	7	3	4	3	0	2	1	0	1	1	0	0	1	1	3	0	3	2	1	4	6	3	3					
		0.45%	0.48%	0.35%	0.00%	0.30%	0.00%	0.00%	0.35%	1.56%	0.75%	4.44%	0.39%	0.00%	0.99%	0.21%	0.00%	0.52%	0.26%	0.00%	0.00%	0.37%	0.62%	0.92%	0.00%	0.52%	1.36%	0.11%	0.61%	0.68%	0.32%	0.29%					
23	6.Политическая партия «Партия социальной справедливости»	12	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	2					
