Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
"Наименование Избирательной комиссии:    Нижний Тагил, Дзержинская"																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185					
1	"Число избирателей, внесенных в списки избирателей"	100264	2000	1957	1767	2389	2020	1818	1788	2190	2178	2168	1952	2157	1958	2278	1957	2721	2547	1925	2224	2560	2211	2342	2452	2650	2338	2070	2042	2621	2782	2169	2028	2465	2093	2386	1804	2264	1581	2050	2288	2160	2399	1799	2177	1897	2080	2562					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	94950	1900	1900	1600	2000	1750	1800	1750	2150	2000	2050	1900	2150	1900	2150	1850	2450	2400	1800	2100	2100	2150	2300	2400	2350	2250	1950	2000	2350	2750	2100	2000	2400	2050	2350	1750	1950	1400	2000	2200	2100	2300	1550	2200	1900	2050	2450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	65252	1348	1284	1104	1504	1371	1203	1135	1387	1480	1491	1310	1457	1312	1525	1239	1811	1580	1275	1373	1504	1432	1543	1598	1733	1449	1311	1335	1676	1815	1389	1417	1765	1287	1451	1247	1344	876	1491	1566	1391	1675	858	1568	1250	1366	1726					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2670	40	75	138	30	21	52	44	43	31	17	16	12	11	25	19	36	125	36	62	383	39	57	43	126	39	38	43	115	32	85	40	33	34	52	61	98	41	25	30	32	33	181	50	48	52	27					
6	Число погашенных избирательных бюллетеней	27028	512	541	358	466	358	545	571	720	489	542	574	681	577	600	592	603	695	489	665	213	679	700	759	491	762	601	622	559	903	626	543	602	729	847	442	508	483	484	604	677	592	511	582	602	632	697					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2670	40	75	138	30	21	52	44	43	31	17	16	12	11	25	19	36	125	36	62	383	39	57	43	126	39	38	43	115	32	85	40	33	34	52	61	98	41	25	30	32	33	181	50	48	52	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65229	1348	1284	1104	1504	1371	1203	1133	1387	1480	1491	1310	1457	1312	1525	1238	1810	1580	1275	1372	1504	1432	1540	1598	1730	1449	1309	1335	1676	1815	1389	1417	1765	1286	1451	1247	1343	876	1490	1566	1391	1675	853	1568	1248	1366	1726					
9	Число недействительных избирательных бюллетеней	720	13	22	13	15	13	19	12	19	19	17	11	17	13	11	12	18	13	15	12	28	18	17	23	26	19	14	9	20	21	13	15	24	8	11	15	10	9	14	15	14	14	12	25	12	14	16					
10	Число действительных избирательных бюллетеней	67179	1375	1337	1229	1519	1379	1236	1165	1411	1492	1491	1315	1452	1310	1539	1245	1828	1692	1296	1422	1859	1453	1580	1618	1830	1469	1333	1369	1771	1826	1461	1442	1774	1312	1492	1293	1431	908	1501	1581	1409	1694	1022	1593	1284	1404	1737					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1293	23	24	18	28	17	26	26	30	28	29	27	30	17	30	25	34	33	25	28	29	30	31	34	33	31	28	28	33	34	38	28	34	28	33	25	27	12	28	30	29	33	15	30	25	35	34					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	972	23	18	9	24	11	20	16	20	20	29	19	27	17	17	16	34	28	18	23	26	20	17	28	20	21	18	19	20	34	31	18	23	21	26	16	19	10	16	22	18	23	14	22	21	26	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	556	18	30	12	6	15	4	2	12	2	5	11	7	6	5	8	8	14	8	2	25	7	6	6	127	7	8	9	14	5	9	4	2	3	8	9	6	25	8	4	8	11	10	27	14	10	9					
14	Число погашенных неиспользованных открепительных удостоверений	321	0	6	9	4	6	6	10	10	8	0	8	3	0	13	9	0	5	7	5	3	10	14	6	13	10	10	9	13	0	7	10	11	7	7	9	8	2	12	8	11	10	1	8	4	9	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	1	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	1.Политическая партия «Аграрная партия России»	1219	31	26	26	22	22	23	19	21	32	21	23	22	13	29	18	46	45	34	32	24	25	35	28	30	25	24	34	21	29	21	32	35	28	25	26	23	14	45	37	33	33	12	24	15	15	21					
		1.80%	2.23%	1.91%	2.09%	1.43%	1.58%	1.83%	1.61%	1.47%	2.12%	1.39%	1.73%	1.50%	0.98%	1.87%	1.43%	2.49%	2.64%	2.59%	2.23%	1.27%	1.70%	2.19%	1.71%	1.62%	1.68%	1.78%	2.47%	1.17%	1.57%	1.42%	2.20%	1.95%	2.12%	1.66%	1.99%	1.60%	1.53%	2.97%	2.32%	2.32%	1.93%	1.16%	1.48%	1.16%	1.06%	1.20%					
19	2.Всероссийская политическая партия «Гражданская Сила»	2142	39	62	45	34	38	55	34	40	39	35	28	44	38	54	46	66	49	40	47	75	55	52	52	52	60	40	73	50	73	41	60	40	45	49	56	57	15	68	73	38	39	25	25	14	29	53					
		3.15%	2.81%	4.56%	3.62%	2.22%	2.73%	4.38%	2.89%	2.80%	2.58%	2.32%	2.11%	2.99%	2.87%	3.48%	3.66%	3.58%	2.87%	3.05%	3.28%	3.97%	3.74%	3.26%	3.17%	2.80%	4.03%	2.97%	5.30%	2.79%	3.95%	2.78%	4.12%	2.22%	3.41%	3.26%	4.28%	3.96%	1.64%	4.49%	4.57%	2.67%	2.28%	2.42%	1.55%	1.08%	2.05%	3.02%					
20	3.Политическая партия «Демократическая партия России»	111	4	3	3	0	0	0	2	3	2	1	4	2	3	0	2	1	2	0	4	2	6	3	3	3	1	2	4	2	1	6	2	7	2	0	1	5	6	0	1	1	3	3	5	1	3	2					
		0.16%	0.29%	0.22%	0.24%	0.00%	0.00%	0.00%	0.17%	0.21%	0.13%	0.07%	0.30%	0.14%	0.23%	0.00%	0.16%	0.05%	0.12%	0.00%	0.28%	0.11%	0.41%	0.19%	0.18%	0.16%	0.07%	0.15%	0.29%	0.11%	0.05%	0.41%	0.14%	0.39%	0.15%	0.00%	0.08%	0.35%	0.65%	0.00%	0.06%	0.07%	0.18%	0.29%	0.31%	0.08%	0.21%	0.11%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4966	119	117	112	81	84	97	79	104	110	114	84	88	99	97	79	134	161	122	100	122	108	117	135	152	115	78	102	116	168	120	130	171	68	86	93	101	65	147	138	109	137	71	79	63	77	117					
		7.31%	8.57%	8.61%	9.02%	5.28%	6.03%	7.73%	6.71%	7.27%	7.28%	7.56%	6.33%	5.99%	7.48%	6.26%	6.28%	7.26%	9.44%	9.31%	6.97%	6.47%	7.34%	7.33%	8.23%	8.19%	7.73%	5.79%	7.40%	6.48%	9.10%	8.14%	8.92%	9.51%	5.15%	5.72%	7.11%	7.01%	7.09%	9.70%	8.65%	7.66%	8.02%	6.87%	4.88%	4.86%	5.43%	6.67%					
