Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Балтасинская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25785	826	407	570	337	922	561	876	533	964	800	720	361	491	222	1335	812	714	646	435	426	693	387	225	1710	472	794	137	905	1646	1525	1668	994	1671									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26205	840	414	578	343	937	565	890	538	976	814	733	365	490	227	1357	827	736	655	437	430	711	396	230	1730	471	815	141	923	1678	1560	1690	1002	1706									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24514	767	401	565	334	876	540	779	487	882	699	700	353	458	215	1300	796	657	632	434	425	648	383	216	1565	455	764	134	811	1594	1467	1617	945	1615									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	856	57	6	0	3	10	15	88	37	54	100	13	3	27	5	32	8	51	8	0	0	45	4	9	128	13	26	3	83	5	6	0	11	6									
6	Число погашенных избирательных бюллетеней	835	16	7	13	6	51	10	23	14	40	15	20	9	5	7	25	23	28	15	3	5	18	9	5	37	3	25	4	29	79	87	73	46	85									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	856	57	6	0	3	10	15	88	37	54	100	13	3	27	5	32	8	51	8	0	0	45	4	9	128	13	26	3	83	5	6	0	11	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24508	767	395	565	334	876	540	779	487	882	699	700	353	458	215	1300	796	657	632	434	425	648	383	216	1565	455	764	134	811	1594	1467	1617	945	1615									
9	Число недействительных избирательных бюллетеней	82	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	9	3	29	0	7	18									
10	Число действительных избирательных бюллетеней	25282	824	401	565	337	886	555	867	524	927	797	713	356	485	220	1332	804	708	640	429	425	693	387	225	1693	468	790	137	885	1596	1444	1617	949	1603									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	451	13	9	6	5	15	9	10	5	16	11	18	4	6	3	15	18	22	7	5	10	17	7	3	18	5	28	3	20	33	33	38	11	28									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	337	12	5	6	4	13	7	10	5	10	10	14	4	0	3	15	13	19	7	2	5	12	6	3	15	1	16	1	13	23	32	18	5	28									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	3	0	0	0	2	6	0	2	4	1	4	2	3	0	0	2	0	1	2	3	0	0	0	4	4	0	0	2	1	4	4	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	114	1	4	0	1	2	2	0	0	6	1	4	0	6	0	0	5	3	0	3	5	5	1	0	3	4	12	2	7	10	1	20	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	57	4	2	0	0	3	0	1	1	11	0	0	0	1	0	1	0	0	0	5	0	2	0	0	2	1	7	0	2	3	0	4	3	4									
		0.22%	0.49%	0.50%	0.00%	0.00%	0.34%	0.00%	0.12%	0.19%	1.18%	0.00%	0.00%	0.00%	0.21%	0.00%	0.08%	0.00%	0.00%	0.00%	1.15%	0.00%	0.29%	0.00%	0.00%	0.12%	0.21%	0.89%	0.00%	0.22%	0.19%	0.00%	0.25%	0.31%	0.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	131	8	6	0	4	3	0	0	2	8	0	2	8	3	3	1	0	0	1	5	2	0	0	0	7	2	0	0	4	24	18	9	7	4									
		0.52%	0.97%	1.50%	0.00%	1.19%	0.34%	0.00%	0.00%	0.38%	0.85%	0.00%	0.28%	2.25%	0.62%	1.36%	0.08%	0.00%	0.00%	0.16%	1.15%	0.47%	0.00%	0.00%	0.00%	0.41%	0.43%	0.00%	0.00%	0.45%	1.50%	1.22%	0.56%	0.73%	0.25%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	60	6	0	0	0	4	0	3	1	6	0	0	0	1	0	1	0	1	1	2	1	0	0	0	7	0	0	0	3	1	0	6	4	12									
		0.24%	0.73%	0.00%	0.00%	0.00%	0.45%	0.00%	0.35%	0.19%	0.64%	0.00%	0.00%	0.00%	0.21%	0.00%	0.08%	0.00%	0.14%	0.16%	0.46%	0.24%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.34%	0.06%	0.00%	0.37%	0.42%	0.74%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24076	753	387	548	332	862	544	849	498	844	776	692	345	462	212	1311	779	687	599	378	417	682	385	216	1659	458	750	136	848	1462	1370	1503	857	1475									
		94.92%	91.38%	96.51%	96.99%	98.52%	97.29%	98.02%	97.92%	95.04%	90.17%	97.12%	97.05%	96.91%	95.26%	96.36%	98.42%	96.89%	97.03%	93.59%	87.10%	98.12%	98.41%	99.48%	96.00%	97.99%	97.86%	94.94%	99.27%	94.85%	91.43%	93.01%	92.95%	89.64%	90.99%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	3	5	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.06%	0.00%	0.19%	0.52%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	2	2	2									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.21%	0.00%	0.08%	0.00%	0.00%	0.00%	0.46%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.12%	0.21%	0.12%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	243	6	5	1	0	5	4	4	5	21	8	3	3	4	1	1	4	8	16	26	1	0	2	6	9	4	7	0	12	23	24	13	17	0									
		0.96%	0.73%	1.25%	0.18%	0.00%	0.56%	0.72%	0.46%	0.95%	2.24%	1.00%	0.42%	0.84%	0.82%	0.45%	0.08%	0.50%	1.13%	2.50%	5.99%	0.24%	0.00%	0.52%	2.67%	0.53%	0.85%	0.89%	0.00%	1.34%	1.44%	1.63%	0.80%	1.78%	0.00%									
