Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Красногвардейская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21925	1378	1754	1063	1891	1945	2173	911	954	2065	618	801	627	296	376	709	884	312	1254	486	307	1121									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21650	1350	1750	1050	1850	1900	2150	900	950	2050	600	800	600	300	370	700	850	300	1250	500	300	1130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18338	894	1445	818	1411	1315	1689	847	865	1843	570	736	547	273	313	692	806	280	1175	445	282	1092									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	747	6	6	137	113	60	108	8	37	50	4	14	37	2	35	2	16	10	30	36	18	18									
6	Число погашенных избирательных бюллетеней	2565	450	299	95	326	525	353	45	48	157	26	50	16	25	22	6	28	10	45	19	0	20									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	747	6	6	137	113	60	108	8	37	50	4	14	37	2	35	2	16	10	30	36	18	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18338	894	1445	818	1411	1315	1689	847	865	1843	570	736	547	273	313	692	806	280	1175	445	282	1092									
9	Число недействительных избирательных бюллетеней	98	7	0	8	15	19	0	0	9	24	6	1	0	0	0	0	5	4	0	0	0	0									
10	Число действительных избирательных бюллетеней	18987	893	1451	947	1509	1356	1797	855	893	1869	568	749	584	275	348	694	817	286	1205	481	300	1110									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	166	10	10	10	20	20	15	5	5	10	6	6	4	4	5	4	4	4	12	4	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	44	0	7	7	11	7	4	0	2	0	0	0	0	0	0	0	1	0	4	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	13	0	0	2	1	1	1	1	0	1	2	1	1	0	1	0	0	0	1	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	122	10	3	3	9	13	11	5	3	10	6	6	4	4	5	4	3	4	8	3	4	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	2	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	59	3	5	4	10	19	0	0	0	6	2	2	0	0	0	0	5	0	0	0	3	0									
		0.31%	0.33%	0.34%	0.42%	0.66%	1.38%	0.00%	0.00%	0.00%	0.32%	0.35%	0.27%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	1.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	176	21	21	7	15	35	0	6	0	29	5	3	0	0	10	0	10	9	0	0	5	0									
		0.92%	2.33%	1.45%	0.73%	0.98%	2.55%	0.00%	0.70%	0.00%	1.53%	0.87%	0.40%	0.00%	0.00%	2.87%	0.00%	1.22%	3.10%	0.00%	0.00%	1.67%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	107	5	10	3	11	36	0	0	0	10	5	9	0	0	1	0	16	0	0	0	1	0									
		0.56%	0.56%	0.69%	0.31%	0.72%	2.62%	0.00%	0.00%	0.00%	0.53%	0.87%	1.20%	0.00%	0.00%	0.29%	0.00%	1.95%	0.00%	0.00%	0.00%	0.33%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15302	664	1187	744	1140	801	1438	801	720	1494	470	656	467	199	269	638	652	230	932	475	268	1057									
		80.18%	73.78%	81.81%	77.91%	74.80%	58.25%	80.02%	93.68%	79.82%	78.92%	81.88%	87.47%	79.97%	72.36%	77.30%	91.93%	79.32%	79.31%	77.34%	98.75%	89.33%	95.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	36	1	3	3	8	5	0	0	0	10	0	2	0	0	0	0	1	0	0	0	3	0									
