Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																								
Дата голосования: 04.12.2011																																								
																																								
Наименование Избирательной комиссии:    Вейделевская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456					
1	"Число избирателей, внесенных в список избирателей"	18251	1247	632	939	865	1117	950	648	698	298	489	916	353	156	917	358	290	866	304	547	275	885	391	179	415	795	559	503	289	233	166	311	426	234					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18347	1270	630	950	850	1100	950	650	700	290	430	930	350	160	930	370	293	880	310	550	277	900	389	183	430	800	580	505	285	238	162	315	430	260					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	13167	849	546	693	573	817	625	478	427	212	322	791	227	131	635	243	227	621	166	359	194	647	283	136	270	563	340	424	268	191	115	249	371	174					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2625	226	80	68	79	90	90	50	156	32	105	49	48	9	213	108	45	154	99	102	46	127	66	36	65	117	144	30	7	29	36	50	49	20					
6	Число погашенных избирательных бюллетеней	2555	195	4	189	198	193	235	122	117	46	3	90	75	20	82	19	21	105	45	89	37	126	40	11	95	120	96	51	10	18	11	16	10	66					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2625	226	80	68	79	90	90	50	156	32	105	49	48	9	213	108	45	154	99	102	46	127	66	36	65	117	144	30	7	29	36	50	49	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13166	849	546	693	573	817	624	478	427	212	322	791	227	131	635	243	227	621	166	359	194	647	283	136	270	563	340	424	268	191	115	249	371	174					
9	Число недействительных избирательных бюллетеней	221	30	5	4	7	6	8	5	5	5	4	6	1	2	28	4	3	10	3	22	3	11	2	0	3	8	5	16	1	6	2	0	6	0					
10	Число действительных избирательных бюллетеней	15570	1045	621	757	645	901	706	523	578	239	423	834	274	138	820	347	269	765	262	439	237	763	347	172	332	672	479	438	274	214	149	299	414	194					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	364	15	5	26	21	30	29	23	5	15	14	8	0	1	43	5	3	10	1	11	7	10	5	0	5	10	21	7	5	0	3	11	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	349	15	4	26	18	30	29	23	3	15	14	5	0	1	43	3	3	10	1	11	6	10	5	0	5	10	21	7	5	0	0	11	10	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	2	3	4	6	2	7	2	2	1	4	6	1	3	3	2	0	1	0	7	0	1	4	0	0	1	0	2	3	0	2	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	15	0	1	0	3	0	0	0	2	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	0	4	2	1	3	0	1	1	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1009	65	15	60	54	79	70	38	32	18	47	47	16	13	21	3	11	56	17	54	21	41	26	12	14	60	15	25	9	7	6	12	28	17					
		6.39%	6.05%	2.40%	7.88%	8.28%	8.71%	9.80%	7.20%	5.49%	7.38%	11.01%	5.60%	5.82%	9.29%	2.48%	0.85%	4.04%	7.23%	6.42%	11.71%	8.75%	5.30%	7.45%	6.98%	4.18%	8.82%	3.10%	5.51%	3.27%	3.18%	3.97%	4.01%	6.67%	8.76%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	954	43	8	55	36	71	45	30	43	10	38	41	29	12	66	7	20	44	18	30	17	54	16	11	23	47	20	34	8	7	3	2	49	17					
		6.04%	4.00%	1.28%	7.23%	5.52%	7.83%	6.30%	5.68%	7.38%	4.10%	8.90%	4.88%	10.55%	8.57%	7.78%	1.99%	7.35%	5.68%	6.79%	6.51%	7.08%	6.98%	4.58%	6.40%	6.87%	6.91%	4.13%	7.49%	2.91%	3.18%	1.99%	0.67%	11.67%	8.76%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	100	4	1	9	6	9	2	5	3	2	4	5	4	2	0	1	0	6	1	2	0	8	6	3	2	2	2	4	1	0	1	1	3	1					
		0.63%	0.37%	0.16%	1.18%	0.92%	0.99%	0.28%	0.95%	0.51%	0.82%	0.94%	0.60%	1.45%	1.43%	0.00%	0.28%	0.00%	0.77%	0.38%	0.43%	0.00%	1.03%	1.72%	1.74%	0.60%	0.29%	0.41%	0.88%	0.36%	0.00%	0.66%	0.33%	0.71%	0.52%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3239	167	31	199	187	242	198	132	138	65	129	143	55	35	166	18	34	123	38	102	51	150	61	50	58	196	103	135	56	30	38	43	47	19					
		20.51%	15.53%	4.95%	26.15%	28.68%	26.68%	27.73%	25.00%	23.67%	26.64%	30.21%	17.02%	20.00%	25.00%	19.58%	5.13%	12.50%	15.87%	14.34%	22.13%	21.25%	19.38%	17.48%	29.07%	17.31%	28.82%	21.28%	29.74%	20.36%	13.64%	25.17%	14.38%	11.19%	9.79%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	95	6	1	15	6	9	4	4	3	0	4	7	1	0	3	1	1	5	1	5	1	5	3	0	0	1	3	3	1	0	0	2	0	0					
		0.60%	0.56%	0.16%	1.97%	0.92%	0.99%	0.56%	0.76%	0.51%	0.00%	0.94%	0.83%	0.36%	0.00%	0.35%	0.28%	0.37%	0.65%	0.38%	1.08%	0.42%	0.65%	0.86%	0.00%	0.00%	0.15%	0.62%	0.66%	0.36%	0.00%	0.00%	0.67%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10141	759	564	418	354	489	384	314	357	144	199	588	168	76	563	317	201	530	187	245	147	504	234	96	234	366	334	237	199	170	100	237	286	140					
		64.22%	70.60%	90.10%	54.93%	54.29%	53.91%	53.78%	59.47%	61.23%	59.02%	46.60%	70.00%	61.09%	54.29%	66.39%	90.31%	73.90%	68.39%	70.57%	53.15%	61.25%	65.12%	67.05%	55.81%	69.85%	53.82%	69.01%	52.20%	72.36%	77.27%	66.23%	79.26%	68.10%	72.16%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	32	1	1	1	2	2	3	0	2	0	2	3	1	0	1	0	2	1	0	1	0	1	1	0	1	0	2	0	0	0	1	2	1	0					
		0.20%	0.09%	0.16%	0.13%	0.31%	0.22%	0.42%	0.00%	0.34%	0.00%	0.47%	0.36%	0.36%	0.00%	0.12%	0.00%	0.74%	0.13%	0.00%	0.22%	0.00%	0.13%	0.29%	0.00%	0.30%	0.00%	0.41%	0.00%	0.00%	0.00%	0.66%	0.67%	0.24%	0.00%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
