Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																	
Дата голосования: 02.12.2007																																																	
																																																	
Наименование Избирательной комиссии:    Бологовская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129					
1	"Число избирателей, внесенных в списки избирателей"	34015	956	20	45	1487	2293	837	1804	1716	1393	1932	2106	2203	1310	721	1074	772	1832	340	124	121	386	942	612	1546	378	462	409	505	245	430	176	64	98	207	327	225	146	877	1138	1225	454	77					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	33337	950	20	40	1450	2300	800	1800	1700	1400	1900	2100	2200	1300	700	1050	750	1850	300	100	100	350	900	600	1550	350	450	400	500	200	400	150	50	100	200	300	200	150	800	1150	1200	450	77					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16644	504	20	30	628	1328	379	958	962	548	879	1172	1102	555	268	467	392	719	186	60	50	174	416	248	846	182	304	169	231	37	160	88	29	56	94	183	102	87	551	684	539	180	77					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3740	89	0	10	189	55	91	91	139	242	121	100	139	116	89	112	70	230	56	31	47	112	191	134	113	76	30	120	178	132	118	42	20	21	48	52	86	10	27	29	100	84	0					
6	Число погашенных избирательных бюллетеней	12953	357	0	0	633	917	330	751	599	610	900	828	959	629	343	471	288	901	58	9	3	64	293	218	591	92	116	111	91	31	122	20	1	23	58	65	12	53	222	437	561	186	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3740	89	0	10	189	55	91	91	139	242	121	100	139	116	89	112	70	230	56	31	47	112	191	134	113	76	30	120	178	132	118	42	20	21	48	52	86	10	27	29	100	84	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16641	504	20	30	628	1328	379	956	962	548	878	1172	1102	555	268	467	392	719	186	60	50	174	416	248	846	182	304	169	231	37	160	88	29	56	94	183	102	87	551	684	539	180	77					
9	Число недействительных избирательных бюллетеней	95	4	0	0	11	9	2	3	7	3	7	11	6	1	1	0	1	1	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	2	0	1	8	4	6	2	0					
10	Число действительных избирательных бюллетеней	20286	589	20	40	806	1374	468	1044	1094	787	992	1261	1235	670	356	579	461	948	242	91	97	286	606	382	957	258	334	289	408	169	278	129	49	77	142	233	188	96	570	709	633	262	77					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	646	20	0	0	10	30	10	40	40	15	20	20	45	15	15	40	26	20	10	5	5	10	25	10	20	10	10	10	10	5	10	5	5	5	7	8	5	5	25	25	40	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	456	20	0	0	10	24	8	30	36	9	19	17	40	10	1	35	26	9	7	1	0	9	9	6	10	2	3	3	1	3	3	4	5	5	3	8	5	4	25	13	29	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	340	22	0	0	17	11	14	21	23	10	7	14	16	24	7	10	11	10	13	1	1	3	11	1	9	9	5	6	3	3	3	2	5	4	3	1	7	1	9	6	4	12	1					
14	Число погашенных неиспользованных открепительных удостоверений	190	0	0	0	0	6	2	10	4	6	1	3	5	5	14	5	0	11	3	4	5	1	16	4	10	8	7	7	9	2	7	1	0	0	4	0	0	1	0	12	11	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	1	0	0	5	0	0	1	2	2	1	2	2	2	1	0	0	3	2	0	0	0	0	2	3	0	0	1	1	0	1	0	0	0	1	1	0	0	0	4	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
