Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Бердская городская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	82543	945	625	2074	2700	1015	1738	2273	861	2453	1033	2060	2211	1240	1497	1231	1100	1145	2179	817	1480	2305	2238	1228	1053	2477	1388	1249	2694	2649	1133	1722	2675	2625	1181	1432	2659	1211	1135	2637	2539	3021	1618	1146	2586	1425	1233	2607									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79650	870	530	2000	2650	950	1700	2200	800	2400	1000	2000	2150	1200	1450	1200	1050	1100	2150	800	1450	2250	2150	1200	1000	2400	1350	1200	2600	2600	1100	1600	2600	2550	1150	1350	2550	1150	1100	2550	2450	2900	1550	1050	2450	1400	1200	2550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31822	271	195	763	998	486	723	943	334	911	396	862	871	437	611	567	509	471	836	247	599	884	830	511	362	717	502	337	777	890	388	653	854	1123	460	541	1122	609	538	1262	1101	1006	660	561	1027	602	483	992									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1250	27	308	32	30	17	30	10	5	15	8	11	18	15	18	6	15	25	43	17	28	29	25	16	20	17	9	24	16	37	2	12	22	21	8	50	20	10	15	53	11	15	7	17	14	20	31	51									
6	Число погашенных избирательных бюллетеней	46578	572	27	1205	1622	447	947	1247	461	1474	596	1127	1261	748	821	627	526	604	1271	536	823	1337	1295	673	618	1666	839	839	1807	1673	710	935	1724	1406	682	759	1408	531	547	1235	1338	1879	883	472	1409	778	686	1507									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1250	27	308	32	30	17	30	10	5	15	8	11	18	15	18	6	15	25	43	17	28	29	25	16	20	17	9	24	16	37	2	12	22	21	8	50	20	10	15	53	11	15	7	17	14	20	31	51									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31716	269	195	763	998	486	723	943	334	901	396	862	871	435	611	567	509	471	836	247	599	884	830	511	362	715	490	336	776	884	388	653	854	1122	460	541	1122	609	538	1261	1101	1002	660	561	1014	602	483	941									
9	Число недействительных избирательных бюллетеней	1028	9	37	25	27	22	26	46	8	24	11	35	21	14	10	11	15	17	33	14	13	22	30	15	14	15	16	5	20	31	18	23	38	35	18	24	26	15	12	40	32	30	14	15	57	11	20	14									
10	Число действительных избирательных бюллетеней	31938	287	466	770	1001	481	727	907	331	892	393	838	868	436	619	562	509	479	846	250	614	891	825	512	368	717	483	355	772	890	372	642	838	1108	450	567	1116	604	541	1274	1080	987	653	563	971	611	494	978									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1640	20	10	40	55	20	35	45	15	50	20	40	45	25	30	25	20	20	45	15	30	45	45	25	20	50	30	25	55	55	20	30	55	55	25	25	55	25	20	55	50	60	30	20	50	30	25	55									
