Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Лобнеская городская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178					
1	"Число избирателей, внесенных в списки"	54507	2237	2133	2607	1744	2708	2611	2254	2631	2169	2350	2244	1990	2296	1818	2214	1591	2301	2339	1778	1802	1662	2067	1780	2615	2231	335					
2	"Число бюллетеней, полученных участковыми комиссиями"	49517	2000	1950	2400	1600	2467	2400	2050	2400	2000	2100	2050	1750	2100	1650	2000	1450	2050	2150	1650	1650	1450	1900	1600	2350	2050	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26680	945	1069	1358	952	1410	1346	1042	1204	1032	1232	1150	1068	1137	925	1058	797	1025	1075	892	848	777	908	803	1132	1310	185					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	602	67	22	22	19	24	17	26	16	21	25	20	16	36	16	17	16	22	30	15	22	26	17	17	18	37	18					
6	Число погашенных бюллетеней	22235	988	859	1020	629	1033	1037	982	1180	947	843	880	666	927	709	925	637	1003	1045	743	780	647	975	780	1200	703	97					
7	Число бюллетеней в переносных ящиках для голосования	602	67	22	22	19	24	17	26	16	21	25	20	16	36	16	17	16	22	30	15	22	26	17	17	18	37	18					
8	Число бюллетеней в стационарных ящиках для голосования	26660	945	1069	1358	952	1400	1346	1042	1202	1032	1232	1150	1068	1137	925	1058	797	1025	1075	892	847	777	902	803	1132	1309	185					
9	Число недействительных бюллетеней	493	30	11	18	19	29	11	18	28	16	26	19	15	15	13	13	22	27	24	22	17	17	24	14	23	17	5					
10	Число действительных бюллетеней	26769	982	1080	1362	952	1395	1352	1050	1190	1037	1231	1151	1069	1158	928	1062	791	1020	1081	885	852	786	895	806	1127	1329	198					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	915	35	35	45	30	45	45	35	45	35	35	35	30	35	30	35	30	35	35	35	30	30	30	30	45	35	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	428	11	20	24	12	19	22	20	16	24	17	19	21	25	14	24	13	9	18	6	13	8	13	7	23	25	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	288	15	9	7	7	9	17	17	10	14	16	8	7	13	9	6	9	0	8	1	12	9	8	16	7	30	24					
14	Число погашенных открепительных удостоверений	487	24	15	21	18	26	23	15	29	11	18	16	9	10	16	11	17	26	17	29	17	22	17	23	22	10	25					
15	Число открепительных удостоверений выданных ТИК	4	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	297	12	6	13	5	13	12	9	14	6	8	11	9	7	13	15	9	7	12	5	9	24	19	14	14	24	7					
		1.08%	1.18%	0.54%	0.94%	0.51%	0.91%	0.88%	0.84%	1.14%	0.56%	0.63%	0.94%	0.83%	0.59%	1.38%	1.39%	1.10%	0.66%	1.08%	0.55%	1.03%	2.98%	2.06%	1.70%	1.21%	1.78%	3.44%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1555	47	68	105	42	79	97	45	69	50	93	59	55	70	59	60	35	53	65	51	68	41	52	42	56	78	16					
		5.70%	4.64%	6.23%	7.60%	4.32%	5.54%	7.11%	4.21%	5.66%	4.74%	7.39%	5.04%	5.07%	5.96%	6.26%	5.58%	4.30%	5.06%	5.88%	5.62%	7.82%	5.10%	5.65%	5.12%	4.86%	5.79%	7.88%					
