Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    район Коптево																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №3246	УИК №3247					
1	"Число избирателей, внесенных в список избирателей"	60644	2650	2938	2515	2299	2632	1964	2502	2740	2942	2353	2794	2431	2196	2591	2653	2632	2416	2658	2689	2557	2208	2523	2192	2130	123	316					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43620	1880	2070	1770	1700	1860	1530	1810	1930	2080	1660	1980	1740	1600	1790	1880	1890	1720	1910	1910	2020	1560	1790	1500	1610	130	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	36481	1411	1843	1309	1545	1493	1489	1666	1603	1919	938	1677	1465	1542	1360	1593	1482	1584	1330	1504	1704	1300	1454	1354	1499	123	294					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1218	87	39	34	45	54	41	45	65	43	28	39	53	57	100	31	104	46	43	44	41	33	44	34	68	0	0					
6	Число погашенных избирательных бюллетеней	5921	382	188	427	110	313	0	99	262	118	694	264	222	1	330	256	304	90	537	362	275	227	292	112	43	7	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1218	87	39	34	45	54	41	45	65	43	28	39	53	57	100	31	104	46	43	44	41	33	44	34	68	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36059	1408	1828	1309	1506	1493	1489	1621	1594	1910	938	1670	1465	1542	1278	1589	1482	1583	1329	1504	1663	1265	1374	1310	1492	123	294					
9	Число недействительных избирательных бюллетеней	628	32	34	31	25	8	10	23	19	12	24	26	21	23	25	18	37	17	28	15	26	39	94	25	12	0	4					
10	Число действительных избирательных бюллетеней	36649	1463	1833	1312	1526	1539	1520	1643	1640	1941	942	1683	1497	1576	1353	1602	1549	1612	1344	1533	1678	1259	1324	1319	1548	123	290					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1400	70	60	70	50	70	50	50	50	70	50	50	50	70	70	60	50	50	50	70	70	60	50	50	60	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1114	56	53	44	34	57	28	45	45	55	38	41	45	51	50	53	39	40	46	53	60	51	41	38	51	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	945	36	69	50	89	31	41	37	41	29	29	34	9	36	30	39	19	32	52	44	24	39	26	23	31	7	48					
14	Число погашенных неиспользованных открепительных удостоверений	286	14	7	26	16	13	22	5	5	15	12	9	5	19	20	7	11	10	4	17	10	9	9	12	9	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	2	2	5	4	2	5	2	1	1	0	0	7	2	3	5	5	5	1	7	4	0	3	5	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5157	230	277	244	244	179	102	219	238	112	177	250	216	185	169	186	213	185	269	272	222	239	243	215	206	21	44					
