Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Рефтинская поселковая													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586					
1	"Число избирателей, внесенных в списки избирателей"	13884	2252	2274	2336	2332	2344	2346					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12000	2000	2000	2000	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8935	1415	1450	1546	1491	1467	1566					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	225	62	38	24	39	32	30					
6	Число погашенных избирательных бюллетеней	2840	523	512	430	470	501	404					
7	Число избирательных бюллетеней в переносных ящиках для голосования	225	62	38	24	39	32	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8933	1415	1450	1544	1491	1467	1566					
9	Число недействительных избирательных бюллетеней	54	10	7	10	9	7	11					
10	Число действительных избирательных бюллетеней	9104	1467	1481	1558	1521	1492	1585					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	146	26	24	24	24	24	24					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	88	7	15	14	16	13	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	43	4	4	11	10	2	12					
14	Число погашенных неиспользованных открепительных удостоверений	58	19	9	10	8	11	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	2	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	147	19	27	29	20	21	31					
		1.61%	1.29%	1.81%	1.85%	1.31%	1.40%	1.94%					
19	2.Всероссийская политическая партия «Гражданская Сила»	268	25	52	47	36	42	66					
		2.93%	1.69%	3.49%	2.99%	2.35%	2.80%	4.14%					
20	3.Политическая партия «Демократическая партия России»	4	0	0	1	2	1	0					
		0.04%	0.00%	0.00%	0.06%	0.13%	0.07%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	532	110	93	74	73	90	92					
		5.81%	7.45%	6.25%	4.72%	4.77%	6.00%	5.76%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	59	5	21	13	10	3	7					
		0.64%	0.34%	1.41%	0.83%	0.65%	0.20%	0.44%					
23	6.Политическая партия «Партия социальной справедливости»	24	9	3	4	0	5	3					
		0.26%	0.61%	0.20%	0.26%	0.00%	0.33%	0.19%					
24	7.Политическая партия «Либерально-демократическая партия России»	991	145	167	191	181	142	165					
		10.82%	9.82%	11.22%	12.18%	11.83%	9.47%	10.34%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	501	75	83	84	66	94	99					
		5.47%	5.08%	5.58%	5.36%	4.31%	6.27%	6.20%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	59	5	10	10	10	13	11					
		0.64%	0.34%	0.67%	0.64%	0.65%	0.87%	0.69%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6424	1064	1008	1089	1107	1067	1089					
		70.15%	72.04%	67.74%	69.45%	72.35%	71.18%	68.23%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	95	10	17	16	16	14	22					
		1.04%	0.68%	1.14%	1.02%	1.05%	0.93%	1.38%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
