Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Рефтинская поселковая													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586					
1	"Число избирателей, внесенных в список избирателей"	13574	2180	2188	2313	2341	2227	2325					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13300	2100	2100	2300	2300	2200	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7310	1117	1159	1305	1201	1175	1353					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	172	51	19	16	28	36	22					
6	Число погашенных избирательных бюллетеней	5818	932	922	979	1071	989	925					
7	Число избирательных бюллетеней в переносных ящиках для голосования	172	51	19	16	28	36	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7307	1117	1159	1305	1201	1175	1350					
9	Число недействительных избирательных бюллетеней	172	34	28	22	32	31	25					
10	Число действительных избирательных бюллетеней	7307	1134	1150	1299	1197	1180	1347					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	140	20	20	25	25	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	67	5	6	17	11	15	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	59	6	7	6	10	21	9					
14	Число погашенных неиспользованных открепительных удостоверений	73	15	14	8	14	10	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2110	318	298	377	335	360	422					
		28.21%	27.23%	25.30%	28.54%	27.26%	29.73%	30.76%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1457	216	270	257	245	217	252					
		19.48%	18.49%	22.92%	19.45%	19.93%	17.92%	18.37%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	75	10	14	7	15	7	22					
		1.00%	0.86%	1.19%	0.53%	1.22%	0.58%	1.60%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	827	126	120	178	128	117	158					
		11.06%	10.79%	10.19%	13.47%	10.41%	9.66%	11.52%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	186	22	31	54	16	32	31					
		2.49%	1.88%	2.63%	4.09%	1.30%	2.64%	2.26%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2512	426	394	406	432	419	435					
		33.59%	36.47%	33.45%	30.73%	35.15%	34.60%	31.71%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	140	16	23	20	26	28	27					
		1.87%	1.37%	1.95%	1.51%	2.12%	2.31%	1.97%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
