Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Район Соколиная гора																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №3100	УИК №3101	УИК №3102	УИК №3103					
1	"Число избирателей, внесенных в списки"	57893	2566	1694	2754	2523	2666	2166	2809	2599	2598	1649	2302	1795	2796	2965	2510	2859	2471	2290	2355	2258	2226	2672	2958	390	704	180	91	47					
2	"Число бюллетеней, полученных участковыми комиссиями"	54900	2300	1500	2600	2400	2500	2000	2700	2500	2500	1500	2200	1700	2500	2400	2300	2700	2300	2200	2200	2000	2100	2600	2800	300	1200	600	150	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	32601	1286	989	1486	1384	1413	1207	1776	1529	1597	972	1296	921	1645	1791	1367	1551	1230	1192	1257	1237	1376	1397	1501	234	652	180	89	46					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	663	41	29	34	41	30	30	23	35	31	25	30	35	36	21	28	26	24	24	27	27	15	23	21	4	0	0	2	1					
6	Число погашенных бюллетеней	21634	973	482	1078	975	1057	763	901	936	872	503	874	744	819	588	905	1123	1046	984	916	736	709	1180	1278	62	548	420	59	103					
7	Число бюллетеней в переносных ящиках для голосования	663	41	29	34	41	30	30	23	35	31	25	30	35	36	21	28	26	24	24	27	27	15	23	21	4	0	0	2	1					
8	Число бюллетеней в стационарных ящиках для голосования	32310	1286	986	1474	1384	1380	1201	1776	1495	1584	972	1296	921	1645	1777	1348	1547	1229	1192	1223	1237	1267	1389	1501	234	651	180	89	46					
9	Число недействительных бюллетеней	305	8	7	15	13	6	10	10	15	5	4	9	1	11	13	21	22	25	24	16	15	14	10	21	4	5	0	0	1					
10	Число действительных бюллетеней	32668	1319	1008	1493	1412	1404	1221	1789	1515	1610	993	1317	955	1670	1785	1355	1551	1228	1192	1234	1249	1268	1402	1501	234	646	180	91	46					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1510	60	40	70	70	70	60	70	70	70	40	60	50	70	70	70	80	70	70	70	60	60	70	80	10	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	671	29	18	19	34	29	29	37	29	31	14	16	18	45	39	38	16	32	36	36	29	31	32	32	2	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1656	95	63	36	33	18	26	92	30	64	19	11	16	218	459	18	58	50	45	81	26	57	13	23	27	36	32	5	5					
14	Число погашенных открепительных удостоверений	839	31	22	51	36	41	31	33	41	39	26	44	32	25	31	32	64	38	34	34	31	29	38	48	8	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	210	9	6	10	14	14	5	5	14	8	5	8	9	12	8	9	1	16	8	8	10	5	10	7	2	6	1	0	0					
		0.63%	0.67%	0.59%	0.66%	0.98%	0.99%	0.40%	0.27%	0.91%	0.49%	0.50%	0.60%	0.94%	0.71%	0.44%	0.65%	0.06%	1.27%	0.65%	0.64%	0.79%	0.39%	0.70%	0.45%	0.84%	0.92%	0.55%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2591	106	109	115	112	109	132	210	127	158	146	138	90	130	88	66	145	47	78	75	91	75	114	91	10	21	6	1	1					
		7.85%	7.98%	10.73%	7.62%	7.85%	7.73%	10.72%	11.67%	8.30%	9.78%	14.64%	10.40%	9.41%	7.73%	4.89%	4.79%	9.21%	3.75%	6.41%	6.0%	7.19%	5.85%	8.07%	5.97%	4.20%	3.22%	3.33%	1.09%	2.12%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	644	33	11	29	28	19	22	32	18	24	19	25	19	35	29	29	31	51	37	24	24	26	30	28	3	14	3	1	0					
		1.95%	2.48%	1.08%	1.92%	1.96%	1.34%	1.78%	1.77%	1.17%	1.48%	1.90%	1.88%	1.98%	2.08%	1.61%	2.10%	1.97%	4.07%	3.04%	1.92%	1.89%	2.02%	2.12%	1.83%	1.26%	2.15%	1.66%	1.09%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3541	134	137	187	163	148	155	276	205	206	171	189	113	188	171	139	189	107	100	82	124	71	161	42	23	38	12	5	5					
		10.73%	10.09%	13.49%	12.40%	11.43%	10.49%	12.59%	15.34%	13.39%	12.75%	17.15%	14.25%	11.82%	11.18%	9.51%	10.10%	12.01%	8.53%	8.22%	6.56%	9.81%	5.53%	11.40%	2.75%	9.66%	5.83%	6.66%	5.49%	10.63%					
22	"5. ""За Русь Святую"""	156	4	4	2	11	9	4	6	11	4	1	3	1	8	6	9	9	10	7	5	12	9	5	4	0	9	2	1	0					
		0.47%	0.30%	0.39%	0.13%	0.77%	0.63%	0.32%	0.33%	0.71%	0.24%	0.10%	0.22%	0.10%	0.47%	0.33%	0.65%	0.57%	0.79%	0.57%	0.4%	0.94%	0.70%	0.35%	0.26%	0.0%	1.38%	1.11%	1.09%	0.0%					
