Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
"Наименование Избирательной комиссии:    Барнаул, Центральная"																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №1913	УИК №1914	УИК №1915	УИК №8009	УИК №8010	УИК №8011	УИК №8012	УИК №8013	УИК №8014	УИК №8017	УИК №8165	УИК №8166	УИК №8167	УИК №8168	УИК №8169	УИК №8247	УИК №8248	УИК №8259									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	103384	2078	2303	1849	2319	2370	1636	2020	2717	2235	993	2811	2504	2721	2189	1448	1295	2603	2279	2690	1880	2631	2663	1919	2567	2030	2043	2589	1910	1199	2738	1885	2161	1873	1108	2010	2124	1602	2219	1903	1648	1679	2479	1945	2123	946	2464	955	900	1213	415	84	326	89	59	71	92	487	1480	272	90	105	119	158	574	497									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	101898	1500	1600	1300	1700	1700	1200	1400	1900	1600	700	2000	1800	1900	1600	1100	1000	1900	1700	1900	1400	1900	1900	1400	1800	1600	1500	1900	1400	900	1900	1300	1500	1400	800	1400	1500	1200	1600	1400	1200	1200	1800	1400	1500	700	1800	700	900	1300	1200	400	1687	870	910	1198	1340	5893	1801	1619	708	960	900	756	3980	5976									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39431	888	965	763	854	856	668	1014	1292	847	341	1362	1208	1236	569	374	370	613	550	987	555	790	714	606	639	451	497	774	523	418	927	476	615	657	403	817	1077	701	848	936	732	772	821	595	736	365	795	309	817	700	155	84	326	89	59	71	92	474	621	272	90	104	119	158	574	320									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2236	24	25	19	15	25	13	11	16	50	85	27	20	7	37	22	12	41	34	15	10	22	251	80	22	22	28	16	22	18	259	26	14	12	15	45	16	16	19	23	5	15	25	15	30	43	76	51	83	228	226	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3									
6	Число погашенных избирательных бюллетеней	60057	588	610	518	831	819	519	375	592	703	274	611	572	657	994	704	618	1246	1116	898	835	1088	935	714	1139	1127	975	1110	855	464	714	798	871	731	382	538	407	483	733	441	463	413	954	790	734	292	929	340	0	372	819	316	1361	781	851	1127	1248	5417	1180	1347	618	856	781	598	3406	5479									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2409	24	25	19	15	25	13	11	16	50	85	27	20	7	37	22	12	41	34	15	10	22	251	80	22	22	28	16	22	18	258	26	14	12	15	45	16	16	19	23	5	15	25	15	30	43	76	51	83	228	226	0	0	0	0	0	0	2	0	0	0	0	0	0	0	177									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39350	888	965	763	854	856	668	1014	1292	845	341	1337	1201	1234	569	374	370	613	550	983	555	790	714	605	639	451	497	774	523	418	926	476	615	657	403	799	1075	685	848	936	731	772	821	595	735	365	795	309	817	700	155	84	326	89	59	71	92	474	621	272	90	103	119	158	574	320									
9	Число недействительных избирательных бюллетеней	999	15	18	8	25	22	13	17	26	12	4	25	24	31	19	5	5	20	17	14	17	19	23	21	19	9	18	23	13	13	30	18	12	20	9	27	53	16	29	33	8	16	13	19	18	18	21	9	59	28	11	2	2	0	1	0	1	2	7	0	3	0	1	1	13	4									
10	Число действительных избирательных бюллетеней	40760	897	972	774	844	859	668	1008	1282	883	422	1339	1197	1210	587	391	377	634	567	984	548	793	942	664	642	464	507	767	532	423	1154	484	617	649	409	817	1038	685	838	926	728	771	833	591	747	390	850	351	841	900	370	82	324	89	58	71	91	474	614	272	87	103	118	157	561	493									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1651	31	43	35	35	36	33	29	42	33	19	54	59	50	34	20	16	40	45	52	28	41	41	28	40	30	30	40	38	25	40	27	32	27	13	39	31	32	33	28	23	34	39	32	44	12	37	11	0	0	0	8	7	3	3	2	2	3	10	5	5	5	5	3	4	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1105	22	35	32	30	30	25	22	29	20	12	40	49	35	28	15	16	22	31	33	21	31	19	14	22	14	12	29	29	14	19	14	15	22	9	30	17	23	30	26	19	27	27	16	36	8	30	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
