Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Бельская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93					
1	"Число избирателей, внесенных в списки"	6486	1585	2032	315	210	211	195	183	31	370	212	44	131	110	213	159	201	143	141					
2	"Число бюллетеней, полученных участковыми комиссиями"	6450	1560	2020	318	214	210	196	183	31	365	215	46	128	109	214	160	205	140	136					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3144	766	909	166	111	114	115	66	21	195	118	30	93	58	101	37	117	62	65					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	892	69	91	66	51	65	35	85	4	66	45	13	17	26	36	62	55	53	53					
6	Число погашенных бюллетеней	2414	725	1020	86	52	31	46	32	6	104	52	3	18	25	77	61	33	25	18					
7	Число бюллетеней в переносных ящиках для голосования	892	69	91	66	51	65	35	85	4	66	45	13	17	26	36	62	55	53	53					
8	Число бюллетеней в стационарных ящиках для голосования	3144	766	909	166	111	114	115	66	21	195	118	30	93	58	101	37	117	62	65					
9	Число недействительных бюллетеней	55	18	10	1	0	0	0	1	0	16	0	0	3	0	2	1	2	0	1					
10	Число действительных бюллетеней	3981	817	990	231	162	179	150	150	25	245	163	43	107	84	135	98	170	115	117					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	69	90	15	9	9	9	9	6	15	9	6	9	6	9	9	9	6	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	28	7	14	1	0	0	1	0	0	0	2	0	2	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	12	2	1	0	2	0	0	0	1	0	0	0	0	1	0	0	2	2	1					
14	Число погашенных открепительных удостоверений	272	62	76	14	9	9	8	9	6	15	7	6	7	6	9	9	8	6	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	62	13	12	7	5	1	4	0	0	2	3	0	0	1	2	3	3	3	3					
		1.53%	1.55%	1.2%	3.01%	3.08%	0.55%	2.66%	0.0%	0.0%	0.76%	1.84%	0.0%	0.0%	1.19%	1.45%	3.03%	1.74%	2.60%	2.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	46	6	17	5	3	3	3	0	0	3	0	2	0	0	1	2	0	0	1					
		1.13%	0.71%	1.7%	2.15%	1.85%	1.67%	2.0%	0.0%	0.0%	1.14%	0.0%	4.65%	0.0%	0.0%	0.72%	2.02%	0.0%	0.0%	0.84%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	107	20	25	1	4	2	10	3	1	10	5	0	5	4	4	3	6	1	3					
		2.65%	2.39%	2.5%	0.43%	2.46%	1.11%	6.66%	1.98%	4.0%	3.83%	3.06%	0.0%	4.54%	4.76%	2.91%	3.03%	3.48%	0.86%	2.54%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	58	12	10	5	3	0	4	1	0	2	5	1	0	3	3	0	6	1	2					
		1.43%	1.43%	1.0%	2.15%	1.85%	0.0%	2.66%	0.66%	0.0%	0.76%	3.06%	2.32%	0.0%	3.57%	2.18%	0.0%	3.48%	0.86%	1.69%					
22	"5. ""За Русь Святую"""	28	8	5	0	0	1	1	1	0	1	1	0	1	2	2	0	0	1	4					
		0.69%	0.95%	0.5%	0.0%	0.0%	0.55%	0.66%	0.66%	0.0%	0.38%	0.61%	0.0%	0.90%	2.38%	1.45%	0.0%	0.0%	0.86%	3.38%					
23	"6. ""Объединенная Российская партия ""Русь"""	7	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1					
		0.17%	0.0%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	0.0%	0.84%					
24	"7. ""Новый курс - Автомобильная Россия"""	41	9	17	0	1	1	0	1	0	4	3	1	0	0	0	0	0	0	4					
		1.01%	1.07%	1.7%	0.0%	0.61%	0.55%	0.0%	0.66%	0.0%	1.53%	1.84%	2.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.38%					
25	"8. ""Народно-республиканская партия России"""	6	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.14%	0.11%	0.1%	0.0%	1.23%	0.55%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	12	5	1	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	1					
		0.29%	0.59%	0.1%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.84%					
27	"10. ""Аграрная партия России"""	339	42	63	26	25	28	5	3	0	51	16	2	7	2	16	8	10	20	15					
		8.39%	5.02%	6.3%	11.20%	15.43%	15.64%	3.33%	1.98%	0.0%	19.54%	9.81%	4.65%	6.36%	2.38%	11.67%	8.08%	5.81%	17.39%	12.71%					
