Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Называевская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19205	735	1296	1328	1926	1020	1198	1307	871	150	128	46	655	64	425	203	488	81	156	113	290	67	174	377	73	488	92	167	92	474	78	1009	387	85	362	501	106	63	146	211	349	241	121	87	111	490	307	67									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17666	671	1158	1199	1756	916	1090	1180	796	150	130	59	596	73	382	180	439	85	153	116	265	69	168	336	78	435	95	165	94	423	81	914	349	88	320	455	106	64	142	200	322	215	124	87	145	452	275	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7496	185	541	560	625	361	347	359	257	41	100	46	231	61	166	85	269	52	72	54	124	44	83	133	44	248	54	104	54	186	40	359	135	42	170	195	51	34	75	86	128	124	75	46	95	165	155	35									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1217	32	40	58	37	38	18	51	35	33	0	0	83	0	54	27	36	12	13	5	22	3	5	53	0	31	9	11	2	37	0	124	37	0	27	46	3	0	6	31	54	15	6	6	16	82	13	6									
6	Число погашенных избирательных бюллетеней	8953	454	577	581	1094	517	725	770	504	76	30	13	282	12	162	68	134	21	68	57	119	22	80	150	34	156	32	50	38	200	41	431	177	46	123	214	52	30	61	83	140	76	43	35	34	205	107	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1217	32	40	58	37	38	18	51	35	33	0	0	83	0	54	27	36	12	13	5	22	3	5	53	0	31	9	11	2	37	0	124	37	0	27	46	3	0	6	31	54	15	6	6	16	82	13	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7494	185	541	560	623	361	347	359	257	41	100	46	231	61	166	85	269	52	72	54	124	44	83	133	44	248	54	104	54	186	40	359	135	42	170	195	51	34	75	86	128	124	75	46	95	165	155	35									
9	Число недействительных избирательных бюллетеней	265	8	43	22	23	18	11	18	13	0	1	0	5	0	3	5	8	0	2	1	2	0	0	3	0	7	1	0	0	4	0	16	2	0	10	9	3	0	3	3	8	3	0	4	1	3	2	0									
10	Число действительных избирательных бюллетеней	8446	209	538	596	637	381	354	392	279	74	99	46	309	61	217	107	297	64	83	58	144	47	88	183	44	272	62	115	56	219	40	467	170	42	187	232	51	34	78	114	174	136	81	48	110	244	166	41									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	504	32	37	37	40	37	37	37	32	5	4	2	10	6	8	3	8	2	3	3	6	2	5	8	2	9	2	5	2	10	2	25	8	2	4	10	3	2	5	6	9	7	3	2	3	10	7	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	121	1	14	9	13	10	8	9	7	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	2	0	1	0	0	4	4	1	0	1	6	9	0	0	0	0	7	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	44	2	6	4	3	3	0	2	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0	2	1	1	0	1	0	0	1	0	0	1	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	383	31	23	28	27	27	29	28	25	5	4	2	6	0	8	3	8	2	3	3	6	2	5	8	1	7	2	5	1	8	2	24	8	2	0	6	2	2	4	0	0	7	3	2	3	3	7	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	0	2	6	6	2	0	0	2	0	0	0	0	0	1	1	2	1	0	1	1	0	0	1	1	2	1	0	0	4	0	5	1	0	0	3	2	0	1	1	2	3	0	0	0	6	2	0									
