Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Чебоксарская-37																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23147	1039	1131	1162	1085	2357	2295	721	285	496	523	1002	214	1141	913	478	239	200	611	872	704	1261	784	488	332	1517	1017	280									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23920	1040	1145	1155	1130	2385	2300	730	285	525	535	1025	270	1270	960	540	280	205	620	905	740	1325	730	495	345	1610	1065	305									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13180	549	590	593	630	1292	1132	476	164	324	317	646	124	721	450	282	147	136	344	578	423	854	375	280	198	898	495	162									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1116	11	12	18	9	11	169	16	14	14	12	59	28	12	60	49	18	15	24	21	58	30	161	31	38	66	125	35									
6	Число погашенных избирательных бюллетеней	9624	480	543	544	491	1082	999	238	107	187	206	320	118	537	450	209	115	54	252	306	259	441	194	184	109	646	445	108									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1116	11	12	18	9	11	169	16	14	14	12	59	28	12	60	49	18	15	24	21	58	30	161	31	38	66	125	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13179	549	590	592	630	1292	1132	476	164	324	317	646	124	721	450	282	147	136	344	578	423	854	375	280	198	898	495	162									
9	Число недействительных избирательных бюллетеней	520	16	21	13	23	42	47	20	8	21	18	24	13	20	17	10	7	8	17	19	17	42	9	14	9	40	18	7									
10	Число действительных избирательных бюллетеней	13775	544	581	597	616	1261	1254	472	170	317	311	681	139	713	493	321	158	143	351	580	464	842	527	297	227	924	602	190									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	756	20	35	35	35	40	40	25	10	15	25	30	10	35	30	15	10	10	20	40	40	60	20	15	10	75	35	21									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	702	20	35	15	35	40	40	8	2	15	25	30	10	35	30	15	10	10	11	40	40	60	20	15	10	75	35	21									
