Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
"Наименование Избирательной комиссии:    Нижний Новгород, Ленинская"																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548					
1	"Число избирателей, внесенных в списки"	128298	1770	2194	2689	837	2722	1374	2425	2483	2424	2345	2316	1903	2286	2244	2466	2507	2407	2757	1552	1106	1944	2684	2329	1819	1827	1562	1488	1700	2146	2386	1425	1671	1198	1869	1736	1703	1820	2230	2827	1775	2544	2652	2479	2006	1711	1499	1568	1961	2134	1839	2438	2022	2385	1992	2392	1798	1816	2245	2818	2406	1191	1513	1943					
2	"Число бюллетеней, полученных участковыми комиссиями"	115980	1610	1960	2420	760	2460	1240	2200	2240	2190	2100	2100	1720	2070	2020	2220	2270	2180	2510	1400	1000	1760	2420	2110	1650	1650	1420	1350	1540	1940	2170	1270	1520	1090	1680	1570	1540	1650	2020	2560	1620	2300	2380	2230	1810	1530	1360	1430	1770	1930	1670	2200	1830	2160	1800	2150	1630	1640	2030	2540	2190	1080	1370	1750					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	49493	688	979	930	273	831	459	893	915	930	993	1042	787	786	913	1044	980	959	1242	485	364	681	978	935	718	569	713	487	679	1000	1009	517	704	371	567	701	467	611	738	1119	601	699	1080	1140	795	605	731	534	720	861	746	1093	857	968	860	952	716	782	869	1037	938	452	553	847					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	997	30	19	17	5	31	14	19	28	17	5	18	19	15	17	21	31	19	19	9	27	17	19	42	20	10	11	9	19	10	39	25	24	12	12	13	8	12	3	18	10	12	9	15	10	11	1	2	13	31	36	12	16	8	13	8	5	9	12	5	12	11	17	16					
6	Число погашенных бюллетеней	65490	892	962	1473	482	1598	767	1288	1297	1243	1102	1040	914	1269	1090	1155	1259	1202	1249	906	609	1062	1423	1133	912	1071	696	854	842	930	1122	728	792	707	1101	856	1065	1027	1279	1423	1009	1589	1291	1075	1005	914	628	894	1037	1038	888	1095	957	1184	927	1190	909	849	1149	1498	1240	617	800	887					
7	Число бюллетеней в переносных ящиках для голосования	997	30	19	17	5	31	14	19	28	17	5	18	19	15	17	21	31	19	19	9	27	17	19	42	20	10	11	9	19	10	39	25	24	12	12	13	8	12	3	18	10	12	9	15	10	11	1	2	13	31	36	12	16	8	13	8	5	9	12	5	12	11	17	16					
8	Число бюллетеней в стационарных ящиках для голосования	49452	688	979	930	273	831	459	893	914	928	990	1040	787	784	912	1042	980	957	1240	485	363	681	978	935	718	569	713	487	679	999	1003	517	704	371	567	701	467	611	738	1119	601	691	1079	1140	795	605	730	534	720	861	746	1092	856	968	860	950	716	782	868	1037	938	452	553	846					
9	Число недействительных бюллетеней	728	13	8	33	8	21	5	10	10	3	15	8	12	10	11	16	17	31	12	15	4	11	9	17	9	9	15	16	10	3	15	9	9	7	13	7	16	12	4	5	4	16	11	5	8	10	4	17	14	20	9	12	11	12	6	18	14	10	13	27	8	4	6	11					
10	Число действительных бюллетеней	49721	705	990	914	270	841	468	902	932	942	980	1050	794	789	918	1047	994	945	1247	479	386	687	988	960	729	570	709	480	688	1006	1027	533	719	376	566	707	459	611	737	1132	607	687	1077	1150	797	606	727	519	719	872	773	1092	861	964	867	940	707	781	867	1015	942	459	564	851					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	710	10	10	10	10	10	10	10	10	10	10	20	10	10	10	20	20	10	20	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	343	8	1	5	0	7	1	6	8	5	3	10	4	7	7	9	11	7	11	2	0	2	8	10	4	3	5	4	7	7	5	0	1	5	4	5	1	8	5	10	5	8	6	2	7	7	6	2	7	4	7	5	6	6	4	3	6	3	8	9	13	2	6	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	290	4	4	5	3	10	6	5	6	1	4	3	4	2	6	7	11	2	3	3	2	1	3	11	2	4	3	2	5	3	3	5	0	2	6	5	2	7	4	7	3	1	9	6	9	5	4	2	4	3	11	13	4	0	9	2	1	4	5	8	1	3	9	8					
14	Число погашенных открепительных удостоверений	367	2	9	5	10	3	9	4	2	5	7	10	6	3	3	11	9	3	9	8	10	8	2	10	6	7	5	6	3	3	5	10	9	5	6	5	9	2	5	10	5	12	4	8	3	3	4	8	3	6	3	5	4	4	6	7	4	7	2	1	7	8	4	5					
