Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Феодосийская городская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	81598	2058	1600	1958	1677	2559	2043	1802	2160	1992	2126	1798	1804	2207	1548	2038	2033	2116	1326	2324	2242	2415	1736	2147	2314	2066	1709	2120	1520	1953	2326	1215	1881	1883	1599	2099	1235	2108	516	849	229	2499	390	1118	1565	309	1566	634	63	30	42	51									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	64600	1700	1500	1700	1550	2000	1550	1350	1700	1500	1600	1350	1400	1650	1200	1550	1600	2000	1050	1700	1700	1800	1350	1700	1700	1600	1300	1600	1200	1500	2200	900	1450	1450	1200	1700	950	1600	400	650	150	1800	300	850	1200	200	1550	450	200	50	50	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36029	784	656	713	817	1006	784	825	898	851	829	724	774	1025	723	948	820	959	591	941	1030	1041	733	860	1180	985	859	981	595	986	1186	574	930	692	734	1082	523	742	162	440	113	1142	174	449	610	154	993	278	29	25	28	51									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1879	36	25	30	57	54	49	39	30	24	19	43	36	41	63	58	36	50	26	40	96	59	49	42	53	59	36	42	48	30	18	20	36	38	42	59	67	45	27	14	4	67	12	19	28	9	32	24	29	5	14	0									
6	Число погашенных избирательных бюллетеней	26692	880	819	957	676	940	717	486	772	625	752	583	590	584	414	544	744	991	433	719	574	700	568	798	467	556	405	577	557	484	996	306	484	720	424	559	360	813	211	196	33	591	114	382	562	37	525	148	142	20	8	149									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1879	36	25	30	57	54	49	39	30	24	19	43	36	41	63	58	36	50	26	40	96	59	49	42	53	59	36	42	48	30	18	20	36	38	42	59	67	45	27	14	4	67	12	19	28	9	32	24	29	5	14	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	36029	784	656	713	817	1006	784	825	898	851	829	724	774	1025	723	948	820	959	591	941	1030	1041	733	860	1180	985	859	981	595	986	1186	574	930	692	734	1082	523	742	162	440	113	1142	174	449	610	154	993	278	29	25	28	51									
9	Число недействительных избирательных бюллетеней	558	9	14	9	13	9	16	4	18	13	13	8	4	17	13	11	9	17	10	12	16	11	4	12	18	17	15	13	13	15	34	10	13	16	14	19	6	13	5	4	2	10	2	6	12	1	25	9	0	0	0	4									
10	Число действительных избирательных бюллетеней	37350	811	667	734	861	1051	817	860	910	862	835	759	806	1049	773	995	847	992	607	969	1110	1089	778	890	1215	1027	880	1010	630	1001	1170	584	953	714	762	1122	584	774	184	450	115	1199	184	462	626	162	1000	293	58	30	42	47									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1678	43	35	41	34	53	42	37	46	42	45	37	38	44	32	42	43	44	28	48	47	50	36	45	46	43	36	44	32	40	49	25	39	39	33	43	26	44	11	18	5	49	8	23	33	6	21	13	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	507	18	16	9	16	14	12	16	10	11	15	11	13	12	18	17	14	43	8	11	9	16	17	15	15	14	10	4	5	8	22	8	7	8	8	10	13	4	1	8	0	4	0	0	3	0	9	5	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1188	13	9	15	39	28	54	64	13	3	8	33	26	76	36	39	15	31	18	29	17	13	10	25	40	61	8	12	9	6	20	18	10	14	53	43	3	9	5	7	1	158	5	2	16	23	31	9	2	3	0	6									
14	Число погашенных неиспользованных открепительных удостоверений	1171	25	19	32	18	39	30	21	36	31	30	26	25	32	14	25	29	1	20	37	38	34	19	30	31	29	26	40	27	32	27	17	32	31	25	33	13	40	10	10	5	45	8	23	30	6	12	8	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	2	0	2	2	2	1	2	0	2	0	2	1	1	1	1	1	2	0	3	2	1	0	2	2	2	1	0	1	1	9	0	1	1	2	1	1	0	1	0	0	0	0	0	1	0	5	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	668	16	14	15	24	20	17	13	8	12	13	24	17	24	18	22	16	12	10	14	24	23	19	13	22	27	23	13	1	14	33	6	14	4	12	25	3	10	1	2	0	26	4	4	8	5	14	4	0	1	2	2									
		1.76%	1.95%	2.06%	2.02%	2.75%	1.89%	2.04%	1.50%	0.86%	1.37%	1.53%	3.13%	2.10%	2.25%	2.29%	2.19%	1.87%	1.19%	1.62%	1.43%	2.13%	2.09%	2.43%	1.44%	1.78%	2.59%	2.57%	1.27%	0.16%	1.38%	2.74%	1.01%	1.45%	0.55%	1.55%	2.19%	0.51%	1.27%	0.53%	0.44%	0.00%	2.15%	2.15%	0.85%	1.25%	3.07%	1.37%	1.32%	0.00%	3.33%	4.76%	3.92%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	533	13	10	7	12	16	11	8	11	13	12	18	14	15	10	16	7	9	5	11	13	13	8	11	13	16	15	13	7	9	14	8	17	13	8	23	5	12	5	9	2	29	8	5	6	13	12	7	1	0	0	0									
		1.41%	1.59%	1.47%	0.94%	1.37%	1.51%	1.32%	0.93%	1.19%	1.49%	1.42%	2.35%	1.73%	1.41%	1.27%	1.59%	0.82%	0.89%	0.81%	1.12%	1.15%	1.18%	1.02%	1.22%	1.05%	1.53%	1.68%	1.27%	1.09%	0.89%	1.16%	1.35%	1.76%	1.78%	1.03%	2.02%	0.85%	1.52%	2.65%	1.98%	1.71%	2.40%	4.30%	1.07%	0.94%	7.98%	1.17%	2.32%	1.72%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	430	15	10	14	10	13	8	7	9	13	8	12	11	22	7	15	5	10	5	8	11	12	10	4	16	14	12	11	8	5	10	3	10	12	16	15	3	9	4	4	0	11	1	1	6	5	12	2	0	0	1	0									
		1.13%	1.83%	1.47%	1.88%	1.14%	1.23%	0.96%	0.81%	0.97%	1.49%	0.94%	1.56%	1.36%	2.06%	0.89%	1.49%	0.58%	0.99%	0.81%	0.82%	0.98%	1.09%	1.28%	0.44%	1.30%	1.34%	1.34%	1.08%	1.24%	0.49%	0.83%	0.51%	1.04%	1.64%	2.06%	1.31%	0.51%	1.14%	2.12%	0.88%	0.00%	0.91%	0.54%	0.21%	0.94%	3.07%	1.17%	0.66%	0.00%	0.00%	2.38%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24493	510	402	472	534	694	497	544	602	539	542	473	521	653	488	638	530	658	380	654	715	738	492	580	754	664	563	680	428	716	826	437	705	527	480	658	461	582	126	308	76	677	125	298	445	69	699	204	46	19	24	40									
		64.61%	62.20%	59.03%	63.53%	61.10%	65.47%	59.66%	62.96%	64.87%	61.60%	63.92%	61.67%	64.32%	61.26%	62.09%	63.42%	61.92%	65.21%	61.59%	66.67%	63.50%	67.09%	62.92%	64.30%	61.15%	63.60%	62.91%	66.47%	66.56%	70.47%	68.60%	73.57%	72.98%	72.19%	61.86%	57.67%	78.14%	73.95%	66.67%	67.84%	64.96%	55.99%	67.20%	63.68%	69.75%	42.33%	68.20%	67.55%	79.31%	63.33%	57.14%	78.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	196	6	2	0	7	6	6	6	4	5	2	2	5	8	2	7	3	7	0	5	6	2	3	4	6	5	3	4	4	4	5	5	3	4	2	7	6	4	2	5	0	8	0	0	0	3	11	3	1	1	1	1									
