Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
Наименование Избирательной комиссии:    Йошкар-Олинская городская № 2																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121					
1	"Число избирателей, внесенных в список избирателей"	102061	1935	1725	1455	1821	1969	281	1413	2425	1709	1793	1869	2856	1619	1745	309	187	286	225	1895	1732	1438	1749	2125	1456	2149	2527	1773	1725	1923	2256	1969	2163	2030	1848	1387	2538	2026	2095	2492	2304	1581	1874	1608	1807	1971	1766	2237	1925	1844	1921	2231	2356	1709	2155	1578	933	2182	788	373					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	106320	2030	1820	1600	1900	2050	400	1390	2300	1880	1710	1880	2840	1620	1750	700	600	500	500	2000	1770	1490	1840	2420	1530	2260	2540	1850	1830	1870	2280	1930	2290	2070	1950	1400	2730	1990	2210	2510	2310	1680	2040	1700	1900	2110	1860	2260	1860	1900	1900	2290	2450	1700	2220	1580	900	2230	820	380					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	62390	1315	1149	891	1159	1178	196	845	1666	1261	1247	1151	1778	798	1125	184	136	260	211	1105	958	874	1071	1486	983	1295	1633	1144	1096	1165	1308	1210	1318	1222	931	750	1586	1145	1254	1549	1341	975	1203	1013	1123	1217	981	1268	1172	1148	1189	1391	1347	1004	1163	983	514	1121	362	242					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1667	49	32	26	33	26	63	27	38	12	7	14	34	12	11	114	43	24	14	34	22	53	33	40	12	32	30	30	25	28	9	18	31	14	27	40	41	25	31	38	8	13	35	26	26	24	31	35	34	32	23	23	25	18	29	18	15	26	31	3					
6	Число погашенных избирательных бюллетеней	42264	666	639	683	708	846	141	518	596	607	456	715	1028	810	614	402	421	216	275	861	790	564	736	894	535	933	877	676	709	677	963	702	941	834	992	610	1103	820	925	923	961	692	802	661	751	869	848	957	654	720	688	876	1078	678	1028	579	371	1083	427	135					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1665	49	32	26	33	26	63	27	38	12	7	14	34	12	11	114	43	24	14	34	22	51	33	40	12	32	30	30	25	28	9	18	31	14	27	40	41	25	31	38	8	13	35	26	26	24	31	35	34	32	23	23	25	18	29	18	15	26	31	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	62345	1314	1147	889	1159	1178	196	845	1666	1260	1236	1149	1775	798	1124	184	136	260	211	1105	957	873	1071	1486	974	1293	1631	1144	1096	1165	1308	1210	1317	1222	931	750	1586	1145	1254	1549	1341	975	1203	1012	1123	1217	981	1266	1171	1148	1189	1391	1346	1004	1163	982	514	1121	362	242					
9	Число недействительных избирательных бюллетеней	1054	15	28	44	13	17	2	17	28	53	44	19	29	6	18	3	4	1	5	17	21	35	17	16	46	20	25	17	15	20	25	15	18	16	13	7	28	18	21	18	21	13	9	12	19	23	10	11	12	14	21	25	17	15	14	13	11	14	4	2					
10	Число действительных избирательных бюллетеней	62956	1348	1151	871	1179	1187	257	855	1676	1219	1199	1144	1780	804	1117	295	175	283	220	1122	958	889	1087	1510	940	1305	1636	1157	1106	1173	1292	1213	1330	1220	945	783	1599	1152	1264	1569	1328	975	1229	1026	1130	1218	1002	1290	1193	1166	1191	1389	1354	1007	1178	987	518	1133	389	243					
