Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Завьяловская - 33																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1750	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32549	984	384	177	145	2054	2330	1022	1747	706	1189	1502	670	370	1302	1706	946	1429	1540	537	1593	2049	705	634	378	1675	786	2111	1878									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24400	800	300	150	150	1500	1650	750	1300	550	850	1100	550	300	1050	1300	700	1050	1100	400	1150	1500	550	450	300	1500	600	1500	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14266	506	198	76	58	940	1054	430	657	281	502	853	294	167	606	803	460	502	754	221	597	862	269	194	168	868	399	699	848									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	232	13	18	19	11	14	4	3	13	4	0	4	3	18	27	4	1	14	1	7	7	9	15	9	5	2	3	3	1									
6	Число погашенных избирательных бюллетеней	9900	281	84	55	81	546	592	316	630	265	348	243	253	115	417	493	239	534	345	172	546	629	266	247	127	630	198	797	451									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	232	13	18	19	11	14	4	3	13	4	0	4	3	18	27	4	1	14	1	7	7	9	15	9	5	2	3	3	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14255	506	198	76	57	940	1054	430	654	281	501	852	294	167	606	803	460	502	754	221	597	861	269	194	168	868	398	698	846									
9	Число недействительных избирательных бюллетеней	542	12	6	8	5	34	30	14	24	10	20	30	10	6	30	25	10	23	26	13	24	29	20	6	11	58	12	12	34									
10	Число действительных избирательных бюллетеней	13945	507	210	87	63	920	1028	419	643	275	481	826	287	179	603	782	451	493	729	215	580	841	264	197	162	812	389	689	813									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	383	20	8	5	5	25	15	10	17	10	12	12	10	8	12	15	15	18	15	8	15	15	10	10	8	15	10	45	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	211	17	6	0	0	17	15	6	15	3	8	8	1	0	1	13	9	14	6	0	11	10	1	1	3	3	4	33	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	218	11	11	9	2	16	10	6	6	4	6	13	2	3	7	5	10	5	11	2	14	6	8	5	4	6	7	11	18									
14	Число погашенных неиспользованных открепительных удостоверений	172	3	2	5	5	8	0	4	2	7	4	4	9	8	11	2	6	4	9	8	4	5	9	9	5	12	6	12	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	2	2	0	1	0	0	0	0	1	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	142	4	1	0	0	9	15	2	12	2	12	4	1	1	7	6	6	3	3	0	6	8	7	4	2	9	6	7	5									
		0.98%	0.77%	0.46%	0.00%	0.00%	0.94%	1.42%	0.46%	1.80%	0.70%	2.40%	0.47%	0.34%	0.54%	1.11%	0.74%	1.30%	0.58%	0.40%	0.00%	0.99%	0.92%	2.46%	1.97%	1.16%	1.03%	1.50%	0.99%	0.59%									
