Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Хасавюртовская 																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442					
1	"Число избирателей, внесенных в списки"	79615	1060	433	816	584	1087	1428	2528	1644	318	399	1010	1745	2478	1617	1897	590	1497	537	1762	1758	1007	2282	2316	891	980	1275	2265	553	647	501	310	574	1349	771	168	2609	2478	2416	853	2340	480	2821	2303	178	1115	1403	1897	364	2401	1158	781	2053	424	2648	1208	1678	253	2861	491	1325					
2	"Число бюллетеней, полученных участковыми комиссиями"	75954	971	410	750	530	1045	1250	2490	1617	313	373	927	1533	2330	1590	1870	580	1470	510	1630	1800	960	2240	2270	870	925	1190	2001	525	630	390	270	565	1210	730	160	2460	2440	2400	870	2318	475	2800	2000	153	1100	1270	1806	339	2360	1090	740	1930	420	2560	1150	1570	225	2810	445	1298					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	70438	971	386	750	530	981	1175	2140	1598	298	345	648	1198	2092	1513	1665	530	1329	383	1549	1444	958	2240	2064	864	925	1108	1976	498	580	304	254	563	1068	623	136	2220	2370	2386	548	2316	470	2707	2000	153	809	906	1525	297	2329	1072	737	1900	381	2525	1035	1512	226	2713	317	1298					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	519	0	24	0	0	18	20	24	0	15	5	7	0	0	0	54	0	0	0	59	1	0	0	0	15	0	59	0	0	50	85	16	2	9	0	0	0	0	0	0	0	0	0	0	0	16	31	0	0	0	0	0	0	0	9	0	0	0	0	0	0					
6	Число погашенных бюллетеней	5010	0	0	0	0	46	55	326	19	0	23	272	335	238	77	151	50	141	127	22	355	2	0	206	3	0	23	25	27	0	1	0	0	133	107	24	240	70	14	322	2	5	93	0	0	275	333	281	42	31	18	3	30	39	26	115	58	0	97	128	0					
7	Число бюллетеней в переносных ящиках для голосования	519	0	24	0	0	18	20	24	0	15	5	7	0	0	0	54	0	0	0	59	1	0	0	0	15	0	59	0	0	50	85	16	2	9	0	0	0	0	0	0	0	0	0	0	0	16	31	0	0	0	0	0	0	0	9	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	70425	971	386	750	530	981	1175	2140	1598	298	350	648	1198	2092	1513	1665	530	1329	383	1549	1444	958	2240	2064	864	925	1108	1968	498	580	304	254	563	1058	623	136	2220	2370	2386	548	2316	470	2707	2000	153	809	906	1525	297	2329	1072	737	1900	381	2525	1035	1512	226	2713	317	1298					
9	Число недействительных бюллетеней	578	3	0	2	16	10	0	101	0	0	5	0	0	69	3	9	0	4	17	0	1	0	0	12	0	0	0	5	0	0	2	0	0	0	0	0	52	30	0	4	0	2	0	5	0	5	42	36	24	0	0	5	0	4	12	0	10	9	65	14	0					
10	Число действительных бюллетеней	70366	968	410	748	514	989	1195	2063	1598	313	350	655	1198	2023	1510	1710	530	1325	366	1608	1444	958	2240	2052	879	925	1167	1963	498	630	387	270	565	1067	623	136	2168	2340	2386	544	2316	468	2707	1995	153	820	895	1489	273	2329	1072	732	1900	377	2522	1035	1502	217	2648	303	1298					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	250	3	2	2	2	3	4	8	5	1	1	3	5	8	5	6	2	5	2	5	6	3	7	8	3	3	4	7	2	2	2	1	2	4	2	1	8	8	8	3	7	2	9	7	1	4	4	6	1	8	4	2	6	2	8	4	5	1	9	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	242	3	2	2	2	3	4	8	4	1	1	3	5	8	5	6	2	5	1	5	6	3	7	8	3	2	4	7	2	1	2	1	2	3	2	1	8	8	5	3	7	2	9	7	1	4	4	6	1	8	4	2	6	2	8	4	5	1	9	2	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
																																																																			
18	"1. ""ЕДИНЕНИЕ"""	447	0	0	0	0	0	0	0	0	26	7	35	0	53	0	0	0	4	0	0	0	0	0	5	0	0	0	90	0	18	0	8	28	0	0	0	0	0	39	40	0	0	0	0	0	33	49	0	0	0	1	7	0	1	0	0	0	3	0	0	0					
