Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Табунская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7473	2409	579	202	153	146	1117	74	167	233	843	112	135	194	674	435									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6130	1700	500	150	150	140	1000	70	150	200	800	100	100	170	500	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3169	968	254	88	89	68	452	41	89	110	400	65	33	67	307	138									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	244	81	16	5	0	0	20	4	10	14	10	0	4	1	36	43									
6	Число погашенных избирательных бюллетеней	2717	651	230	57	61	72	528	25	51	76	390	35	63	102	157	219									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	244	81	16	5	0	0	20	4	10	14	10	0	4	1	36	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3169	968	254	88	89	68	452	41	89	110	400	65	33	67	307	138									
9	Число недействительных избирательных бюллетеней	90	30	7	3	2	1	12	1	1	0	5	3	3	0	13	9									
10	Число действительных избирательных бюллетеней	3323	1019	263	90	87	67	460	44	98	124	405	62	34	68	330	172									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	88	22	3	3	3	3	9	3	3	3	9	3	3	3	9	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	33	22	2	0	0	0	5	3	0	0	0	0	0	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	6	4	3	3	4	1	3	1	0	4	2	3	2	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	55	0	1	3	3	3	4	0	3	3	9	3	3	3	9	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	8	0	0	0	0	2	0	0	0	0	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	8	2	1	0	1	2	1	0	1	6	0	1	0	1	2									
		0.76%	0.76%	0.74%	1.08%	0.00%	1.47%	0.42%	2.22%	0.00%	0.81%	1.46%	0.00%	2.70%	0.00%	0.29%	1.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	105	27	11	4	6	0	13	2	3	6	15	2	0	1	11	4									
		3.08%	2.57%	4.07%	4.30%	6.74%	0.00%	2.75%	4.44%	3.03%	4.84%	3.66%	3.08%	0.00%	1.47%	3.21%	2.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	48	20	0	2	1	1	8	0	2	1	4	3	1	1	2	2									
		1.41%	1.91%	0.00%	2.15%	1.12%	1.47%	1.69%	0.00%	2.02%	0.81%	0.98%	4.62%	2.70%	1.47%	0.58%	1.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1417	423	115	35	40	26	190	25	36	62	145	19	14	47	164	76									
		41.52%	40.32%	42.59%	37.63%	44.94%	38.24%	40.25%	55.56%	36.36%	50.00%	35.37%	29.23%	37.84%	69.12%	47.81%	41.99%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	8	2	1	0	0	1	0	3	0	0	0	0	0	0	0									
		0.44%	0.76%	0.74%	1.08%	0.00%	0.00%	0.21%	0.00%	3.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	0	0	0	0	2	0	2	1	0	0	0	0	1	0									
		0.21%	0.10%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	2.02%	0.81%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	730	231	49	29	28	10	109	4	26	27	105	9	9	9	48	37									
		21.39%	22.02%	18.15%	31.18%	31.46%	14.71%	23.09%	8.89%	26.26%	21.77%	25.61%	13.85%	24.32%	13.24%	13.99%	20.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	4	1	0	0	0	1	1	1	0	0	0	0	1	0	0									
		0.26%	0.38%	0.37%	0.00%	0.00%	0.00%	0.21%	2.22%	1.01%	0.00%	0.00%	0.00%	0.00%	1.47%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	7	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0									
		0.21%	0.00%	0.74%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
