Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
"Наименование Избирательной комиссии:    Рязань, Октябрьская"																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №1026									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	112078	712	1824	2097	2353	2433	2282	2045	2004	1830	2350	2157	1794	2565	2431	2370	2023	1998	2301	2509	2866	2627	2210	1994	2780	2043	2945	2824	2569	2130	2436	2407	2851	2844	2769	2680	2761	2939	2866	2218	2846	2801	1778	1530	1623	1586	1736	2264	2193	1884									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	102350	550	1400	1700	2200	2300	2100	1800	1900	1700	2200	2000	1600	2300	2300	2200	1800	1800	2100	2300	2700	2400	2000	1800	2500	1900	2800	2700	2300	1900	2100	2200	2700	2700	2500	2500	2500	2700	2700	2100	2700	2600	1600	1400	1400	1400	1600	2000	2000	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34298	324	531	639	753	743	670	539	613	613	794	716	430	780	775	795	617	683	856	801	981	697	673	549	865	674	930	866	778	616	907	805	892	678	980	870	921	842	741	637	876	878	485	369	505	433	484	626	592	476									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1251	0	249	186	13	31	30	13	8	8	12	18	12	14	11	13	13	9	22	20	11	13	7	13	9	10	8	6	14	22	215	8	6	11	8	6	8	5	3	3	3	3	27	5	46	11	36	35	13	4									
6	Число погашенных избирательных бюллетеней	66801	226	620	875	1434	1526	1400	1248	1279	1079	1394	1266	1158	1506	1514	1392	1170	1108	1222	1479	1708	1690	1320	1238	1626	1216	1862	1828	1508	1262	978	1387	1802	2011	1512	1624	1571	1853	1956	1460	1821	1719	1088	1026	849	956	1080	1339	1395	1220									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1251	0	249	186	13	31	30	13	8	8	12	18	12	14	11	13	13	9	22	20	11	13	7	13	9	10	8	6	14	22	215	8	6	11	8	6	8	5	3	3	3	3	27	5	46	11	36	35	13	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34263	324	531	636	748	741	670	536	612	613	792	715	430	780	774	795	616	682	856	801	981	696	673	549	865	674	925	865	778	614	907	804	892	678	980	870	921	842	741	637	874	878	485	368	504	433	484	625	592	476									
9	Число недействительных избирательных бюллетеней	530	2	9	10	0	9	7	7	12	4	11	10	6	11	13	13	13	11	28	18	28	6	13	9	18	12	10	9	13	7	15	14	13	12	14	13	5	8	15	5	11	10	5	5	12	6	13	13	17	5									
10	Число действительных избирательных бюллетеней	34984	322	771	812	761	763	693	542	608	617	793	723	436	783	772	795	616	680	850	803	964	703	667	553	856	672	923	862	779	629	1107	798	885	677	974	863	924	839	729	635	866	871	507	368	538	438	507	647	588	475									
