Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    ТИК Алагирского района																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35					
1	"Число избирателей, внесенных в список избирателей"	25539	1090	2055	1700	1700	2481	1656	1300	1234	195	136	567	1200	122	567	385	652	305	710	723	851	974	45	1211	140	161	900	756	159	52	91	199	628	25	123	446					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27270	1000	2100	1950	1850	2370	1680	2200	1190	195	120	520	1340	120	540	375	650	300	720	720	840	890	58	1125	140	155	1370	950	155	57	70	200	725	25	100	470					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21368	412	1863	1661	1570	2294	1517	934	1011	126	107	495	1091	112	459	353	548	236	700	416	812	833	43	984	119	127	682	709	93	40	66	86	327	23	73	446					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1023	29	39	31	68	23	94	48	23	69	7	8	109	3	40	12	11	10	4	35	13	20	0	91	16	10	119	47	10	0	0	18	16	0	0	0					
6	Число погашенных избирательных бюллетеней	4729	559	198	258	212	53	69	1218	156	0	6	17	140	5	41	10	91	54	16	269	15	37	15	50	5	18	569	194	52	17	4	96	232	2	27	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1173	29	39	31	68	23	94	48	23	69	7	8	109	3	40	12	11	10	4	35	13	20	0	91	16	10	119	47	10	0	0	18	166	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21367	412	1863	1661	1570	2294	1517	934	1011	126	107	495	1091	112	459	353	548	236	700	416	812	833	43	984	119	127	682	708	93	40	66	86	327	23	73	446					
9	Число недействительных избирательных бюллетеней	460	4	19	9	0	7	5	316	25	2	0	8	0	3	1	0	1	1	1	0	0	13	0	6	0	0	8	12	2	0	0	0	10	0	0	7					
10	Число действительных избирательных бюллетеней	22080	437	1883	1683	1638	2310	1606	666	1009	193	114	495	1200	112	498	365	558	245	703	451	825	840	43	1069	135	137	793	743	101	40	66	104	483	23	73	439					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	415	20	20	20	20	20	20	20	20	0	0	20	20	0	20	20	10	10	20	20	20	20	0	20	0	0	20	20	5	0	0	0	10	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	129	1	8	8	13	17	13	14	7	0	0	1	2	0	3	1	0	2	0	3	4	3	0	6	0	0	9	8	1	0	0	0	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	121	4	3	5	5	2	0	3	0	1	20	1	5	1	2	0	1	1	1	1	1	3	0	30	1	0	2	0	1	0	1	0	0	1	20	5					
14	Число погашенных неиспользованных открепительных удостоверений	286	19	12	12	7	3	7	6	13	0	0	19	18	0	17	19	10	8	20	17	16	17	0	14	0	0	11	12	4	0	0	0	5	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
