Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва										
Дата голосования: 02.12.2007										
										
Наименование Избирательной комиссии:    Монгун-Тайгинская										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №99	УИК №100	УИК №101					
1	"Число избирателей, внесенных в списки избирателей"	3006	964	1406	636					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2884	1000	1226	658					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	392	215	31	146					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2091	590	1026	475					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	75	25	37	13					
6	Число погашенных избирательных бюллетеней	326	170	132	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	467	240	68	159					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2084	583	1026	475					
9	Число недействительных избирательных бюллетеней	38	15	15	8					
10	Число действительных избирательных бюллетеней	2513	808	1079	626					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	32	11	19	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	32	11	19	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	6	1	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0					
										
18	1.Политическая партия «Аграрная партия России»	1	1	0	0					
		0.04%	0.12%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	1	0					
		0.04%	0.00%	0.09%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	30	6	23	1					
		1.18%	0.73%	2.10%	0.16%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	1	1	2					
		0.16%	0.12%	0.09%	0.32%					
23	6.Политическая партия «Партия социальной справедливости»	3	1	1	1					
		0.12%	0.12%	0.09%	0.16%					
24	7.Политическая партия «Либерально-демократическая партия России»	7	3	3	1					
		0.27%	0.36%	0.27%	0.16%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7	1	4	2					
		0.27%	0.12%	0.37%	0.32%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	11	0	7	4					
		0.43%	0.00%	0.64%	0.63%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2449	795	1039	615					
		96.00%	96.60%	94.97%	97.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
