Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва										
Дата голосования: 04.12.2011										
										
Наименование Избирательной комиссии:    Монгун-Тайгинская										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №100	УИК №101	УИК №102					
1	"Число избирателей, внесенных в список избирателей"	2999	1232	1087	680					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3163	1342	1131	690					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	433	232	53	148					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2361	881	964	516					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	114	54	44	16					
6	Число погашенных избирательных бюллетеней	255	175	70	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	547	286	97	164					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2358	878	964	516					
9	Число недействительных избирательных бюллетеней	25	8	7	10					
10	Число действительных избирательных бюллетеней	2880	1156	1054	670					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	38	15	15	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	30	15	14	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	6	1	5	0					
14	Число погашенных неиспользованных открепительных удостоверений	8	0	1	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	95	48	40	7					
		3.27%	4.12%	3.77%	1.03%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	13	6	5	2					
		0.45%	0.52%	0.47%	0.29%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	1	4	0					
		0.17%	0.09%	0.38%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	83	34	41	8					
		2.86%	2.92%	3.86%	1.18%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6	3	3	0					
		0.21%	0.26%	0.28%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2674	1063	958	653					
		92.05%	91.32%	90.29%	96.03%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	4	1	3	0					
		0.14%	0.09%	0.28%	0.00%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
