Выборы Президента Российской Федерации																																																																															
Дата голосования: 04.03.2012																																																																															
																																																																															
Наименование Избирательной комиссии:    Томск, Октябрьская																																																																															
																																																																															
Сводная таблица итогов голосования																																																																															
																																																																															
	Число участковых избирательных комиссий	68																																																																													
	Число участковых избирательных комиссий, приступивших к передаче сведений	68																																																																													
																																																																															
		Сумма	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163									
1	Число избирателей, включенных в список избирателей	127020	1703	1822	1957	1858	1951	2163	2133	1129	625	2103	2288	1979	1914	1830	1572	1923	2336	1967	1194	1846	1936	1788	1653	1966	2047	2185	1920	1830	1707	1852	2096	2031	1737	1591	1501	1956	1387	1929	1731	1961	1554	2195	1270	1642	2033	1926	1484	1359	560	1934	2429	1863	2495	2042	1741	1653	1548	2536	2950	2668	2637	2470	2580	1169	1591	2227	1837	1530									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	108300	1500	1500	1500	1500	2000	2000	1500	1000	500	2000	2000	1500	1500	1500	1500	1500	2000	1500	1000	1500	1500	1500	1500	1500	2000	2000	1500	1500	1500	1500	2000	2000	1500	1500	1300	1500	1000	1500	1500	1500	1500	1500	1000	1500	1500	1500	1500	1000	1000	1500	2000	1500	2000	1500	1500	1500	1500	2000	2500	2500	2500	2000	2500	1000	1500	2000	1500	1500									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	68339	1134	965	1161	871	1145	1279	1168	547	358	1146	1195	1163	1050	909	900	1193	1204	1099	675	1137	1013	970	877	1194	1126	1170	1069	1071	907	1118	1148	1179	950	857	681	1084	712	907	799	833	647	1083	656	982	954	1006	779	745	529	858	1259	1067	1312	1244	861	924	832	1433	1662	1477	1546	1280	1282	662	748	1051	812	684									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2330	18	72	11	58	20	24	18	13	6	32	32	23	29	29	27	13	22	21	11	24	38	40	35	22	37	49	23	30	30	13	33	18	8	23	46	25	29	27	65	63	33	79	14	15	18	92	282	21	31	37	112	13	34	11	14	20	18	18	20	35	25	35	60	15	40	35	27	19									
6	Число погашенных избирательных бюллетеней	37631	348	463	328	571	835	697	314	440	136	822	773	314	421	562	573	294	774	380	314	339	449	490	588	284	837	781	408	399	563	369	819	803	542	620	573	391	259	566	636	604	820	338	330	503	528	402	439	234	440	605	629	420	654	245	625	556	650	549	818	988	929	685	1158	323	712	914	661	797									
