Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																		
Дата голосования: 04.12.2011																																																		
																																																		
Наименование Избирательной комиссии:    Новоусманская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343					
1	"Число избирателей, внесенных в список избирателей"	54840	2120	1692	1303	2048	1544	2910	2196	2195	802	2591	2531	1037	946	1067	1659	1977	2903	300	539	1299	1332	425	367	704	750	653	876	706	247	1375	660	434	829	571	684	683	743	806	856	2289	2034	1823	1334					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50024	1950	1500	1150	1850	1350	2600	1950	1950	700	2200	2100	950	900	1000	1500	1800	2974	230	500	1200	1200	400	350	650	700	600	850	680	240	1300	600	400	750	600	650	600	650	750	800	2100	1850	1700	1250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	37011	1581	861	1048	1660	1193	2369	1674	1499	481	2009	1823	553	644	631	821	1442	1733	127	287	534	457	248	214	295	246	211	712	606	201	1161	397	276	494	382	488	266	379	651	701	1734	1465	1356	1101					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5921	103	124	62	146	142	167	144	47	153	50	157	153	95	123	78	102	118	12	149	185	226	92	58	282	444	347	129	68	38	117	159	71	104	146	128	182	74	96	87	180	263	274	46					
6	Число погашенных избирательных бюллетеней	7092	266	515	40	44	15	64	132	404	66	141	120	244	161	246	601	256	1123	91	64	481	517	60	78	73	10	42	9	6	1	22	44	53	152	72	34	152	197	3	12	186	122	70	103					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5921	103	124	62	146	142	167	144	47	153	50	157	153	95	123	78	102	118	12	149	185	226	92	58	282	444	347	129	68	38	117	159	71	104	146	128	182	74	96	87	180	263	274	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37009	1581	861	1048	1660	1193	2369	1674	1499	481	2009	1823	553	643	631	821	1442	1732	127	287	534	457	248	214	295	246	211	712	606	201	1161	397	276	494	382	488	266	379	651	701	1734	1465	1356	1101					
9	Число недействительных избирательных бюллетеней	413	19	8	20	21	6	19	17	21	6	15	18	7	5	6	10	8	34	5	2	15	5	4	3	7	7	13	3	0	1	21	4	5	9	3	5	4	12	4	2	18	18	0	3					
10	Число действительных избирательных бюллетеней	42517	1665	977	1090	1785	1329	2517	1801	1525	628	2044	1962	699	733	748	889	1536	1816	134	434	704	678	336	269	570	683	545	838	674	238	1257	552	342	589	525	611	444	441	743	786	1896	1710	1630	1144					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	714	25	20	11	14	19	35	34	25	15	20	24	10	22	27	19	28	39	7	4	12	23	8	8	5	5	6	13	5	5	32	11	11	11	10	5	3	14	10	10	33	28	33	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	640	24	20	8	14	19	32	27	20	14	20	24	7	13	27	19	28	39	4	4	12	21	6	6	2	5	6	11	3	5	32	11	9	11	7	5	3	10	6	10	29	26	29	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	297	19	7	8	5	3	18	4	10	3	11	6	9	2	2	10	12	9	4	3	16	9	1	1	0	1	3	2	3	1	4	9	9	8	5	6	7	9	8	7	17	15	5	6					
14	Число погашенных неиспользованных открепительных удостоверений	74	1	0	3	0	0	3	7	5	1	0	0	3	9	0	0	0	0	3	0	0	2	2	2	3	0	0	2	2	0	0	0	2	0	3	0	0	4	4	0	4	2	4	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5204	202	172	105	311	227	329	132	296	53	229	193	50	135	107	132	127	264	10	67	109	125	42	48	75	56	81	60	56	15	179	57	51	152	36	58	39	68	62	79	156	151	113	195					
		12.12%	11.99%	17.46%	9.46%	17.22%	17.00%	12.97%	7.26%	19.15%	8.36%	11.12%	9.75%	7.08%	18.29%	14.19%	14.68%	8.23%	14.27%	7.19%	15.37%	15.16%	18.30%	12.35%	17.65%	12.99%	8.12%	14.52%	7.13%	8.31%	6.28%	14.01%	10.25%	14.70%	25.42%	6.82%	9.42%	8.71%	15.01%	8.30%	10.03%	8.15%	8.74%	6.93%	17.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2762	128	132	87	142	112	172	104	182	44	23	20	79	72	9	12	13	276	14	23	21	57	45	6	38	58	49	18	51	12	17	39	26	10	36	7	28	7	57	58	134	164	93	87					
		6.43%	7.60%	13.40%	7.84%	7.86%	8.39%	6.78%	5.72%	11.77%	6.94%	1.12%	1.01%	11.19%	9.76%	1.19%	1.33%	0.84%	14.92%	10.07%	5.28%	2.92%	8.35%	13.24%	2.21%	6.59%	8.41%	8.78%	2.14%	7.57%	5.02%	1.33%	7.01%	7.49%	1.67%	6.82%	1.14%	6.25%	1.55%	7.63%	7.36%	7.00%	9.49%	5.71%	7.59%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	269	17	8	6	9	8	12	10	12	2	17	21	4	3	11	9	5	18	1	1	4	5	7	0	1	4	3	2	1	1	7	0	1	8	0	0	3	2	5	5	7	15	0	14					
		0.63%	1.01%	0.81%	0.54%	0.50%	0.60%	0.47%	0.55%	0.78%	0.32%	0.83%	1.06%	0.57%	0.41%	1.46%	1.00%	0.32%	0.97%	0.72%	0.23%	0.56%	0.73%	2.06%	0.00%	0.17%	0.58%	0.54%	0.24%	0.15%	0.42%	0.55%	0.00%	0.29%	1.34%	0.00%	0.00%	0.67%	0.44%	0.67%	0.63%	0.37%	0.87%	0.00%	1.22%					
