Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Эрзинская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183					
1	"Число избирателей, внесенных в список избирателей"	4152	669	1558	515	407	821	182					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4489	673	1576	630	420	980	210					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	582	157	24	117	86	114	84					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2792	450	1078	323	298	567	76					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	258	47	107	15	23	66	0					
6	Число погашенных избирательных бюллетеней	857	19	367	175	13	233	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	840	204	131	132	109	180	84					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2790	449	1078	323	298	566	76					
9	Число недействительных избирательных бюллетеней	49	25	8	6	4	5	1					
10	Число действительных избирательных бюллетеней	3581	628	1201	449	403	741	159					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	49	8	27	6	0	8	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	46	7	25	6	0	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	17	0	13	1	1	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	3	1	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	214	4	98	40	19	17	36					
		5.90%	0.61%	8.11%	8.79%	4.67%	2.28%	22.50%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	19	1	5	5	1	5	2					
		0.52%	0.15%	0.41%	1.10%	0.25%	0.67%	1.25%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	0	0	3	1	3	4					
		0.30%	0.00%	0.00%	0.66%	0.25%	0.40%	2.50%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	89	14	26	23	9	10	7					
		2.45%	2.14%	2.15%	5.05%	2.21%	1.34%	4.38%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4	1	0	0	1	1	1					
		0.11%	0.15%	0.00%	0.00%	0.25%	0.13%	0.63%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3236	608	1072	377	371	702	106					
		89.15%	93.11%	88.67%	82.86%	91.15%	94.10%	66.25%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	8	0	0	1	1	3	3					
		0.22%	0.00%	0.00%	0.22%	0.25%	0.40%	1.88%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
