Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Эрзинская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182					
1	"Число избирателей, внесенных в списки избирателей"	4452	630	1619	606	452	968	177					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3781	594	1323	520	384	810	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	621	146	74	121	48	145	87					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2852	418	1076	368	328	601	61					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	155	17	85	17	8	28	0					
6	Число погашенных избирательных бюллетеней	153	13	88	14	0	36	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	776	163	159	138	56	173	87					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2852	418	1076	368	328	601	61					
9	Число недействительных избирательных бюллетеней	41	3	17	1	1	18	1					
10	Число действительных избирательных бюллетеней	3587	578	1218	505	383	756	147					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	51	8	15	7	7	9	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	11	0	7	0	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	22	4	6	1	4	7	0					
14	Число погашенных неиспользованных открепительных удостоверений	40	8	8	7	5	7	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	9	0	4	3	1	1	0					
		0.25%	0.00%	0.32%	0.59%	0.26%	0.13%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	3	0	3	0	0	0	0					
		0.08%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	0	1	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	86	9	33	14	2	27	1					
		2.37%	1.55%	2.67%	2.77%	0.52%	3.49%	0.68%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	8	1	0	2	0	5	0					
		0.22%	0.17%	0.00%	0.40%	0.00%	0.65%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	4	0	1	0	0	3	0					
		0.11%	0.00%	0.08%	0.00%	0.00%	0.39%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	21	2	8	0	3	8	0					
		0.58%	0.34%	0.65%	0.00%	0.78%	1.03%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	41	2	25	1	1	6	6					
		1.13%	0.34%	2.02%	0.20%	0.26%	0.78%	4.05%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	28	4	9	4	4	7	0					
		0.77%	0.69%	0.73%	0.79%	1.04%	0.90%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3383	559	1134	480	372	698	140					
		93.25%	96.21%	91.82%	94.86%	96.88%	90.18%	94.59%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3	1	1	1	0	0	0					
		0.08%	0.17%	0.08%	0.20%	0.00%	0.00%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
