Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Александрово-Гайская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22					
1	"Число избирателей, внесенных в списки"	11244	1263	1067	1033	1213	880	1021	329	200	99	208	720	155	448	131	486	126	382	80	107	463	107	726					
2	"Число бюллетеней, полученных участковыми комиссиями"	11002	1200	1046	1000	1178	855	1008	324	198	101	208	703	144	440	132	482	124	377	82	109	455	104	732					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8409	1080	755	652	691	792	778	229	162	74	147	506	101	313	101	436	118	319	58	105	358	98	536					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	843	56	32	71	61	27	30	58	20	24	51	118	30	44	20	0	0	22	19	0	52	0	108					
6	Число погашенных бюллетеней	1750	64	259	277	426	36	200	37	16	3	10	79	13	83	11	46	6	36	5	4	45	6	88					
7	Число бюллетеней в переносных ящиках для голосования	843	56	32	71	61	27	30	58	20	24	51	118	30	44	20	0	0	22	19	0	52	0	108					
8	Число бюллетеней в стационарных ящиках для голосования	8409	1080	755	652	691	792	778	229	162	74	147	506	101	313	101	436	118	319	58	105	358	98	536					
9	Число недействительных бюллетеней	98	2	0	7	5	5	6	1	0	0	0	7	6	16	0	5	6	19	4	0	2	6	1					
10	Число действительных бюллетеней	9154	1134	787	716	747	814	802	286	182	98	198	617	125	341	121	431	112	322	73	105	408	92	643					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	11	11	11	14	9	11	5	2	5	5	7	5	5	5	5	5	5	5	5	5	5	9					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	66	11	4	7	6	8	11	1	0	0	0	6	0	3	0	1	0	1	0	0	0	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	1	2	0	3	2	2	2	0	0	2	2	2	3	1	1	1	3	1	0	2	0	1					
14	Число погашенных открепительных удостоверений	84	0	7	4	8	1	0	4	2	5	5	1	5	2	5	4	5	4	5	5	5	5	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	160	0	8	17	9	0	22	9	5	0	1	10	6	0	6	11	2	21	0	2	8	7	16					
		1.72%	0.0%	1.01%	2.35%	1.19%	0.0%	2.72%	3.13%	2.74%	0.0%	0.50%	1.60%	4.58%	0.0%	4.95%	2.52%	1.69%	6.15%	0.0%	1.90%	1.95%	7.14%	2.48%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	65	12	8	0	10	1	7	5	1	0	1	4	1	6	0	1	0	1	0	0	3	0	4					
		0.70%	1.05%	1.01%	0.0%	1.32%	0.12%	0.86%	1.74%	0.54%	0.0%	0.50%	0.64%	0.76%	1.68%	0.0%	0.22%	0.0%	0.29%	0.0%	0.0%	0.73%	0.0%	0.62%					
