Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Алексеевская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12900	1420	1779	1097	467	130	527	510	311	192	441	815	576	449	1649	316	592	375	454	658	142									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13200	1450	1800	1130	500	140	540	520	320	200	450	830	590	460	1660	320	600	390	460	680	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7370	887	917	723	293	70	320	230	187	138	137	221	311	246	1196	125	407	143	271	486	62									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2394	112	159	321	98	35	92	154	70	36	210	223	117	99	86	127	91	182	76	60	46									
6	Число погашенных избирательных бюллетеней	3436	451	724	86	109	35	128	136	63	26	103	386	162	115	378	68	102	65	113	134	52									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2394	112	159	321	98	35	92	154	70	36	210	223	117	99	86	127	91	182	76	60	46									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7370	887	917	723	293	70	320	230	187	138	137	221	311	246	1196	125	407	143	271	486	62									
9	Число недействительных избирательных бюллетеней	89	26	5	3	3	0	1	4	8	0	5	10	4	5	11	1	0	0	2	1	0									
10	Число действительных избирательных бюллетеней	9675	973	1071	1041	388	105	411	380	249	174	342	434	424	340	1271	251	498	325	345	545	108									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	241	20	20	20	10	10	10	10	10	10	10	17	10	10	20	10	10	10	9	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	51	7	10	4	1	3	3	3	2	0	1	2	2	0	8	0	0	1	0	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	3	3	0	0	2	1	0	3	1	0	2	1	1	2	5	1	0	4	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	190	13	10	16	9	7	7	7	8	10	9	15	8	10	12	10	10	9	9	6	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	1	0	1	0	0	2	0	0	0	1	1	0	0	1	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	61	8	15	7	5	0	1	0	1	0	0	5	3	1	7	3	0	0	4	1	0									
		0.62%	0.80%	1.39%	0.67%	1.28%	0.00%	0.24%	0.00%	0.39%	0.00%	0.00%	1.13%	0.70%	0.29%	0.55%	1.19%	0.00%	0.00%	1.15%	0.18%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	166	16	50	0	4	1	3	5	2	2	5	6	9	6	25	9	1	6	5	8	3									
		1.70%	1.60%	4.65%	0.00%	1.02%	0.95%	0.73%	1.30%	0.78%	1.15%	1.44%	1.35%	2.10%	1.74%	1.95%	3.57%	0.20%	1.85%	1.44%	1.47%	2.78%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	122	19	22	0	3	0	3	6	2	2	4	2	4	4	25	3	3	5	7	7	1									
