Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    Зианчуринская																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998					
1	"Число избирателей, внесенных в списки избирателей"	19470	755	109	97	269	251	113	223	65	231	306	73	70	159	204	146	306	319	163	156	193	178	148	957	1573	569	119	1631	101	125	284	938	246	138	299	76	142	449	103	43	309	128	102	464	628	535	131	548	203	493	187	70	606	80	122	72	874	71	74	322	360	39	126	400	199					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19773	770	125	97	290	276	120	223	69	232	320	76	70	161	204	139	319	328	169	156	196	204	168	1059	1500	540	125	1501	104	132	284	991	246	152	305	77	142	469	103	45	320	143	104	474	631	550	134	550	212	507	190	73	606	83	122	72	910	77	76	312	365	39	127	409	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18327	751	107	97	266	241	110	223	65	231	301	73	70	158	200	132	306	310	163	146	172	163	139	895	1200	478	117	1417	101	117	258	920	243	131	289	70	126	447	103	43	309	128	98	433	565	527	131	548	203	493	187	70	591	73	122	72	837	71	74	301	360	39	124	393	199					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	404	4	1	0	3	10	3	0	0	0	2	0	0	0	0	0	0	9	0	0	0	15	9	62	23	21	2	51	0	8	7	0	0	7	10	6	16	0	0	0	0	0	4	31	44	0	0	0	0	0	0	0	15	7	0	0	30	0	0	0	0	0	0	4	0					
6	Число погашенных избирательных бюллетеней	1042	15	17	0	21	25	7	0	4	1	17	3	0	3	4	7	13	9	6	10	24	26	20	102	277	41	6	33	3	7	19	71	3	14	6	1	0	22	0	2	11	15	2	10	22	23	3	2	9	14	3	3	0	3	0	0	43	6	2	11	5	0	3	12	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	404	4	1	0	3	10	3	0	0	0	2	0	0	0	0	0	0	9	0	0	0	15	9	62	23	21	2	51	0	8	7	0	0	7	10	6	16	0	0	0	0	0	4	31	44	0	0	0	0	0	0	0	15	7	0	0	30	0	0	0	0	0	0	4	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18327	751	107	97	266	241	110	223	65	231	301	73	70	158	200	132	306	310	163	146	172	163	139	895	1200	478	117	1417	101	117	258	920	243	131	289	70	126	447	103	43	309	128	98	433	565	527	131	548	203	493	187	70	591	73	122	72	837	71	74	301	360	39	124	393	199					
9	Число недействительных избирательных бюллетеней	101	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	10	0	8	0	1	0	7	0	0	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	2	0	0	24	1	1	0	8	7					
10	Число действительных избирательных бюллетеней	18630	755	108	97	269	251	96	223	65	231	303	73	70	158	200	132	306	319	163	145	172	178	148	953	1223	489	119	1460	101	124	265	913	243	138	299	74	142	445	103	43	309	128	102	464	606	527	131	548	203	490	187	70	606	80	122	72	865	71	74	277	359	38	124	389	192					
