Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
Наименование Избирательной комиссии:    Зианчуринская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980					
1	"Число избирателей, внесенных в список избирателей"	21676	834	124	112	325	299	128	268	67	242	360	78	68	171	220	154	335	346	189	187	184	224	152	1221	1773	646	295	1887	117	373	1008	244	477	103	53	368	160	106	483	684	538	147	576	212	513	179	73	650	90	126	80	142	936	90	74	370	426	37	160	438	219	307	81	147					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22773	881	132	123	347	320	132	278	69	252	374	80	73	177	227	157	360	370	193	196	200	224	158	1255	1859	778	297	1976	114	397	1042	247	497	106	55	390	174	114	501	710	551	148	593	213	514	185	73	764	91	129	83	152	970	96	76	396	447	40	161	465	223	329	86	153					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18133	766	124	111	286	285	118	255	63	224	356	78	63	169	218	147	314	326	180	173	171	188	132	738	1282	444	242	1386	105	188	950	234	440	77	53	247	156	104	440	543	508	126	492	199	443	160	53	603	80	123	75	129	679	81	69	317	387	35	136	382	209	259	81	131					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	749	5	0	0	9	14	6	0	0	0	0	0	5	0	0	0	15	11	6	8	6	17	6	121	40	12	23	58	3	25	0	0	19	0	0	0	0	2	36	38	0	5	47	7	26	0	0	18	6	0	0	3	103	0	4	0	3	2	5	15	0	12	0	8					
6	Число погашенных избирательных бюллетеней	3891	110	8	12	52	21	8	23	6	28	18	2	5	8	9	10	31	33	7	15	23	19	20	396	537	322	32	532	6	184	92	13	38	29	2	143	18	8	25	129	43	17	54	7	45	25	20	143	5	6	8	20	188	15	3	79	57	3	20	68	14	58	5	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	749	5	0	0	9	14	6	0	0	0	0	0	5	0	0	0	15	11	6	8	6	17	6	121	40	12	23	58	3	25	0	0	19	0	0	0	0	2	36	38	0	5	47	7	26	0	0	18	6	0	0	3	103	0	4	0	3	2	5	15	0	12	0	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18126	766	124	111	286	285	118	255	63	224	356	78	63	169	218	147	314	326	180	173	171	188	132	738	1282	444	242	1386	105	188	950	234	440	77	53	247	156	104	440	536	508	126	492	199	443	160	53	603	80	123	75	129	679	81	69	317	387	35	136	382	209	259	81	131					
9	Число недействительных избирательных бюллетеней	149	2	0	0	0	0	0	1	0	1	2	0	0	8	9	0	2	1	2	0	0	0	0	9	10	3	2	18	4	6	10	0	2	0	0	5	0	0	0	7	1	0	4	0	0	0	0	7	2	0	0	2	16	0	1	1	0	0	0	2	4	0	4	1					
10	Число действительных избирательных бюллетеней	18726	769	124	111	295	299	124	254	63	223	354	78	68	161	209	147	327	336	184	181	177	205	138	850	1312	453	263	1426	104	207	940	234	457	77	53	242	156	106	476	567	507	131	535	206	469	160	53	614	84	123	75	130	766	81	72	316	390	37	141	395	205	271	77	138					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	587	17	6	3	10	7	5	10	2	7	10	3	3	5	5	5	10	10	6	7	12	8	5	20	41	30	9	48	0	12	15	8	10	5	2	10	6	5	11	15	15	5	15	5	15	5	3	25	4	4	2	5	20	3	2	10	12	1	5	10	5	8	2	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	357	4	6	1	10	4	0	1	0	0	0	0	0	0	0	1	10	10	0	5	12	3	3	11	41	30	3	46	0	12	15	1	4	0	0	0	6	5	11	10	1	2	1	0	5	0	2	12	0	0	2	4	20	2	1	10	12	0	5	10	0	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	4	0	1	2	0	1	0	0	0	0	0	0	1	0	0	2	0	2	3	0	1	1	5	4	5	0	2	5	0	1	1	0	0	0	1	0	0	1	4	2	1	0	0	3	0	2	0	4	0	1	0	7	3	2	0	0	1	1	1	0	2	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	230	13	0	2	0	3	5	9	2	7	10	3	3	5	5	4	0	0	6	2	0	5	2	9	0	0	6	2	0	0	0	7	6	5	2	10	0	0	0	5	14	3	14	5	10	5	1	13	4	4	0	1	0	1	1	0	0	1	0	0	5	7	1	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	731	3	2	0	5	0	0	9	0	0	5	0	0	2	0	2	1	0	2	3	2	4	0	59	66	59	15	132	4	30	12	3	20	3	3	8	7	0	19	43	3	2	14	3	10	2	3	33	4	0	7	3	65	4	3	21	0	2	10	5	5	6	0	3					
		3.87%	0.39%	1.61%	0.00%	1.69%	0.00%	0.00%	3.53%	0.00%	0.00%	1.40%	0.00%	0.00%	1.18%	0.00%	1.36%	0.30%	0.00%	1.08%	1.66%	1.13%	1.95%	0.00%	6.87%	4.99%	12.94%	5.66%	9.14%	3.70%	14.08%	1.26%	1.28%	4.36%	3.90%	5.66%	3.24%	4.49%	0.00%	3.99%	7.49%	0.59%	1.53%	2.60%	1.46%	2.13%	1.25%	5.66%	5.31%	4.65%	0.00%	9.33%	2.27%	8.31%	4.94%	4.11%	6.62%	0.00%	5.41%	7.09%	1.26%	2.39%	2.21%	0.00%	2.16%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	483	2	0	0	1	0	0	3	0	0	3	0	0	2	3	3	2	1	1	2	0	2	1	22	57	24	5	75	4	16	9	4	2	9	1	2	3	2	8	11	6	1	6	2	11	10	6	28	0	3	0	2	72	7	0	10	7	1	9	6	5	8	0	3					
