Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Красноярская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26076	1110	1188	770	463	2096	1842	724	765	988	863	399	877	308	657	177	300	829	538	319	400	415	927	64	1391	823	832	331	253	1089	122	1351	163	596	433	143	1530									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24425	1000	1000	700	400	2000	1800	700	700	900	800	400	800	300	600	160	300	800	500	300	400	400	900	110	1300	800	800	300	220	1000	95	1200	150	550	400	140	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9646	321	363	245	147	665	552	227	263	281	276	134	413	104	125	108	171	364	207	208	216	181	340	60	507	306	317	132	82	512	75	588	88	322	199	91	456									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	367	1	14	10	3	7	14	3	16	0	11	5	7	0	0	8	8	13	18	20	7	16	6	0	25	12	16	5	8	34	1	36	2	26	9	0	6									
6	Число погашенных избирательных бюллетеней	14412	678	623	445	250	1328	1234	470	421	619	513	261	380	196	475	44	121	423	275	72	177	203	554	50	768	482	467	163	130	454	19	576	60	202	192	49	1038									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	367	1	14	10	3	7	14	3	16	0	11	5	7	0	0	8	8	13	18	20	7	16	6	0	25	12	16	5	8	34	1	36	2	26	9	0	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9644	321	363	245	147	665	550	227	263	281	276	134	413	104	125	108	171	364	207	208	216	181	340	60	507	306	317	132	82	512	75	588	88	322	199	91	456									
9	Число недействительных избирательных бюллетеней	424	8	7	6	8	27	15	16	8	13	16	11	24	4	6	4	2	15	6	2	14	13	12	1	54	8	14	6	11	27	4	13	4	20	8	4	13									
10	Число действительных избирательных бюллетеней	9587	314	370	249	142	645	549	214	271	268	271	128	396	100	119	112	177	362	219	226	209	184	334	59	478	310	319	131	79	519	72	611	86	328	200	87	449									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	557	20	20	20	10	35	35	15	25	15	10	25	10	35	10	5	15	10	10	5	10	5	15	0	30	5	15	7	5	20	5	30	10	15	15	10	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	370	9	11	10	3	24	18	12	11	13	9	17	6	22	10	5	15	2	8	5	10	5	15	0	20	2	15	6	3	14	1	14	4	9	5	7	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	294	3	4	6	2	9	15	9	7	3	1	3	3	15	1	1	2	3	5	0	1	7	9	60	3	1	20	7	2	3	14	35	6	2	6	15	11									
14	Число погашенных неиспользованных открепительных удостоверений	187	11	9	10	7	11	17	3	14	2	1	8	4	13	0	0	0	8	2	0	0	0	0	0	10	3	0	1	2	6	4	16	6	6	10	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	85	4	5	3	3	8	6	4	6	2	14	1	2	0	0	0	1	1	0	0	1	1	4	0	2	1	0	1	0	1	0	2	0	1	1	1	9									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
