Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Пестречинская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  2411	УИК  2412	УИК  2413	УИК  2414	УИК  2415	УИК  2416	УИК  2417	УИК  2418	УИК  2419	УИК  2420	УИК  2421	УИК  2422	УИК  2423	УИК  2424	УИК  2425	УИК  2426	УИК  2427	УИК  2428	УИК  2429	УИК  2430	УИК  2431	УИК  2432	УИК  2433	УИК  2434	УИК  2435	УИК  2436	УИК  2437	УИК  2438	УИК  2439	УИК  2440	УИК  2441	УИК  2442	УИК  2443	УИК  2444	УИК  2445					
1	"Число избирателей, внесенных в списки"	20083	200	195	717	222	338	115	167	332	227	270	844	1322	469	749	1199	754	195	187	326	399	600	918	1163	1198	1008	999	263	192	620	578	365	1237	1041	264	410					
2	"Число бюллетеней, полученных участковыми комиссиями"	20128	202	195	747	223	328	116	169	333	227	270	853	1333	463	751	1197	758	195	187	317	401	602	923	1151	1182	989	1000	267	193	624	580	368	1248	1055	265	416					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18150	141	190	583	195	294	115	163	312	218	237	808	1260	357	694	1139	707	135	167	300	368	512	783	1068	1034	934	840	248	181	597	489	362	1147	948	225	399					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1190	40	5	118	27	28	0	4	20	9	33	16	50	49	43	22	28	60	18	16	28	19	32	58	68	50	52	12	11	5	77	3	64	80	34	11					
6	Число погашенных бюллетеней	788	21	0	46	1	6	1	2	1	0	0	29	23	57	14	36	23	0	2	1	5	71	108	25	80	5	108	7	1	22	14	3	37	27	6	6					
7	Число бюллетеней в переносных ящиках для голосования	1190	40	5	118	27	28	0	4	20	9	33	16	50	49	43	22	28	60	18	16	28	19	32	58	68	50	52	12	11	5	77	3	64	80	34	11					
8	Число бюллетеней в стационарных ящиках для голосования	18150	141	190	583	195	294	115	163	312	218	237	808	1260	357	694	1139	707	135	167	300	368	512	783	1068	1034	934	840	248	181	597	489	362	1147	948	225	399					
9	Число недействительных бюллетеней	149	0	0	22	2	0	0	0	0	6	0	0	0	3	0	20	0	17	0	7	0	0	0	23	5	10	5	2	0	0	2	1	8	2	0	14					
10	Число действительных бюллетеней	19191	181	195	679	220	322	115	167	332	221	270	824	1310	403	737	1141	735	178	185	309	396	531	815	1103	1097	974	887	258	192	602	564	364	1203	1026	259	396					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	4	4	42	4	9	3	3	6	5	5	10	15	18	10	15	10	3	6	5	6	10	25	30	16	15	25	10	3	10	10	12	22	15	3	11					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	232	1	1	33	0	4	0	0	2	0	1	2	9	16	6	3	3	0	4	5	5	9	17	20	15	9	15	9	0	6	6	4	12	11	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	125	0	1	9	0	10	0	2	3	2	2	0	3	4	5	6	0	1	2	6	2	7	12	8	4	5	3	6	1	3	7	3	5	1	2	0					
14	Число погашенных открепительных удостоверений	168	3	3	9	4	5	3	3	4	5	4	8	6	2	4	12	7	3	2	0	1	1	8	10	1	6	10	1	3	4	4	8	10	4	3	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	68	0	1	3	0	0	0	0	0	0	0	0	0	3	0	8	3	0	0	0	0	2	4	0	5	4	6	3	0	5	2	0	4	14	1	0					
