Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Cacовская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785									
1	Число избирателей, внесенных в списки избирателей	15645	536	734	167	615	136	89	616	151	360	437	378	384	265	223	901	396	595	153	648	771	292	125	446	241	99	460	589	486	218	1191	1072	614	235	267	148	440	167									
2	Число избирательных бюллетеней, полученных участковыми избирательными комиссиями	15555	535	725	160	600	135	90	615	150	360	440	380	380	260	225	900	395	590	140	650	765	280	120	440	240	90	470	600	480	215	1200	1080	620	230	260	130	435	170									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещениях для голосования	7046	285	377	49	271	53	47	264	57	188	224	232	196	95	123	437	224	309	86	275	333	158	34	174	86	69	204	232	183	91	460	330	331	121	143	61	156	88									
5	Число избирательных бюллетеней, выданных избирателям вне помещений для голосования	1166	27	50	37	46	17	10	59	18	17	33	25	23	48	19	69	26	25	6	31	44	23	29	69	37	15	32	99	73	1	14	17	14	9	16	26	50	12									
6	Число погашенных избирательных бюллетеней	7343	223	298	74	283	65	33	292	75	155	183	123	161	117	83	394	145	256	48	344	388	99	57	197	117	6	234	269	224	123	726	733	275	100	101	43	229	70									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1166	27	50	37	46	17	10	59	18	17	33	25	23	48	19	69	26	25	6	31	44	23	29	69	37	15	32	99	73	1	14	17	14	9	16	26	50	12									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7046	285	377	49	271	53	47	264	57	188	224	232	196	95	123	437	224	309	86	275	333	158	34	174	86	69	204	232	183	91	460	330	331	121	143	61	156	88									
9	Число недействительных избирательных бюллетеней	85	4	5	0	3	0	0	3	0	1	4	2	2	2	3	4	3	3	2	1	2	2	0	6	0	5	0	1	3	0	8	4	1	2	1	1	1	6									
10	Число действительных избирательных бюллетеней	8127	308	422	86	314	70	57	320	75	204	253	255	217	141	139	502	247	331	90	305	375	179	63	237	123	79	236	330	253	92	466	343	344	128	158	86	205	94									
