Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №1																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	115188	1775	1606	2420	1089	2082	1710	2391	1745	1622	1849	2424	1042	2252	2317	2078	1969	2037	1780	1720	1822	1917	1898	1393	1941	2209	984	1549	1417	2008	1633	2789	2462	2698	2311	1232	2048	1149	1950	2252	2146	1113	1959	2327	1290	2061	1984	2731	1194	2138	1567	1802	1986	2258	2459	1344	2513	2060	1409	2190	1151	1936									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	95800	1500	1500	2000	1000	2000	1500	2000	1500	1500	1500	2000	1000	2000	2000	1500	1500	2000	1500	1500	1500	1500	1500	1000	1500	2000	800	1500	1000	1500	1500	1500	2000	2000	2000	1000	2000	1000	1500	2000	2000	1000	1500	1500	1000	2000	1500	2000	1000	2000	2000	1500	1500	2000	2000	1000	2000	1500	1000	2000	1000	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33537	538	473	685	314	561	477	708	560	454	506	648	276	581	621	536	606	593	485	578	505	606	567	378	451	732	262	467	367	492	489	1300	914	788	660	357	547	383	554	528	598	247	553	1214	384	717	556	718	326	605	608	506	614	623	590	248	717	648	347	470	292	409									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2125	43	13	12	2	39	5	10	8	9	14	213	6	8	8	199	19	11	12	14	8	14	33	11	7	4	7	10	222	16	10	8	13	46	92	7	8	4	4	46	4	0	11	31	530	12	5	12	3	8	8	11	15	9	17	160	9	5	11	6	38	5									
6	Число погашенных избирательных бюллетеней	60138	919	1014	1303	684	1400	1018	1282	932	1037	980	1139	718	1411	1371	765	875	1396	1003	908	987	880	900	611	1042	1264	531	1023	411	992	1001	192	1073	1166	1248	636	1445	613	942	1426	1398	753	936	255	86	1271	939	1270	671	1387	1384	983	871	1368	1393	592	1274	847	642	1524	670	1086									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2121	43	13	12	2	39	5	10	8	9	14	213	6	8	8	199	19	11	12	14	8	14	33	11	7	4	7	10	222	16	10	8	13	46	92	7	8	4	4	46	4	0	11	30	527	12	5	12	3	8	8	11	15	9	17	160	9	5	11	6	38	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33391	538	468	685	314	556	476	703	531	453	506	648	276	572	617	536	605	592	483	564	505	606	567	377	451	724	261	460	360	492	489	1294	909	786	658	357	547	383	554	524	596	247	552	1210	384	717	556	713	322	604	608	503	614	623	585	248	716	648	347	470	292	409									
9	Число недействительных избирательных бюллетеней	840	33	10	14	14	14	15	11	12	12	4	19	3	13	10	20	12	15	9	14	12	16	11	10	5	18	6	23	21	10	12	23	23	23	15	8	26	6	14	6	13	5	17	30	20	6	6	19	5	13	9	16	15	14	21	7	23	17	13	20	5	4									
10	Число действительных избирательных бюллетеней	34672	548	471	683	302	581	466	702	527	450	516	842	279	567	615	715	612	588	486	564	501	604	589	378	453	710	262	447	561	498	487	1279	899	809	735	356	529	381	544	564	587	242	546	1210	891	723	555	706	320	599	607	498	614	618	581	401	702	636	345	456	325	410									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1880	30	30	40	20	30	30	40	30	30	30	30	20	40	40	30	30	30	30	30	30	30	30	30	30	30	20	30	20	30	30	70	40	40	50	30	30	20	30	30	30	20	30	30	20	30	30	40	20	30	40	30	30	40	40	20	30	30	20	30	20	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1063	13	8	19	8	13	14	20	16	21	16	12	6	20	32	21	16	12	14	21	21	9	14	17	24	28	6	21	9	19	12	64	29	27	38	19	18	14	16	18	14	4	18	27	14	16	7	29	10	14	17	8	11	32	35	11	18	12	12	12	6	11									
