Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Усть-Ишимская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9574	99	237	121	615	260	181	218	273	256	189	313	353	144	226	477	217	356	246	274	684	631	655	755	621	104	450	129	208	155	127									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9791	110	242	123	637	266	193	228	273	263	192	320	364	145	236	502	245	365	243	272	687	642	655	750	629	104	458	143	211	155	138									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3912	32	79	69	248	116	66	121	122	102	88	194	167	79	82	174	108	118	112	100	269	242	259	272	253	45	141	53	90	53	58									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	624	3	8	0	32	30	25	12	7	55	10	13	48	3	22	38	30	48	13	20	29	18	27	29	24	6	25	23	16	9	1									
6	Число погашенных избирательных бюллетеней	5255	75	155	54	357	120	102	95	144	106	94	113	149	63	132	290	107	199	118	152	389	382	369	449	352	53	292	67	105	93	79									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	624	3	8	0	32	30	25	12	7	55	10	13	48	3	22	38	30	48	13	20	29	18	27	29	24	6	25	23	16	9	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3912	32	79	69	248	116	66	121	122	102	88	194	167	79	82	174	108	118	112	100	269	242	259	272	253	45	141	53	90	53	58									
9	Число недействительных избирательных бюллетеней	131	5	3	1	8	4	0	2	3	7	4	3	2	2	6	2	1	6	4	2	10	8	9	16	10	1	4	1	1	6	0									
10	Число действительных избирательных бюллетеней	4405	30	84	68	272	142	91	131	126	150	94	204	213	80	98	210	137	160	121	118	288	252	277	285	267	50	162	75	105	56	59									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	315	5	10	5	10	10	10	10	10	10	10	10	10	5	10	20	10	10	10	10	15	15	15	15	15	5	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	136	5	0	0	10	0	9	10	1	10	2	0	10	0	5	19	10	0	0	1	3	6	7	6	7	0	0	7	0	0	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	55	0	1	1	3	0	0	2	2	2	0	1	3	1	0	0	3	2	5	3	2	6	4	6	4	0	1	0	0	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	179	0	10	5	0	10	1	0	9	0	8	10	0	5	5	1	0	10	10	9	12	9	8	9	8	5	10	3	10	10	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	78	2	4	0	8	2	2	1	1	0	1	0	0	2	0	1	17	4	0	0	3	7	7	4	4	0	2	2	0	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	29	0	1	0	1	0	0	3	0	1	0	1	1	0	0	0	1	1	0	1	3	1	3	2	5	0	1	2	0	1	0									
		0.64%	0.00%	1.15%	0.00%	0.36%	0.00%	0.00%	2.26%	0.00%	0.64%	0.00%	0.48%	0.47%	0.00%	0.00%	0.00%	0.72%	0.60%	0.00%	0.83%	1.01%	0.38%	1.05%	0.66%	1.81%	0.00%	0.60%	2.63%	0.00%	1.61%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	245	0	6	8	11	6	7	1	12	7	0	3	8	4	7	16	4	14	12	5	16	22	13	16	14	0	4	6	12	8	3									
		5.40%	0.00%	6.90%	11.59%	3.93%	4.11%	7.69%	0.75%	9.30%	4.46%	0.00%	1.45%	3.72%	4.88%	6.73%	7.55%	2.90%	8.43%	9.60%	4.17%	5.37%	8.46%	4.55%	5.32%	5.05%	0.00%	2.41%	7.89%	11.32%	12.90%	5.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	67	0	2	0	3	0	1	2	2	3	0	3	2	1	1	6	1	3	4	1	2	3	8	3	6	1	4	1	0	1	3									
		1.48%	0.00%	2.30%	0.00%	1.07%	0.00%	1.10%	1.50%	1.55%	1.91%	0.00%	1.45%	0.93%	1.22%	0.96%	2.83%	0.72%	1.81%	3.20%	0.83%	0.67%	1.15%	2.80%	0.99%	2.17%	1.96%	2.41%	1.32%	0.00%	1.61%	5.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1981	21	39	38	141	81	48	82	89	91	48	124	83	40	44	102	58	56	54	44	106	82	110	90	93	34	65	40	38	17	23									
		43.67%	60.00%	44.83%	55.07%	50.36%	55.48%	52.75%	61.65%	68.99%	57.96%	48.98%	59.90%	38.60%	48.78%	42.31%	48.11%	42.03%	33.73%	43.20%	36.67%	35.57%	31.54%	38.46%	29.90%	33.57%	66.67%	39.16%	52.63%	35.85%	27.42%	38.98%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	0	0	0	1	1	1	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	0	0	0									
		0.29%	0.00%	0.00%	0.00%	0.36%	0.68%	1.10%	0.00%	0.78%	0.00%	2.04%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.70%	0.33%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	2	1	0	0	0	0	1	1									
		0.29%	2.86%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.78%	0.64%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.60%	0.00%	0.00%	0.34%	0.38%	0.00%	0.66%	0.36%	0.00%	0.00%	0.00%	0.00%	1.61%	1.69%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	852	3	10	6	49	27	7	20	10	27	16	36	66	17	17	31	40	11	20	27	68	46	51	84	66	3	57	8	14	4	11									
		18.78%	8.57%	11.49%	8.70%	17.50%	18.49%	7.69%	15.04%	7.75%	17.20%	16.33%	17.39%	30.70%	20.73%	16.35%	14.62%	28.99%	6.63%	16.00%	22.50%	22.82%	17.69%	17.83%	27.91%	23.83%	5.88%	34.34%	10.53%	13.21%	6.45%	18.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	5	0	0	0	0	0	0	0									
		0.29%	0.00%	0.00%	0.00%	0.36%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.34%	0.38%	1.05%	1.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	31	1	1	0	2	0	0	0	0	1	0	2	2	0	0	0	0	2	0	0	2	4	2	2	2	0	0	4	3	1	0									
		0.68%	2.86%	1.15%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.97%	0.93%	0.00%	0.00%	0.00%	0.00%	1.20%	0.00%	0.00%	0.67%	1.54%	0.70%	0.66%	0.72%	0.00%	0.00%	5.26%	2.83%	1.61%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	3	1	1	0	0	0	0	0									
		0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.97%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.35%	0.99%	0.36%	1.96%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	3	1	0	2	0	0	1	0	0	1	1	0	2	1	3	2	2	2	1	3	3	2	1	4	0	0	0	1	0	0									
		0.79%	8.57%	1.15%	0.00%	0.71%	0.00%	0.00%	0.75%	0.00%	0.00%	1.02%	0.48%	0.00%	2.44%	0.96%	1.42%	1.45%	1.20%	1.60%	0.83%	1.01%	1.15%	0.70%	0.33%	1.44%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	986	1	20	15	51	27	14	18	10	18	26	28	42	15	25	46	29	66	25	35	78	82	71	64	61	8	28	12	32	22	17									
		21.74%	2.86%	22.99%	21.74%	18.21%	18.49%	15.38%	13.53%	7.75%	11.46%	26.53%	13.53%	19.53%	18.29%	24.04%	21.70%	21.01%	39.76%	20.00%	29.17%	26.17%	31.54%	24.83%	21.26%	22.02%	15.69%	16.87%	15.79%	30.19%	35.48%	28.81%									
