Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Тазовская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14873	1437	822	2086	776	1245	865	1519	1925	2378	1820									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18900	1400	750	2800	750	1200	2650	1500	2050	2700	3100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	5166	0	0	622	0	0	611	800	1401	891	841									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7721	1017	654	1208	525	869	237	590	501	1244	876									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	52	8	14	5	0	19	0	4	0	2	0									
6	Число погашенных избирательных бюллетеней	5961	375	82	965	225	312	1802	106	148	563	1383									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5218	8	14	627	0	19	611	804	1401	893	841									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7711	1015	654	1208	523	869	237	590	501	1238	876									
9	Число недействительных избирательных бюллетеней	213	14	3	15	3	36	46	17	16	34	29									
10	Число действительных избирательных бюллетеней	12716	1009	665	1820	520	852	802	1377	1886	2097	1688									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	360	60	30	60	30	55	40	50	35	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	213	36	6	51	16	34	38	13	19	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	295	37	28	24	10	15	7	3	1	19	151									
14	Число погашенных неиспользованных открепительных удостоверений	147	24	24	9	14	21	2	37	16	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	155	36	17	33	18	15	15	8	13	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	89	4	3	6	6	4	3	18	19	16	10									
		0.69%	0.39%	0.45%	0.33%	1.15%	0.45%	0.35%	1.29%	0.99%	0.75%	0.58%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	117	2	4	4	2	6	22	21	24	14	18									
		0.90%	0.20%	0.60%	0.22%	0.38%	0.68%	2.59%	1.51%	1.26%	0.66%	1.05%									
