Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Луховицкая																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324					
1	"Число избирателей, внесенных в список избирателей"	51295	1026	305	1388	1633	1610	1582	601	1207	987	1497	1335	1403	1710	1400	1469	1488	1789	1652	1177	1130	1121	1184	472	964	894	871	784	482	1314	529	875	631	250	1050	655	178	653	567	1042	515	659	380	280	661	581	233	356	175	389	553	1337	1435	337	1712	787					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	48107	942	279	1292	1530	1462	1401	561	1140	930	1426	1262	1336	1635	1314	1387	1374	1697	1569	1115	1065	1070	1113	447	902	836	831	747	447	1246	502	839	594	195	1006	602	163	630	525	998	481	635	343	242	622	543	220	341	163	357	522	1228	1345	310	1600	745					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27291	502	172	795	911	858	745	290	627	569	825	659	655	927	715	787	876	1015	925	626	641	721	645	224	463	421	430	555	216	583	232	474	344	125	612	347	63	310	260	599	239	416	215	176	366	250	114	147	86	169	278	772	880	169	911	359					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2230	42	14	29	16	27	23	18	25	9	18	5	44	12	17	14	7	12	22	25	22	6	77	51	59	50	68	2	48	120	76	83	43	33	53	73	42	47	72	52	42	15	73	24	55	92	20	68	14	43	37	48	23	56	122	42					
6	Число погашенных избирательных бюллетеней	18584	398	93	468	602	577	633	253	488	352	583	598	637	696	582	586	491	670	622	464	402	343	391	172	380	364	333	190	183	543	194	282	207	37	341	182	58	273	193	347	200	204	55	42	201	201	86	126	63	145	207	408	442	85	567	344					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2230	42	14	29	16	27	23	18	25	9	18	5	44	12	17	14	7	12	22	25	22	6	77	51	59	50	68	2	48	120	76	83	43	33	53	73	42	47	72	52	42	15	73	24	55	92	20	68	14	43	37	48	23	56	122	42					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27278	501	172	795	911	858	745	290	627	568	825	657	655	927	715	785	875	1015	925	626	641	719	645	224	463	420	430	553	216	583	232	474	344	125	611	347	63	310	260	599	239	416	215	176	366	250	114	147	86	169	278	772	880	169	911	359					
9	Число недействительных избирательных бюллетеней	935	14	5	29	17	24	28	15	14	14	43	22	14	19	23	30	26	33	21	14	21	22	29	9	26	17	10	11	6	21	12	16	15	6	21	14	0	4	9	31	16	15	14	5	19	5	5	6	6	1	8	24	39	10	41	16					
10	Число действительных избирательных бюллетеней	28573	529	181	795	910	861	740	293	638	563	800	640	685	920	709	769	856	994	926	637	642	703	693	266	496	453	488	544	258	682	296	541	372	152	643	406	105	353	323	620	265	416	274	195	402	337	129	209	94	211	307	796	864	215	992	385					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1088	20	10	25	30	20	20	15	20	15	25	20	20	25	20	20	20	30	25	20	20	37	20	5	15	20	15	15	10	20	25	25	20	10	27	25	10	15	35	40	10	30	17	10	17	20	6	24	10	10	15	20	20	10	40	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	933	11	7	25	30	11	11	5	16	11	22	20	20	25	13	11	18	25	21	14	11	37	15	4	11	19	13	15	6	16	22	25	20	6	27	25	8	15	35	40	7	30	16	4	17	20	6	24	3	9	8	20	13	10	40	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	550	23	11	10	15	19	27	4	15	3	8	6	6	5	22	8	14	6	9	8	4	6	12	7	11	3	7	4	10	10	12	1	7	38	13	26	5	3	17	3	6	2	13	6	12	11	1	1	3	9	3	8	10	10	31	6					
14	Число погашенных неиспользованных открепительных удостоверений	155	9	3	0	0	9	9	10	4	4	3	0	0	0	7	9	2	5	4	6	9	0	5	1	4	1	2	0	4	4	3	0	0	4	0	0	2	0	0	0	3	0	1	6	0	0	0	0	7	1	7	0	7	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	1	0	0	1	1	0	0	0	2	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4668	72	22	92	180	166	110	59	124	96	153	109	120	161	138	141	151	182	178	138	103	93	129	42	112	84	83	56	31	96	39	90	50	41	82	53	13	44	33	71	33	55	30	35	54	77	19	13	17	25	53	96	118	44	189	73					
		15.82%	13.26%	11.83%	11.17%	19.42%	18.76%	14.32%	19.16%	19.02%	16.64%	18.15%	16.47%	17.17%	17.15%	18.85%	17.65%	17.12%	17.72%	18.80%	21.20%	15.54%	12.83%	17.87%	15.27%	21.46%	17.87%	16.67%	10.09%	11.74%	13.66%	12.66%	16.16%	12.92%	25.95%	12.35%	12.62%	12.38%	12.32%	9.94%	10.91%	11.74%	12.76%	10.42%	17.50%	12.83%	22.51%	14.18%	6.05%	17.00%	11.79%	16.83%	11.71%	13.07%	19.56%	18.30%	18.20%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4341	71	36	208	132	127	127	48	75	74	120	94	95	115	120	99	103	145	132	80	84	158	90	35	64	64	62	166	31	126	47	94	64	18	119	68	15	53	61	88	28	49	43	23	57	40	22	26	15	30	50	119	135	15	137	44					
		14.71%	13.08%	19.35%	25.24%	14.24%	14.35%	16.54%	15.58%	11.50%	12.82%	14.23%	14.20%	13.59%	12.25%	16.39%	12.39%	11.68%	14.12%	13.94%	12.29%	12.67%	21.79%	12.47%	12.73%	12.26%	13.62%	12.45%	29.91%	11.74%	17.92%	15.26%	16.88%	16.54%	11.39%	17.92%	16.19%	14.29%	14.85%	18.37%	13.52%	9.96%	11.37%	14.93%	11.50%	13.54%	11.70%	16.42%	12.09%	15.00%	14.15%	15.87%	14.51%	14.95%	6.67%	13.26%	10.97%					
