Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Луховицкая																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289					
1	"Число избирателей, внесенных в списки избирателей"	51560	1339	254	1485	1420	1415	1647	587	1316	944	1561	1411	1488	1758	1442	1558	1492	1693	1809	1126	1164	1129	1190	667	989	886	918	748	305	1310	530	857	251	601	1027	624	182	613	558	1013	560	554	386	229	671	566	240	335	187	402	551	1312	1460	327	1721	752					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	49053	1196	299	1184	1347	1355	1378	543	1261	917	1496	1350	1421	1683	1356	1491	1417	1625	1752	1058	1119	1090	1138	611	930	831	801	712	293	1265	501	856	289	620	1010	599	181	609	558	1003	555	561	358	223	655	556	238	346	180	378	528	1237	1393	317	1661	722					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	32684	816	233	1031	876	831	1001	310	826	621	1014	863	884	1094	875	984	990	1078	1130	674	777	725	760	355	555	623	534	566	178	856	280	592	180	485	827	394	90	381	336	668	318	407	208	162	444	298	143	173	133	211	379	878	944	202	1060	431					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3432	70	21	46	30	47	80	101	18	19	26	21	41	16	45	29	15	74	45	32	41	15	104	123	130	75	108	0	36	187	133	113	55	35	22	112	63	61	101	79	84	15	149	42	75	123	29	71	7	50	50	45	25	65	143	90					
6	Число погашенных избирательных бюллетеней	12937	310	45	107	441	477	297	132	417	277	456	466	496	573	436	478	412	473	577	352	301	350	274	133	245	133	159	146	79	222	88	151	54	100	161	93	28	167	121	256	153	139	1	19	136	135	66	102	40	117	99	314	424	50	458	201					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3431	70	21	46	30	47	80	100	18	19	26	21	41	16	45	29	15	74	45	32	41	15	104	123	130	75	108	0	36	187	133	113	55	35	22	112	63	61	101	79	84	15	149	42	75	123	29	71	7	50	50	45	25	65	143	90					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32672	816	233	1030	876	831	1001	310	825	621	1014	863	882	1094	875	983	990	1078	1130	674	777	725	760	354	555	623	534	566	178	856	280	592	180	485	827	394	90	381	335	668	318	407	208	162	444	297	143	173	133	211	379	874	944	202	1060	431					
9	Число недействительных избирательных бюллетеней	617	10	5	12	17	18	21	2	16	10	23	21	12	13	12	13	11	19	21	4	4	19	12	12	52	9	11	41	2	12	6	9	0	2	7	4	1	8	2	8	4	3	6	0	11	2	3	9	3	7	6	13	22	3	37	7					
10	Число действительных избирательных бюллетеней	35486	876	249	1064	889	860	1060	408	827	630	1017	863	911	1097	908	999	994	1133	1154	702	814	721	852	465	633	689	631	525	212	1031	407	696	235	518	842	502	152	434	434	739	398	419	351	204	508	418	169	235	137	254	423	906	947	264	1166	514					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1362	20	10	28	34	37	11	8	15	25	25	22	22	25	22	25	19	26	31	17	17	27	27	22	18	18	17	27	17	27	22	37	32	49	42	29	12	34	32	48	22	43	12	17	26	33	17	23	8	12	10	27	27	22	59	28					
