Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Чернышковская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13301	951	1057	956	757	859	139	431	656	577	201	162	417	348	791	786	208	564	819	386	1008	244	385	226	373									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12880	900	1000	900	700	800	130	420	670	570	200	150	420	350	790	780	200	560	820	380	900	240	400	220	380									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5209	397	406	420	258	276	59	213	259	246	42	64	168	195	294	363	37	201	312	121	380	83	179	115	121									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	978	17	35	24	18	40	4	15	23	35	39	25	46	23	64	49	63	21	53	53	65	32	43	8	183									
6	Число погашенных избирательных бюллетеней	6693	486	559	456	424	484	67	192	388	289	119	61	206	132	432	368	100	338	455	206	455	125	178	97	76									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	978	17	35	24	18	40	4	15	23	35	39	25	46	23	64	49	63	21	53	53	65	32	43	8	183									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5208	397	406	419	258	276	59	213	259	246	42	64	168	195	294	363	37	201	312	121	380	83	179	115	121									
9	Число недействительных избирательных бюллетеней	86	8	8	5	4	5	1	2	0	5	0	1	8	0	4	6	2	4	6	3	4	4	2	0	4									
10	Число действительных избирательных бюллетеней	6100	406	433	438	272	311	62	226	282	276	81	88	206	218	354	406	98	218	359	171	441	111	220	123	300									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	16	16	16	16	16	5	5	10	10	2	2	6	6	10	10	2	6	10	5	10	5	6	4	6									
