Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Новокузнецкая 																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12885	1346	846	256	312	845	99	286	187	431	419	721	413	1241	170	575	549	327	233	324	102	199	353	151	556	1035	408	284	217									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12900	1410	830	265	285	880	100	280	180	425	430	720	420	1280	175	550	560	310	230	315	100	195	365	140	555	1010	390	280	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11403	1269	791	242	274	777	97	212	161	401	350	609	344	1149	123	505	498	282	144	306	96	141	307	100	520	943	318	248	196									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	853	46	35	6	11	59	2	55	13	21	22	66	13	30	10	24	23	26	86	8	4	50	29	40	30	63	50	22	9									
6	Число погашенных избирательных бюллетеней	644	95	4	17	0	44	1	13	6	3	58	45	63	101	42	21	39	2	0	1	0	4	29	0	5	4	22	10	15									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	853	46	35	6	11	59	2	55	13	21	22	66	13	30	10	24	23	26	86	8	4	50	29	40	30	63	50	22	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11403	1269	791	242	274	777	97	212	161	401	350	609	344	1149	123	505	498	282	144	306	96	141	307	100	520	943	318	248	196									
9	Число недействительных избирательных бюллетеней	101	0	3	0	1	0	0	1	1	4	8	13	0	23	1	3	2	2	0	2	0	9	0	1	10	3	4	0	10									
10	Число действительных избирательных бюллетеней	12155	1315	823	248	284	836	99	266	173	418	364	662	357	1156	132	526	519	306	230	312	100	182	336	139	540	1003	364	270	195									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	796	87	51	17	18	54	6	17	11	26	27	45	26	79	11	34	33	20	14	20	6	12	23	9	33	62	23	18	14									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	391	54	5	17	2	54	6	9	0	8	24	22	21	72	9	8	17	4	3	0	2	0	23	0	2	13	1	1	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	143	10	6	0	12	4	3	6	4	7	6	4	4	5	3	11	3	10	0	3	2	3	3	7	0	15	11	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	405	33	46	0	16	0	0	8	11	18	3	23	5	7	2	26	16	16	11	20	4	12	0	9	31	49	22	17	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	51	0	4	2	3	1	0	0	1	0	2	0	4	9	1	0	0	5	2	0	0	0	3	1	3	2	4	1	3									
		0.42%	0.00%	0.48%	0.81%	1.05%	0.12%	0.00%	0.00%	0.57%	0.00%	0.54%	0.00%	1.12%	0.76%	0.75%	0.00%	0.00%	1.62%	0.87%	0.00%	0.00%	0.00%	0.89%	0.71%	0.55%	0.20%	1.09%	0.37%	1.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	120	0	12	0	3	6	1	3	2	2	8	0	7	22	3	0	7	2	5	0	0	2	4	2	0	2	13	7	7									
