Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																															
																																																																															
Наименование Избирательной комиссии:    Любинская																																																																															
																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																															
																																																																															
		Сумма	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426					
1	"Число избирателей, внесенных в списки"	28968	1166	85	110	63	217	445	82	129	65	587	112	148	47	70	454	94	121	111	102	520	140	135	110	179	516	342	243	964	187	231	1448	1268	1187	440	1033	1205	901	999	1105	582	644	536	737	230	743	197	283	912	212	470	175	126	409	122	96	340	161	190	1136	202	519	115	481	151	146	775	101	114	131	313	108	150					
2	"Число бюллетеней, полученных участковыми комиссиями"	28403	1100	85	110	60	215	450	85	120	65	580	110	150	47	70	450	95	120	110	100	510	130	140	110	160	500	330	230	950	190	230	1400	1250	1200	433	1000	1200	850	950	1090	580	640	500	600	230	740	215	300	905	215	455	183	125	429	122	98	340	155	188	1140	200	520	100	470	145	140	790	105	114	129	305	105	145					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20783	702	78	101	60	213	327	78	120	65	438	77	134	43	64	335	90	116	106	100	404	109	116	88	153	415	263	214	629	174	193	1066	926	772	281	686	724	486	682	693	320	344	268	410	143	554	165	191	713	173	326	140	120	332	110	90	258	154	188	809	175	418	95	346	135	124	567	69	114	111	271	100	129					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1509	74	6	2	0	2	30	1	0	0	15	0	0	2	0	16	0	0	0	0	6	3	0	0	7	27	14	0	66	11	26	37	38	41	48	89	65	56	38	59	34	46	29	81	37	22	10	21	30	10	78	7	0	69	12	6	19	0	0	40	0	32	5	32	1	5	56	28	0	10	10	0	0					
6	Число погашенных бюллетеней	6111	324	1	7	0	0	93	6	0	0	127	33	16	2	6	99	5	4	4	0	100	18	24	22	0	58	53	16	255	5	11	297	286	387	104	225	411	308	230	338	226	250	203	109	50	164	40	88	162	32	51	36	5	28	0	2	63	1	0	291	25	70	0	92	9	11	167	8	0	8	24	5	16					
7	Число бюллетеней в переносных ящиках для голосования	1509	74	6	2	0	2	30	1	0	0	15	0	0	2	0	16	0	0	0	0	6	3	0	0	7	27	14	0	66	11	26	37	38	41	48	89	65	56	38	59	34	46	29	81	37	22	10	21	30	10	78	7	0	69	12	6	19	0	0	40	0	32	5	32	1	5	56	28	0	10	10	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	20774	702	78	101	60	213	327	78	120	65	438	77	134	43	64	335	90	116	106	100	404	109	116	88	153	415	263	214	629	174	193	1057	926	772	281	686	724	486	682	693	320	344	268	410	143	554	165	191	713	173	326	140	120	332	110	90	258	154	188	809	175	418	95	346	135	124	567	69	114	111	271	100	129					
9	Число недействительных бюллетеней	544	6	0	0	0	0	2	1	0	0	22	9	1	0	0	18	2	1	0	0	1	0	1	0	1	1	4	2	13	5	2	15	30	6	14	15	11	3	13	4	5	8	10	9	1	14	2	0	16	1	11	1	6	2	1	2	2	0	3	87	0	15	3	11	2	7	111	0	0	0	11	0	0					
10	Число действительных бюллетеней	21739	770	84	103	60	215	355	78	120	65	431	68	133	45	64	333	88	115	106	100	409	112	115	88	159	441	273	212	682	180	217	1079	934	807	315	760	778	539	707	748	349	382	287	482	179	562	173	212	727	182	393	146	114	399	121	94	275	154	185	762	175	435	97	367	134	122	512	97	114	121	270	100	129					
