Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Троицкая городская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347					
1	"Число избирателей, внесенных в список избирателей"	59209	1987	684	1305	1248	2162	2289	1323	1270	1043	2245	193	1946	2411	1422	667	2076	2618	1335	1380	2688	1702	1038	1171	1632	1209	1369	2325	2380	1491	775	691	2255	2427	1257	2411	1220	847	717					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57200	2000	700	1200	1200	2000	2000	1300	1200	1000	2200	200	2000	2400	1400	650	2000	2500	1300	1400	2500	1500	1000	1000	1500	1200	1300	2300	2400	1500	750	650	2200	2400	1200	2400	1200	800	750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	31232	1227	468	757	629	1264	1282	576	559	404	985	109	1081	1264	667	357	1044	1771	578	535	1202	603	485	549	816	734	624	1037	1276	793	291	381	1263	1289	729	1958	722	442	481					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2931	68	9	153	51	147	80	40	74	53	196	27	79	102	54	15	97	77	127	95	86	135	51	57	30	90	134	78	77	53	72	75	147	109	27	71	23	34	38					
6	Число погашенных избирательных бюллетеней	23037	705	223	290	520	589	638	684	567	543	1019	64	840	1034	679	278	859	652	595	770	1212	762	464	394	654	376	542	1185	1047	654	387	194	790	1002	444	371	455	324	231					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2931	68	9	153	51	147	80	40	74	53	196	27	79	102	54	15	97	77	127	95	86	135	51	57	30	90	134	78	77	53	72	75	147	109	27	71	23	34	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31225	1227	468	757	629	1264	1282	576	559	404	983	109	1081	1262	667	357	1044	1771	578	535	1202	603	485	549	816	734	624	1035	1276	793	291	381	1263	1289	729	1958	722	441	481					
9	Число недействительных избирательных бюллетеней	709	24	4	18	33	34	17	9	12	10	18	4	62	22	13	7	10	31	42	6	26	19	9	3	12	11	11	24	37	10	2	39	15	27	10	12	15	44	7					
10	Число действительных избирательных бюллетеней	33447	1271	473	892	647	1377	1345	607	621	447	1161	132	1098	1342	708	365	1131	1817	663	624	1262	719	527	603	834	813	747	1089	1316	836	361	417	1395	1371	746	2017	730	431	512					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	788	30	20	40	22	33	29	15	21	15	32	9	30	28	15	13	31	35	12	25	15	12	10	14	10	20	12	30	18	15	11	7	25	45	10	40	11	15	13					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	765	30	18	40	19	30	29	15	21	15	32	9	30	26	13	13	31	35	12	25	15	12	10	14	8	20	12	30	14	15	11	7	25	40	10	40	11	15	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	354	10	5	6	8	19	6	4	1	1	10	23	8	24	8	7	11	7	23	1	17	12	14	8	7	7	5	7	6	1	5	22	10	15	3	16	4	7	6					
14	Число погашенных неиспользованных открепительных удостоверений	23	0	2	0	3	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	5	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	61	4	4	1	1	2	4	1	2	0	4	0	0	1	1	0	1	0	2	1	2	2	1	0	1	0	1	3	5	0	0	0	5	1	1	5	4	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5763	233	111	160	161	339	306	85	97	59	187	22	253	271	147	80	247	206	67	98	157	98	61	105	130	99	124	203	172	138	49	49	259	310	124	257	148	49	102					
		16.87%	17.99%	23.27%	17.58%	23.68%	24.03%	22.47%	13.80%	15.32%	12.91%	15.86%	16.18%	21.81%	19.87%	20.39%	21.51%	21.65%	11.15%	9.50%	15.56%	12.19%	13.28%	11.38%	17.33%	15.37%	12.01%	16.36%	18.24%	12.71%	16.31%	13.50%	10.75%	18.37%	22.17%	16.40%	12.67%	19.87%	10.32%	19.65%					
