Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Троицкая городская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №2219					
1	"Число избирателей, внесенных в списки избирателей"	60765	1719	921	1075	1455	2251	2348	1498	1268	2295	205	1913	2879	1479	733	2288	2619	1328	1328	2586	1519	1010	1157	1622	1221	1311	2189	2335	1558	757	674	2350	2479	1325	2575	1401	838	834	1422					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	59600	1750	700	1050	1450	2150	2350	1500	1300	2250	200	1900	2700	1450	700	2250	2600	1300	1300	2600	1600	950	1150	1600	1200	1300	2200	2300	1550	750	650	2200	2400	1300	2550	1400	800	850	1350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	30621	979	488	659	766	1305	1150	726	522	1042	129	938	1539	733	437	1296	1315	536	555	1309	594	457	523	790	731	533	1018	1057	771	250	364	1322	1385	672	1287	767	454	572	650					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2588	68	120	17	56	142	105	69	32	93	9	63	90	57	28	65	64	75	105	143	150	20	28	24	34	26	93	35	69	113	62	197	76	33	82	21	30	40	54					
6	Число погашенных избирательных бюллетеней	26390	703	92	374	628	703	1095	705	746	1115	62	899	1071	659	235	889	1221	689	640	1148	856	473	599	786	435	741	1089	1208	710	387	224	681	939	595	1181	612	316	238	646					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2588	68	120	17	56	142	105	69	32	93	9	63	90	57	28	65	64	75	105	143	150	20	28	24	34	26	93	35	69	113	62	197	76	33	82	21	30	40	54					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30618	979	488	659	766	1305	1150	726	522	1042	129	938	1539	733	437	1296	1315	536	555	1309	594	457	522	790	731	533	1018	1057	771	250	364	1322	1385	672	1287	767	454	572	648					
9	Число недействительных избирательных бюллетеней	486	17	10	16	9	11	20	14	52	16	3	8	17	15	6	10	13	4	1	13	6	8	5	13	9	14	11	12	6	3	6	21	26	9	11	7	3	4	57					
10	Число действительных избирательных бюллетеней	32720	1030	598	660	813	1436	1235	781	502	1119	135	993	1612	775	459	1351	1366	607	659	1439	738	469	545	801	756	545	1100	1080	834	360	420	1498	1435	696	1358	781	481	608	645					
