Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Маловишерская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14313	266	131	179	136	714	135	308	145	198	1194	844	1094	1345	2224	1026	761	2053	100	223	744	493									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14050	250	125	200	150	700	125	300	150	150	1200	800	1100	1300	2200	1000	750	2050	100	200	750	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4348	156	57	83	63	198	55	87	45	83	262	234	259	325	751	318	205	633	21	71	305	137									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	609	45	28	28	29	58	35	68	36	21	24	11	16	14	14	26	26	30	12	15	33	40									
6	Число погашенных избирательных бюллетеней	9093	49	40	89	58	444	35	145	69	46	914	555	825	961	1435	656	519	1387	67	114	412	273									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	609	45	28	28	29	58	35	68	36	21	24	11	16	14	14	26	26	30	12	15	33	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4346	156	57	83	63	198	55	87	45	83	262	234	259	324	751	317	205	633	21	71	305	137									
9	Число недействительных избирательных бюллетеней	144	0	1	2	5	6	0	3	2	6	9	7	9	9	22	4	8	25	2	4	14	6									
10	Число действительных избирательных бюллетеней	4811	201	84	109	87	250	90	152	79	98	277	238	266	329	743	339	223	638	31	82	324	171									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	455	45	30	30	40	30	10	15	15	20	15	10	15	15	40	15	10	40	10	30	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	213	25	18	6	31	14	9	3	15	6	11	2	10	4	21	2	1	15	0	10	9	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	132	9	5	8	12	5	2	6	2	16	4	7	10	5	6	12	0	9	0	3	2	9									
14	Число погашенных неиспользованных открепительных удостоверений	242	20	12	24	9	16	1	12	0	14	4	8	5	11	19	13	9	25	10	20	1	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	5	0	1	0	5	0	0	0	0	2	2	4	5	4	2	1	8	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	57	2	1	0	2	4	4	1	5	2	4	1	2	6	10	0	5	1	0	0	3	4									
		1.15%	0.99%	1.18%	0.00%	2.17%	1.56%	4.44%	0.65%	6.17%	1.92%	1.40%	0.41%	0.73%	1.78%	1.31%	0.00%	2.16%	0.15%	0.00%	0.00%	0.89%	2.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	93	4	3	3	2	4	2	4	3	2	14	2	1	5	19	2	3	11	2	0	4	3									
		1.88%	1.99%	3.53%	2.70%	2.17%	1.56%	2.22%	2.58%	3.70%	1.92%	4.90%	0.82%	0.36%	1.48%	2.48%	0.58%	1.30%	1.66%	6.06%	0.00%	1.18%	1.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	136	4	0	4	0	12	0	5	5	4	9	2	3	6	28	9	3	26	1	3	8	4									
		2.74%	1.99%	0.00%	3.60%	0.00%	4.69%	0.00%	3.23%	6.17%	3.85%	3.15%	0.82%	1.09%	1.78%	3.66%	2.62%	1.30%	3.92%	3.03%	3.49%	2.37%	2.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2269	135	40	60	39	125	46	78	43	48	120	139	118	140	307	159	86	280	15	46	166	79									
		45.79%	67.16%	47.06%	54.05%	42.39%	48.83%	51.11%	50.32%	53.09%	46.15%	41.96%	56.73%	42.91%	41.42%	40.13%	46.36%	37.23%	42.23%	45.45%	53.49%	49.11%	44.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	30	0	0	1	1	4	2	0	0	2	1	0	0	1	2	1	11	3	0	0	0	1									
		0.61%	0.00%	0.00%	0.90%	1.09%	1.56%	2.22%	0.00%	0.00%	1.92%	0.35%	0.00%	0.00%	0.30%	0.26%	0.29%	4.76%	0.45%	0.00%	0.00%	0.00%	0.56%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	1	0	1	0	3	1	1	0	0	0	0	0	1	4	0	5	2	0	0	2	0									
		0.42%	0.50%	0.00%	0.90%	0.00%	1.17%	1.11%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.52%	0.00%	2.16%	0.30%	0.00%	0.00%	0.59%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	923	36	21	20	19	53	9	34	12	18	63	42	61	78	126	66	52	91	11	15	60	36									
		18.63%	17.91%	24.71%	18.02%	20.65%	20.70%	10.00%	21.94%	14.81%	17.31%	22.03%	17.14%	22.18%	23.08%	16.47%	19.24%	22.51%	13.73%	33.33%	17.44%	17.75%	20.34%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	31	1	0	0	0	2	3	1	0	2	2	1	2	2	6	4	1	3	0	0	1	0									
		0.63%	0.50%	0.00%	0.00%	0.00%	0.78%	3.33%	0.65%	0.00%	1.92%	0.70%	0.41%	0.73%	0.59%	0.78%	1.17%	0.43%	0.45%	0.00%	0.00%	0.30%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	91	1	1	0	1	7	3	0	2	0	8	1	3	5	26	5	3	17	0	2	5	1									
		1.84%	0.50%	1.18%	0.00%	1.09%	2.73%	3.33%	0.00%	2.47%	0.00%	2.80%	0.41%	1.09%	1.48%	3.40%	1.46%	1.30%	2.56%	0.00%	2.33%	1.48%	0.56%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	2	1	0	0	1	0									
		0.20%	0.50%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	1.23%	0.00%	0.35%	0.00%	0.00%	0.30%	0.13%	0.00%	0.87%	0.15%	0.00%	0.00%	0.30%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	100	2	0	1	0	5	6	3	0	1	6	4	4	4	28	6	8	14	0	0	3	5									
		2.02%	0.99%	0.00%	0.90%	0.00%	1.95%	6.67%	1.94%	0.00%	0.96%	2.10%	1.63%	1.45%	1.18%	3.66%	1.75%	3.46%	2.11%	0.00%	0.00%	0.89%	2.82%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	613	6	14	12	13	14	8	15	4	10	29	26	44	53	108	46	26	109	0	13	41	22									
		12.37%	2.99%	16.47%	10.81%	14.13%	5.47%	8.89%	9.68%	4.94%	9.62%	10.14%	10.61%	16.00%	15.68%	14.12%	13.41%	11.26%	16.44%	0.00%	15.12%	12.13%	12.43%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	0	1	0	1	0	0	0	0	0	1	1	1	2	3	2	6	3	0	1	1	0									
		0.46%	0.00%	1.18%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.41%	0.36%	0.59%	0.39%	0.58%	2.60%	0.45%	0.00%	1.16%	0.30%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	414	8	3	7	9	16	6	10	4	9	19	19	27	25	75	39	12	77	2	2	29	16									
		8.36%	3.98%	3.53%	6.31%	9.78%	6.25%	6.67%	6.45%	4.94%	8.65%	6.64%	7.76%	9.82%	7.40%	9.80%	11.37%	5.19%	11.61%	6.06%	2.33%	8.58%	9.04%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
