Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Частоозерская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4599	799	1008	491	169	45	192	239	333	86	55	285	40	326	76	60	254	35	106									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4700	800	1000	450	150	50	200	250	350	90	60	300	40	350	80	60	300	40	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2927	462	650	284	115	35	132	156	217	71	37	169	25	214	56	29	182	32	61									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	344	52	35	28	6	1	36	22	27	0	6	18	2	31	5	14	38	2	21									
6	Число погашенных избирательных бюллетеней	1429	286	315	138	29	14	32	72	106	19	17	113	13	105	19	17	80	6	48									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	344	52	35	28	6	1	36	22	27	0	6	18	2	31	5	14	38	2	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2927	462	650	284	115	35	132	156	217	71	37	169	25	214	56	29	182	32	61									
9	Число недействительных избирательных бюллетеней	58	15	14	6	5	0	1	6	2	1	0	0	0	4	0	0	4	0	0									
10	Число действительных избирательных бюллетеней	3213	499	671	306	116	36	167	172	242	70	43	187	27	241	61	43	216	34	82									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	328	30	38	20	5	5	20	25	20	15	5	15	3	42	10	10	40	5	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	291	30	38	20	5	5	20	12	20	3	5	15	3	42	10	0	40	3	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	3	16	7	4	2	3	2	6	1	2	2	2	11	2	1	3	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	37	0	0	0	0	0	0	13	0	12	0	0	0	0	0	10	0	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	9	9	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	29	3	3	3	2	0	5	2	4	0	0	2	0	2	0	0	3	0	0									
		0.89%	0.58%	0.44%	0.96%	1.65%	0.00%	2.98%	1.12%	1.64%	0.00%	0.00%	1.07%	0.00%	0.82%	0.00%	0.00%	1.36%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	121	20	18	8	3	0	15	7	12	2	1	8	1	13	1	1	11	0	0									
		3.70%	3.89%	2.63%	2.56%	2.48%	0.00%	8.93%	3.93%	4.92%	2.82%	2.33%	4.28%	3.70%	5.31%	1.64%	2.33%	5.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	25	4	0	3	0	1	3	0	2	0	0	4	0	2	1	0	0	0	5									
		0.76%	0.78%	0.00%	0.96%	0.00%	2.78%	1.79%	0.00%	0.82%	0.00%	0.00%	2.14%	0.00%	0.82%	1.64%	0.00%	0.00%	0.00%	6.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1848	291	386	199	80	21	84	95	136	54	24	86	15	129	36	31	119	23	39									
		56.50%	56.61%	56.35%	63.78%	66.12%	58.33%	50.00%	53.37%	55.74%	76.06%	55.81%	45.99%	55.56%	52.65%	59.02%	72.09%	54.09%	67.65%	47.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	1	0	2	0	0	0	0	0	0	0	1	0	3	0	0	3	0	0									
		0.31%	0.19%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	1.22%	0.00%	0.00%	1.36%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0									
		0.18%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	509	73	114	42	20	5	32	30	35	7	11	36	2	38	8	5	31	5	15									
		15.56%	14.20%	16.64%	13.46%	16.53%	13.89%	19.05%	16.85%	14.34%	9.86%	25.58%	19.25%	7.41%	15.51%	13.11%	11.63%	14.09%	14.71%	18.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	0	1	4	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0									
		0.31%	0.00%	0.15%	1.28%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	7.41%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	11	1	4	0	0	0	0	2	1	0	1	0	0	2	0	0	0	0	0									
		0.34%	0.19%	0.58%	0.00%	0.00%	0.00%	0.00%	1.12%	0.41%	0.00%	2.33%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0									
		0.12%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	8	1	1	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1									
		0.24%	0.19%	0.15%	0.64%	0.00%	0.00%	0.60%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	1.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	333	46	65	22	4	4	17	18	28	3	2	37	4	31	12	4	22	3	11									
		10.18%	8.95%	9.49%	7.05%	3.31%	11.11%	10.12%	10.11%	11.48%	4.23%	4.65%	19.79%	14.81%	12.65%	19.67%	9.30%	10.00%	8.82%	13.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0									
		0.15%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	2.33%	0.45%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	294	57	76	21	7	5	10	14	23	4	4	12	3	14	3	1	26	3	11									
		8.99%	11.09%	11.09%	6.73%	5.79%	13.89%	5.95%	7.87%	9.43%	5.63%	9.30%	6.42%	11.11%	5.71%	4.92%	2.33%	11.82%	8.82%	13.41%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
