Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Дубовская 																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  698	УИК  699	УИК  700	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731					
1	"Число избирателей, внесенных в списки"	22546	1370	1564	1209	1257	899	933	1028	1010	1588	678	854	164	180	802	670	559	504	126	750	320	716	214	1014	795	126	103	68	512	513	50	296	1088	505	81					
2	"Число бюллетеней, полученных участковыми комиссиями"	20506	1330	1400	1100	1150	741	800	900	900	1400	550	770	170	175	700	610	600	460	127	680	290	670	213	930	700	127	120	65	470	500	83	270	950	470	85					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12123	708	640	632	574	428	459	468	474	803	351	373	102	106	414	464	360	343	86	497	245	394	130	583	366	118	95	53	352	294	50	201	564	336	60					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	630	29	24	18	49	74	12	18	19	19	9	12	6	21	30	24	29	21	4	25	15	17	4	23	37	1	0	6	11	20	0	19	19	14	1					
6	Число погашенных бюллетеней	7753	593	736	450	527	239	329	414	407	578	190	385	62	48	256	122	211	96	37	158	30	259	79	324	297	8	25	6	107	186	33	50	367	120	24					
7	Число бюллетеней в переносных ящиках для голосования	630	29	24	18	49	74	12	18	19	19	9	12	6	21	30	24	29	21	4	25	15	17	4	23	37	1	0	6	11	20	0	19	19	14	1					
8	Число бюллетеней в стационарных ящиках для голосования	12123	708	640	632	574	428	459	468	474	803	351	373	102	106	414	464	360	343	86	497	245	394	130	583	366	118	95	53	352	294	50	201	564	336	60					
9	Число недействительных бюллетеней	298	12	8	20	10	8	6	6	11	20	6	9	9	12	9	5	17	22	6	12	16	6	9	7	13	0	0	1	2	4	1	4	18	7	2					
10	Число действительных бюллетеней	12455	725	656	630	613	494	465	480	482	802	354	376	99	115	435	483	372	342	84	510	244	405	125	599	390	119	95	58	361	310	49	216	565	343	59					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	369	14	14	14	14	1	14	14	14	14	10	14	10	10	14	14	14	10	5	14	10	14	10	14	14	5	5	5	10	10	5	10	14	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	77	5	8	4	4	1	5	6	3	8	2	2	0	0	2	3	1	3	0	3	1	0	0	6	1	0	0	0	5	1	1	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	1	8	2	1	3	3	5	14	3	0	1	1	0	4	1	1	1	1	1	2	2	1	1	1	1	0	2	3	2	1	0	3	1	3					
14	Число погашенных открепительных удостоверений	305	9	6	10	10	13	9	8	11	6	8	12	10	10	12	11	13	7	5	11	9	14	10	8	13	5	5	5	5	9	4	10	12	10	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	146	7	7	9	5	4	3	3	4	17	0	5	2	2	6	6	4	3	2	8	5	14	3	4	4	0	0	0	1	2	0	4	9	3	0					
		1.14%	0.94%	1.05%	1.38%	0.80%	0.79%	0.63%	0.61%	0.81%	2.06%	0.0%	1.29%	1.85%	1.57%	1.35%	1.22%	1.02%	0.82%	2.22%	1.53%	1.92%	3.40%	2.23%	0.66%	0.99%	0.0%	0.0%	0.0%	0.27%	0.63%	0.0%	1.81%	1.54%	0.85%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	250	7	25	17	22	8	8	16	11	17	20	9	1	2	6	11	3	9	0	2	1	6	3	8	2	3	0	0	6	4	1	1	15	2	4					
		1.96%	0.94%	3.76%	2.61%	3.53%	1.59%	1.69%	3.29%	2.23%	2.06%	5.55%	2.33%	0.92%	1.57%	1.35%	2.25%	0.77%	2.47%	0.0%	0.38%	0.38%	1.45%	2.23%	1.32%	0.49%	2.52%	0.0%	0.0%	1.65%	1.27%	2.0%	0.45%	2.57%	0.57%	6.55%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	278	20	24	13	10	7	11	9	13	28	3	29	3	3	10	7	4	5	1	7	3	7	0	19	14	1	0	1	2	4	4	1	7	8	0					
