Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Подпорожская																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765					
1	"Число избирателей, внесенных в списки"	29431	831	1334	797	1638	1687	1280	1633	1638	2502	1580	1325	853	851	1745	1680	1091	146	240	173	105	220	91	2009	275	312	1344	441	207	114	213	100	301	132	75	303	81	84					
2	"Число бюллетеней, полученных участковыми комиссиями"	29670	800	1300	800	1700	1700	1300	1600	1600	2500	1600	1300	800	900	1800	1700	1100	150	250	170	110	220	100	2000	270	310	1300	450	210	120	350	130	300	140	80	300	90	120					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13312	262	671	316	806	766	609	770	822	1088	718	434	337	351	791	738	525	50	66	76	59	102	52	815	154	134	645	206	83	60	170	82	160	81	45	149	52	67					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	956	16	26	13	16	52	35	27	15	15	30	30	13	21	33	38	24	46	40	36	0	15	4	104	23	0	64	10	47	2	43	18	14	15	8	41	5	17					
6	Число погашенных бюллетеней	15402	522	603	471	878	882	656	803	763	1397	852	836	450	528	976	924	551	54	144	58	51	103	44	1081	93	176	591	234	80	58	137	30	126	44	27	110	33	36					
7	Число бюллетеней в переносных ящиках для голосования	956	16	26	13	16	52	35	27	15	15	30	30	13	21	33	38	24	46	40	36	0	15	4	104	23	0	64	10	47	2	43	18	14	15	8	41	5	17					
8	Число бюллетеней в стационарных ящиках для голосования	13309	262	671	316	804	766	609	770	822	1088	717	434	337	351	791	738	525	50	66	76	59	102	52	815	154	134	645	206	83	60	170	82	160	81	45	149	52	67					
9	Число недействительных бюллетеней	226	4	15	7	12	8	12	8	8	12	7	16	1	8	10	16	8	5	1	2	3	3	0	11	2	2	9	6	6	0	2	1	8	5	0	1	2	5					
10	Число действительных бюллетеней	14039	274	682	322	808	810	632	789	829	1091	740	448	349	364	814	760	541	91	105	110	56	114	56	908	175	132	700	210	124	62	211	99	166	91	53	189	55	79					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	435	15	20	15	20	20	20	20	20	25	20	20	15	15	20	20	20	5	5	5	5	5	5	20	5	5	20	5	5	5	5	5	5	5	5	5	5	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	129	0	10	1	15	14	1	7	6	15	3	0	3	7	7	0	4	2	1	5	1	2	0	13	0	1	5	2	0	0	0	0	1	0	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	101	0	3	0	2	3	0	0	5	6	1	3	1	3	2	5	2	3	4	12	4	2	6	13	5	3	6	0	0	1	3	0	0	0	1	1	0	1					
14	Число погашенных открепительных удостоверений	306	15	10	14	5	6	19	13	14	10	17	20	12	8	13	20	16	3	4	0	4	3	5	7	5	4	15	3	5	5	5	5	4	5	5	2	5	0					
15	Число открепительных удостоверений выданных ТИК	5	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
18	"1. ""ЕДИНЕНИЕ"""	242	8	7	4	6	21	18	13	18	23	13	9	7	3	5	19	6	2	3	0	1	4	1	11	1	4	4	7	4	1	6	0	2	4	1	4	1	1					
		1.69%	2.87%	1.00%	1.21%	0.73%	2.56%	2.79%	1.63%	2.15%	2.08%	1.74%	1.93%	2.0%	0.80%	0.60%	2.44%	1.09%	2.08%	2.83%	0.0%	1.69%	3.41%	1.78%	1.19%	0.56%	2.98%	0.56%	3.24%	3.07%	1.61%	2.81%	0.0%	1.14%	4.16%	1.88%	2.10%	1.75%	1.19%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	464	22	44	14	23	19	16	29	18	42	22	18	9	15	61	28	12	3	1	1	2	0	1	21	16	2	11	2	0	0	2	0	1	1	0	6	0	2					
		3.25%	7.91%	6.31%	4.25%	2.80%	2.32%	2.48%	3.63%	2.15%	3.80%	2.94%	3.87%	2.57%	4.03%	7.40%	3.60%	2.18%	3.12%	0.94%	0.89%	3.38%	0.0%	1.78%	2.28%	9.03%	1.49%	1.55%	0.92%	0.0%	0.0%	0.93%	0.0%	0.57%	1.04%	0.0%	3.15%	0.0%	2.38%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	597	7	29	15	32	25	34	30	40	36	36	17	16	20	32	13	23	10	3	3	1	10	0	52	12	4	21	7	7	2	12	4	16	11	6	5	1	5					
		4.18%	2.51%	4.16%	4.55%	3.90%	3.05%	5.27%	3.76%	4.77%	3.26%	4.81%	3.66%	4.57%	5.37%	3.88%	1.67%	4.18%	10.41%	2.83%	2.67%	1.69%	8.54%	0.0%	5.65%	6.77%	2.98%	2.96%	3.24%	5.38%	3.22%	5.63%	4.0%	9.19%	11.45%	11.32%	2.63%	1.75%	5.95%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	296	8	31	9	17	23	20	18	20	31	25	7	1	4	23	6	8	1	2	2	0	2	1	16	1	2	6	2	3	0	1	0	4	2	0	0	0	0					
		2.07%	2.87%	4.44%	2.73%	2.07%	2.81%	3.10%	2.25%	2.38%	2.81%	3.34%	1.50%	0.28%	1.07%	2.79%	0.77%	1.45%	1.04%	1.88%	1.78%	0.0%	1.70%	1.78%	1.74%	0.56%	1.49%	0.84%	0.92%	2.30%	0.0%	0.46%	0.0%	2.29%	2.08%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	68	3	5	3	4	1	1	4	4	3	1	3	0	3	4	4	2	1	1	2	0	1	0	7	2	0	2	0	1	0	1	1	3	0	0	1	0	0					
		0.47%	1.07%	0.71%	0.91%	0.48%	0.12%	0.15%	0.50%	0.47%	0.27%	0.13%	0.64%	0.0%	0.80%	0.48%	0.51%	0.36%	1.04%	0.94%	1.78%	0.0%	0.85%	0.0%	0.76%	1.12%	0.0%	0.28%	0.0%	0.76%	0.0%	0.46%	1.0%	1.72%	0.0%	0.0%	0.52%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	42	3	1	0	3	1	1	0	1	3	3	5	1	1	0	1	3	1	1	1	0	1	0	4	0	1	0	0	0	0	1	2	0	1	1	1	0	0					
		0.29%	1.07%	0.14%	0.0%	0.36%	0.12%	0.15%	0.0%	0.11%	0.27%	0.40%	1.07%	0.28%	0.26%	0.0%	0.12%	0.54%	1.04%	0.94%	0.89%	0.0%	0.85%	0.0%	0.43%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.46%	2.0%	0.0%	1.04%	1.88%	0.52%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	105	3	1	2	6	6	6	8	9	12	4	4	4	5	8	8	2	0	0	2	0	0	0	6	0	1	6	0	0	0	0	0	2	0	0	0	0	0					
