Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Тотемская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797					
1	"Число избирателей, внесенных в списки"	19610	1643	1635	1727	1689	1306	368	395	418	198	195	609	279	361	259	209	129	580	278	300	432	766	1119	1225	776	860	287	883	207	239	238					
2	"Число бюллетеней, полученных участковыми комиссиями"	18735	1470	1440	1600	1600	1150	370	400	380	180	200	560	280	390	260	220	155	570	280	330	450	790	1170	1150	720	810	270	830	210	250	250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10574	757	763	992	865	649	210	179	177	96	106	270	165	267	171	121	90	328	175	174	261	468	876	635	328	428	133	481	104	145	160					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1380	116	27	22	38	31	57	109	110	9	27	113	6	30	40	10	39	48	53	69	60	44	17	55	48	55	6	12	53	59	17					
6	Число погашенных бюллетеней	6781	597	650	586	697	470	103	112	93	75	67	177	109	93	49	89	26	194	52	87	129	278	277	460	344	327	131	337	53	46	73					
7	Число бюллетеней в переносных ящиках для голосования	1380	116	27	22	38	31	57	109	110	9	27	113	6	30	40	10	39	48	53	69	60	44	17	55	48	55	6	12	53	59	17					
8	Число бюллетеней в стационарных ящиках для голосования	10574	757	763	992	865	649	210	179	177	96	106	270	165	267	171	121	90	328	175	174	261	468	876	635	328	428	133	481	104	145	160					
9	Число недействительных бюллетеней	317	40	16	13	12	20	3	2	0	5	1	4	12	8	3	9	1	22	7	11	4	5	13	26	13	8	5	33	5	8	8					
10	Число действительных бюллетеней	11637	833	774	1001	891	660	264	286	287	100	132	379	159	289	208	122	128	354	221	232	317	507	880	664	363	475	134	460	152	196	169					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	210	10	10	10	10	10	5	5	5	5	5	10	5	5	5	5	10	5	5	5	5	10	15	5	5	5	5	15	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	77	5	2	4	4	2	1	0	1	0	5	2	1	1	0	0	7	5	1	0	5	0	11	1	1	4	0	9	3	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	5	2	6	1	2	2	2	1	1	0	3	1	1	2	2	3	1	2	1	1	1	7	1	2	1	0	0	2	2	2					
14	Число погашенных открепительных удостоверений	133	5	8	6	6	8	4	5	4	5	0	8	4	4	5	5	3	0	4	5	0	10	4	4	4	1	5	6	2	5	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	119	7	3	12	6	3	0	5	1	2	1	4	2	0	2	3	4	4	0	5	5	9	7	9	6	2	2	7	2	4	2					
		0.99%	0.80%	0.37%	1.18%	0.66%	0.44%	0.0%	1.73%	0.34%	1.90%	0.75%	1.04%	1.16%	0.0%	0.94%	2.29%	3.10%	1.06%	0.0%	2.05%	1.55%	1.75%	0.78%	1.30%	1.59%	0.41%	1.43%	1.41%	1.27%	1.96%	1.12%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	478	35	30	60	58	36	2	6	3	0	2	1	12	5	6	6	7	8	9	2	6	9	19	30	11	12	10	80	6	5	2					
