Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Моргаушская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560					
1	"Число избирателей, внесенных в список"	26522	2162	895	577	765	514	1398	316	254	207	642	303	386	720	481	449	1151	270	373	661	476	347	360	585	579	374	407	454	280	155	516	233	443	505	830	342	412	257	578	317	974	563	515	366	258	378	703	462	796	533					
2	Число полученных избирательных бюллетеней	27300	2260	960	575	815	550	1425	330	265	220	640	300	385	720	485	455	1180	295	375	680	505	365	390	590	595	375	395	440	290	160	445	205	480	540	900	390	440	295	600	315	995	580	515	385	285	385	715	460	810	540					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16314	1366	497	276	433	379	820	203	184	141	350	196	276	360	234	311	650	148	185	377	305	212	247	304	315	190	256	259	192	110	311	159	332	350	469	181	200	173	364	183	545	494	423	320	215	248	460	308	483	320					
5	"Число избирательных бюллетеней, выданных вне помещения"	3275	103	194	95	116	88	50	37	40	21	113	34	18	87	61	33	102	68	97	43	83	29	45	88	34	62	57	45	26	23	54	40	46	62	138	65	92	47	83	71	141	25	77	32	23	77	58	55	124	73					
6	Число погашенных избирательных бюллетеней	7711	791	269	204	266	83	555	90	41	58	177	70	91	273	190	111	428	79	93	260	117	124	98	198	246	123	82	136	72	27	80	6	102	128	293	144	148	75	153	61	309	61	15	33	47	60	197	97	203	147					
7	Число избирательных бюллетеней в переносных ящиках	3275	103	194	95	116	88	50	37	40	21	113	34	18	87	61	33	102	68	97	43	83	29	45	88	34	62	57	45	26	23	54	40	46	62	138	65	92	47	83	71	141	25	77	32	23	77	58	55	124	73					
8	Число бюллетеней в стационарных ящиках для голосования	16313	1366	497	276	433	379	820	203	184	141	350	196	276	360	234	311	649	148	185	377	305	212	247	304	315	190	256	259	192	110	311	159	332	350	469	181	200	173	364	183	545	494	423	320	215	248	460	308	483	320					
9	Число недействительных избирательных бюллетеней	312	18	5	4	3	10	14	5	3	6	7	5	10	2	2	15	13	6	1	4	4	4	5	8	8	4	4	7	3	4	0	1	8	5	13	7	5	3	10	2	7	4	16	10	6	7	3	0	16	5					
10	Число действительных избирательных бюллетеней	19276	1451	686	367	546	457	856	235	221	156	456	225	284	445	293	329	738	210	281	416	384	237	287	384	341	248	309	297	215	129	365	198	370	407	594	239	287	217	437	252	679	515	484	342	232	318	515	363	591	388					
11	Число полученных открепительных  удостоверений	992	82	34	21	28	20	51	12	9	7	25	8	14	26	19	17	42	11	12	24	18	13	14	22	21	14	14	17	11	6	19	9	17	20	33	13	16	10	23	12	37	22	19	14	10	14	26	17	29	20					
12	Число выданных открепительных удостоверений	369	59	16	2	28	6	16	4	4	7	10	4	4	7	4	6	12	4	3	6	3	4	7	7	4	2	2	2	1	1	1	2	11	15	3	6	5	7	19	7	10	1	5	1	4	1	18	3	3	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	187	18	0	3	6	1	6	1	1	1	3	5	2	3	0	14	2	5	2	6	1	2	2	4	2	2	5	3	2	2	4	1	1	9	4	4	1	3	7	6	7	2	1	1	4	0	4	8	11	5					
