Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Южнопортовый район																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №3131	УИК №3132	УИК №3133	УИК №3134					
1	"Число избирателей, внесенных в списки"	42403	2721	2503	2208	1646	1683	1770	2139	2844	1314	1578	2012	2072	1867	1899	1060	1613	2116	1740	1162	2565	2586	94	601	130	480					
2	"Число бюллетеней, полученных участковыми комиссиями"	38100	2400	2300	2000	1500	1500	1300	1900	2500	1100	1400	1800	1800	1700	1700	1000	1400	1900	1600	1200	2300	2300	100	700	200	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22805	1507	1421	1077	851	1030	919	1244	1475	772	876	1135	1137	1059	1015	587	800	1136	980	668	1432	1545	0	9	130	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1948	58	69	15	50	41	29	43	53	22	37	73	52	30	15	20	34	28	60	24	24	14	94	583	0	480					
6	Число погашенных бюллетеней	13319	835	783	908	599	429	352	613	972	306	487	592	611	611	670	393	566	736	560	508	844	741	6	108	69	20					
7	Число бюллетеней в переносных ящиках для голосования	1948	58	69	15	50	41	29	43	53	22	37	73	52	30	15	20	34	28	60	24	24	14	94	583	0	480					
8	Число бюллетеней в стационарных ящиках для голосования	22603	1507	1386	1077	829	1030	919	1200	1475	772	875	1134	1132	1059	1009	587	799	1136	898	665	1431	1545	0	9	129	0					
9	Число недействительных бюллетеней	268	12	0	11	4	42	8	13	14	8	9	18	15	26	7	5	7	20	9	10	15	11	0	1	1	2					
10	Число действительных бюллетеней	24283	1553	1455	1081	875	1029	940	1230	1514	786	903	1189	1169	1063	1017	602	826	1144	949	679	1440	1548	94	591	128	478					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	860	40	40	40	40	40	40	40	60	40	40	40	40	40	40	40	40	40	40	40	40	40	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	477	36	29	31	9	18	36	29	41	20	23	14	24	24	16	14	11	18	16	12	37	19	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	476	34	21	35	6	20	21	24	17	17	4	55	6	25	13	20	24	20	21	13	15	25	3	12	17	8					
14	Число погашенных открепительных удостоверений	383	4	11	9	31	22	4	11	19	20	17	26	16	16	24	26	29	22	24	28	3	21	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	8	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	1	0	0	0	0	0					
16	Число утраченных бюллетеней	28	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	177	13	12	4	5	5	7	7	9	5	5	9	10	6	8	5	8	12	9	4	9	6	0	9	4	6					
		0.72%	0.83%	0.82%	0.36%	0.56%	0.46%	0.73%	0.56%	0.58%	0.62%	0.54%	0.74%	0.84%	0.55%	0.78%	0.82%	0.96%	1.03%	0.93%	0.58%	0.61%	0.38%	0.0%	1.52%	3.10%	1.25%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1795	120	95	100	61	110	61	94	173	68	86	46	66	76	73	32	59	65	96	43	96	116	7	25	9	18					
		7.31%	7.66%	6.52%	9.15%	6.93%	10.27%	6.43%	7.56%	11.32%	8.56%	9.42%	3.81%	5.57%	6.97%	7.12%	5.27%	7.08%	5.58%	10.02%	6.24%	6.59%	7.44%	7.44%	4.22%	6.97%	3.75%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	536	45	36	20	22	27	24	27	25	12	22	25	27	22	18	13	20	24	25	19	18	31	1	17	7	9					
		2.18%	2.87%	2.47%	1.83%	2.50%	2.52%	2.53%	2.17%	1.63%	1.51%	2.41%	2.07%	2.28%	2.02%	1.75%	2.14%	2.40%	2.06%	2.60%	2.75%	1.23%	1.98%	1.06%	2.87%	5.42%	1.87%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2267	164	167	81	98	98	73	103	188	52	107	86	106	90	81	74	107	104	92	68	97	163	7	32	11	18					
		9.23%	10.47%	11.47%	7.41%	11.14%	9.15%	7.70%	8.28%	12.30%	6.54%	11.73%	7.12%	8.95%	8.26%	7.91%	12.19%	12.84%	8.93%	9.60%	9.86%	6.66%	10.45%	7.44%	5.40%	8.52%	3.75%					
22	"5. ""За Русь Святую"""	120	10	15	5	7	6	3	3	4	3	2	1	12	4	4	1	4	11	0	3	4	8	0	4	5	1					
		0.48%	0.63%	1.03%	0.45%	0.79%	0.56%	0.31%	0.24%	0.26%	0.37%	0.21%	0.08%	1.01%	0.36%	0.39%	0.16%	0.48%	0.94%	0.0%	0.43%	0.27%	0.51%	0.0%	0.67%	3.87%	0.20%					
23	"6. ""Объединенная Российская партия ""Русь"""	48	1	3	1	1	2	2	2	4	1	1	1	1	1	5	2	2	1	6	1	2	3	2	1	1	1					
		0.19%	0.06%	0.20%	0.09%	0.11%	0.18%	0.21%	0.16%	0.26%	0.12%	0.10%	0.08%	0.08%	0.09%	0.48%	0.32%	0.24%	0.08%	0.62%	0.14%	0.13%	0.19%	2.12%	0.16%	0.77%	0.20%					
24	"7. ""Новый курс - Автомобильная Россия"""	410	19	30	21	12	16	17	19	24	10	18	22	20	14	10	7	13	21	17	12	30	42	2	10	1	3					
		1.66%	1.21%	2.06%	1.92%	1.36%	1.49%	1.79%	1.52%	1.57%	1.25%	1.97%	1.82%	1.68%	1.28%	0.97%	1.15%	1.56%	1.80%	1.77%	1.74%	2.06%	2.69%	2.12%	1.68%	0.77%	0.62%					
25	"8. ""Народно-республиканская партия России"""	21	1	1	0	0	0	0	2	0	3	1	5	0	1	1	0	0	0	0	1	2	1	0	1	1	0					
		0.08%	0.06%	0.06%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.37%	0.10%	0.41%	0.0%	0.09%	0.09%	0.0%	0.0%	0.0%	0.0%	0.14%	0.13%	0.06%	0.0%	0.16%	0.77%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	190	17	14	6	7	6	6	12	5	4	5	6	11	8	6	10	8	14	10	3	8	20	1	2	0	1					
		0.77%	1.08%	0.96%	0.54%	0.79%	0.56%	0.63%	0.96%	0.32%	0.50%	0.54%	0.49%	0.92%	0.73%	0.58%	1.64%	0.96%	1.20%	1.04%	0.43%	0.54%	1.28%	1.06%	0.33%	0.0%	0.20%					
27	"10. ""Аграрная партия России"""	406	25	26	10	10	18	15	22	18	8	18	17	27	23	23	12	9	24	14	7	32	27	0	7	6	8					
		1.65%	1.59%	1.78%	0.91%	1.13%	1.68%	1.58%	1.76%	1.17%	1.00%	1.97%	1.40%	2.28%	2.11%	2.24%	1.97%	1.08%	2.06%	1.46%	1.01%	2.19%	1.73%	0.0%	1.18%	4.65%	1.66%					
28	"11. ""Истинные патриоты России"""	25	1	0	2	1	1	0	0	3	1	2	0	1	0	0	0	2	1	3	4	1	0	0	1	0	1					
		0.10%	0.06%	0.0%	0.18%	0.11%	0.09%	0.0%	0.0%	0.19%	0.12%	0.21%	0.0%	0.08%	0.0%	0.0%	0.0%	0.24%	0.08%	0.31%	0.58%	0.06%	0.0%	0.0%	0.16%	0.0%	0.20%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	261	12	19	13	13	11	10	15	12	12	3	12	17	8	9	4	13	13	5	5	19	26	1	5	0	4					
		1.06%	0.76%	1.30%	1.19%	1.47%	1.02%	1.05%	1.20%	0.78%	1.51%	0.32%	0.99%	1.43%	0.73%	0.87%	0.65%	1.56%	1.11%	0.52%	0.72%	1.30%	1.66%	1.06%	0.84%	0.0%	0.83%					
30	"13. ""Демократическая партия России"""	37	1	1	2	0	2	3	1	4	0	3	3	0	4	1	1	0	1	2	2	3	0	0	1	0	2					
		0.15%	0.06%	0.06%	0.18%	0.0%	0.18%	0.31%	0.08%	0.26%	0.0%	0.32%	0.24%	0.0%	0.36%	0.09%	0.16%	0.0%	0.08%	0.20%	0.29%	0.20%	0.0%	0.0%	0.16%	0.0%	0.41%					
31	"14. ""Великая Россия - Евразийский Союз"""	47	1	2	4	2	3	3	4	4	3	1	3	2	3	1	0	4	2	0	1	0	1	1	2	0	0					
		0.19%	0.06%	0.13%	0.36%	0.22%	0.28%	0.31%	0.32%	0.26%	0.37%	0.10%	0.24%	0.16%	0.27%	0.09%	0.0%	0.48%	0.17%	0.0%	0.14%	0.0%	0.06%	1.06%	0.33%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	59	3	5	1	1	2	0	6	7	1	2	3	0	2	2	1	1	0	3	2	5	4	0	4	0	4					
		0.24%	0.19%	0.34%	0.09%	0.11%	0.18%	0.0%	0.48%	0.45%	0.12%	0.21%	0.24%	0.0%	0.18%	0.19%	0.16%	0.12%	0.0%	0.31%	0.29%	0.34%	0.25%	0.0%	0.67%	0.0%	0.83%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3623	246	224	163	140	155	141	169	231	101	152	171	183	178	167	101	136	173	48	109	265	251	6	60	7	46					
		14.75%	15.71%	15.39%	14.92%	15.92%	14.47%	14.87%	13.59%	15.11%	12.72%	16.66%	14.16%	15.45%	16.34%	16.30%	16.63%	16.32%	14.86%	5.01%	15.82%	18.21%	16.10%	6.38%	10.13%	5.42%	9.58%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	41	2	2	3	2	1	0	0	0	0	0	3	0	1	1	1	1	0	0	0	5	2	1	15	0	1					
		0.16%	0.12%	0.13%	0.27%	0.22%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.09%	0.09%	0.16%	0.12%	0.0%	0.0%	0.0%	0.34%	0.12%	1.06%	2.53%	0.0%	0.20%					
35	"18. ""ЛДПР"""	1716	101	93	109	50	73	54	101	94	52	62	105	94	84	79	40	61	80	52	43	97	106	6	37	15	28					
		6.98%	6.45%	6.39%	9.98%	5.68%	6.81%	5.69%	8.12%	6.15%	6.54%	6.79%	8.69%	7.93%	7.71%	7.71%	6.58%	7.32%	6.87%	5.42%	6.24%	6.66%	6.79%	6.38%	6.25%	11.62%	5.83%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	279	25	15	14	4	17	7	8	16	9	5	16	21	9	12	8	8	16	11	5	20	17	4	8	1	3					
		1.13%	1.59%	1.03%	1.28%	0.45%	1.58%	0.73%	0.64%	1.04%	1.13%	0.54%	1.32%	1.77%	0.82%	1.17%	1.31%	0.96%	1.37%	1.14%	0.72%	1.37%	1.09%	4.25%	1.35%	0.77%	0.62%					
37	"20. ""Политическая партия ""Единая Россия"""	8776	515	455	399	298	313	391	428	492	324	314	508	416	382	390	207	264	427	395	250	525	532	47	235	35	234					
		35.74%	32.90%	31.27%	36.53%	33.90%	29.22%	41.24%	34.43%	32.19%	40.80%	34.42%	42.08%	35.13%	35.07%	38.08%	34.10%	31.69%	36.68%	41.23%	36.28%	36.08%	34.12%	50.0%	39.69%	27.13%	48.75%					
38	"21. ""Российская Конституционно-демократическая партия"""	37	0	4	2	1	3	3	2	1	1	1	4	3	1	2	1	0	1	1	0	1	2	0	0	2	1					
		0.15%	0.0%	0.27%	0.18%	0.11%	0.28%	0.31%	0.16%	0.06%	0.12%	0.10%	0.33%	0.25%	0.09%	0.19%	0.16%	0.0%	0.08%	0.10%	0.0%	0.06%	0.12%	0.0%	0.0%	1.55%	0.20%					
39	"22. ""Развитие предпринимательства"""	53	5	2	4	1	6	0	3	2	2	1	4	4	2	2	1	1	1	2	2	6	2	0	0	0	0					
		0.21%	0.31%	0.13%	0.36%	0.11%	0.56%	0.0%	0.24%	0.13%	0.25%	0.10%	0.33%	0.33%	0.18%	0.19%	0.16%	0.12%	0.08%	0.20%	0.29%	0.41%	0.12%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1760	128	135	56	94	90	75	104	92	63	45	69	80	66	69	37	49	91	101	46	98	75	0	53	13	31					
		7.16%	8.17%	9.27%	5.12%	10.69%	8.40%	7.91%	8.36%	6.02%	7.93%	4.93%	5.71%	6.75%	6.06%	6.73%	6.09%	5.88%	7.81%	10.54%	6.67%	6.73%	4.81%	0.0%	8.95%	10.07%	6.45%					
																																
41	Против всех	1599	98	99	61	45	64	45	98	106	51	47	70	68	78	53	44	56	62	57	49	97	113	8	62	10	58					
		6.51%	6.26%	6.80%	5.58%	5.11%	5.97%	4.74%	7.88%	6.93%	6.42%	5.15%	5.79%	5.74%	7.16%	5.17%	7.24%	6.72%	5.32%	5.94%	7.11%	6.66%	7.24%	8.51%	10.47%	7.75%	12.08%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
