Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
"Наименование Избирательной комиссии:    Воронеж, Центральная"																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	68974	1592	1294	1848	1961	1445	1218	1348	1328	1225	1152	1170	1293	1243	1249	1051	1359	1493	1754	1273	1749	2019	2858	2461	1967	1647	1079	2170	2857	1752	1636	1516	1668	928	1069	1458	1760	2217	2679	2410	206	822	154	2615	981									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58670	1300	1000	1400	1800	1200	1000	1100	1100	1000	1000	1000	1100	1000	1000	900	1000	1200	1400	1100	1400	1800	2200	2200	1900	1100	1000	2000	2600	1400	1200	1300	1400	800	1000	1200	1400	2000	2400	2200	220	850	200	2300	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23674	477	367	715	642	578	500	517	431	495	472	516	420	414	467	396	686	523	494	399	531	571	747	764	462	672	317	620	764	615	543	466	504	283	412	522	643	680	855	803	53	822	142	534	840									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1888	110	100	44	41	33	30	29	30	19	20	20	33	14	63	25	38	32	42	31	24	51	324	32	73	20	44	85	10	28	8	18	51	48	12	30	21	21	15	20	150	0	0	13	36									
6	Число погашенных избирательных бюллетеней	33108	713	533	641	1117	589	470	554	639	486	508	464	647	572	470	479	276	645	864	670	845	1178	1129	1404	1365	408	639	1295	1826	757	649	816	845	469	576	648	736	1299	1530	1377	17	28	58	1753	124									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1888	110	100	44	41	33	30	29	30	19	20	20	33	14	63	25	38	32	42	31	24	51	324	32	73	20	44	85	10	28	8	18	51	48	12	30	21	21	15	20	150	0	0	13	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23657	477	367	714	642	577	500	517	431	495	467	516	419	414	463	396	686	523	494	399	531	571	747	764	462	672	317	620	764	614	543	466	504	283	412	522	641	680	855	803	53	822	142	534	838									
9	Число недействительных избирательных бюллетеней	452	8	10	14	8	9	8	6	9	8	5	7	5	5	5	6	12	8	5	8	5	8	11	14	7	14	6	13	13	13	7	7	8	12	11	15	3	11	18	10	4	64	0	6	26									
10	Число действительных избирательных бюллетеней	25093	579	457	744	675	601	522	540	452	506	482	529	447	423	521	415	712	547	531	422	550	614	1060	782	528	678	355	692	761	629	544	477	547	319	413	537	659	690	852	813	199	758	142	541	848									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	945	20	20	30	30	20	10	20	20	20	20	20	20	20	20	10	10	15	20	25	25	30	45	35	35	20	20	35	35	20	20	20	20	15	15	20	30	30	35	35	0	0	0	35	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	601	13	7	21	12	18	10	15	17	7	16	13	8	14	11	5	10	15	17	6	7	14	37	24	20	6	10	18	17	19	6	11	9	6	9	15	26	27	34	28	0	0	0	23	0									
